,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367691660,2021-03-06 01:47:35,33.74878,-118.11405,0.0,254.5,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,,A
1,255805913,2021-03-06 01:47:35,33.74363,-118.19581,0.0,357.2,90.0,EVER CHIVALRY,IMO9293791,CQIB5,70.0,5.0,333.0,42.0,14.5,,A
2,354314000,2021-03-06 01:47:37,33.74956,-118.20888,0.0,237.7,55.0,VITTORIA,IMO9620645,3FJY5,70.0,5.0,225.0,32.0,14.4,,A
3,236728000,2021-03-06 01:47:37,33.68695,-118.13083,0.1,85.0,268.0,,,,,1.0,,,,,A
4,338364968,2021-03-06 01:47:38,33.75214,-118.11132,0.0,360.0,511.0,BRISA,IMO0000000,,36.0,,12.0,4.0,,,B
5,338397183,2021-03-06 01:47:42,33.74987,-118.12244,0.5,360.0,511.0,EL TANGLERO,IMO0000000,,37.0,,4.0,2.0,,,B
6,367647270,2021-03-06 01:47:42,33.73545,-118.27106,0.1,251.8,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
7,366951730,2021-03-06 01:47:43,33.73281,-118.0952,0.0,200.8,48.0,JEFFREY M,,WSX6846,31.0,5.0,23.0,6.0,,52.0,A
8,366806940,2021-03-06 01:47:43,33.73305,-118.09488,0.1,271.3,511.0,VALHALLA,,WDA4208,90.0,3.0,77.0,23.0,,0.0,A
9,338391906,2021-03-06 01:47:44,33.71227,-118.05418,0.0,360.0,511.0,NO OFF BUTTON,IMO0000000,,37.0,,0.0,0.0,,,B
10,367661930,2021-03-06 01:47:44,33.72965,-118.27544,0.0,291.4,122.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,15.0,24.0,,,,A
11,368084540,2021-03-06 01:47:44,33.73992,-118.27805,0.0,259.8,5.0,,,,,0.0,,,,,A
12,477148100,2021-03-06 01:47:44,33.69789,-118.12177,0.0,75.6,268.0,,,,,1.0,,,,,A
13,367704790,2021-03-06 01:47:45,33.71534,-118.25781,1.1,120.7,511.0,CHRISTOPHER,,WDI5065,60.0,,19.0,8.0,,,B
14,367101530,2021-03-06 01:47:45,33.7346,-118.26863,0.1,181.8,511.0,CARIBE ALLIANCE,,WDI9216,90.0,0.0,19.0,6.0,,53.0,A
15,367299000,2021-03-06 01:47:45,33.5559,-118.44918,10.3,265.8,511.0,CG ALERT,,NZVE,90.0,0.0,64.0,10.0,,,A
16,338396669,2021-03-06 01:47:45,33.71953,-118.28149,0.0,65.5,511.0,ALTHEA,IMO0000000,,37.0,,10.0,4.0,,,B
17,232018901,2021-03-06 01:47:45,33.7268,-118.25972,0.0,195.8,21.0,,,,,5.0,,,,,A
18,338209376,2021-03-06 01:47:46,33.72908,-118.10692,13.2,130.9,511.0,KRISTY MARIE,IMO0000000,,37.0,,9.0,3.0,,,B
19,353524000,2021-03-06 01:47:46,33.76065,-118.27348,0.0,248.5,197.0,NYK ARCADIA,IMO9468310,3EXI5,70.0,5.0,332.0,45.0,14.0,,A
20,338380107,2021-03-06 01:47:46,33.76016,-118.12795,0.0,185.6,511.0,REVEILLE,IMO0000000,,37.0,,12.0,4.0,,,B
21,338181327,2021-03-06 01:47:46,33.71939,-118.28209,0.0,350.7,511.0,QUERENCIA,,,37.0,,9.0,,,,B
22,366745460,2021-03-06 01:47:47,33.75074,-118.11352,0.0,360.0,511.0,RESCUE BOAT 127,IMO0000000,,37.0,,9.0,4.0,,,B
23,563066200,2021-03-06 01:47:47,33.73565,-118.15953,0.1,346.1,244.0,,,,,1.0,,,,,A
24,366943940,2021-03-06 01:47:47,33.76259,-118.1992,1.1,129.1,511.0,SUPER EXPRESS,,WAB6372,60.0,5.0,26.0,6.0,,,A
25,367006770,2021-03-06 01:47:47,33.72942,-118.27565,0.0,199.1,127.0,ROBYN J,,WTQ4065,90.0,0.0,32.0,7.0,,31.0,A
26,367719100,2021-03-06 01:47:47,33.72975,-118.27567,0.1,5.5,304.0,,,,,0.0,,,,,A
27,338186834,2021-03-06 01:47:47,33.75128,-118.11033,0.0,249.1,511.0,T/T VIRGINIA LEE,,,37.0,,,,,,B
28,367733880,2021-03-06 01:47:48,33.72367,-118.07129,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
29,338328494,2021-03-06 01:47:48,33.75821,-118.18485,0.0,341.5,511.0,BLUE SKY,IMO0000000,BLUESKY,37.0,,17.0,4.0,,,B
30,366897980,2021-03-06 01:47:48,33.76279,-118.11686,0.0,0.0,511.0,XIPHIAS,,WDB4397,37.0,,15.0,5.0,,,B
