,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367467120,2021-01-05 01:47:53,33.84183,-118.39218,0.0,237.7,511.0,AVA FOSS,,WDF5779,60.0,5.0,18.0,5.0,,60.0,A
1,368129380,2021-01-05 01:47:53,33.72059,-118.27743,0.0,360.0,511.0,HANALEI,IMO0000000,WDL4225,36.0,,13.0,8.0,,,B
2,367004260,2021-01-05 01:47:54,33.74402,-118.20457,0.0,220.3,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,,A
3,338324182,2021-01-05 01:47:54,33.76693,-118.25141,0.0,360.0,511.0,PURITAN,IMO0000000,WDL8229,37.0,,18.0,6.0,,,B
4,366903130,2021-01-05 01:47:55,33.72167,-118.27855,0.0,47.6,511.0,THIRD WISH,,WDB4855,37.0,,16.0,4.0,,,B
5,351848000,2021-01-05 01:47:55,33.63085,-118.16017,6.1,355.8,354.0,MSC KATIE,IMO9467457,3FMO6,70.0,0.0,365.0,48.0,15.5,,A
6,367642530,2021-01-05 01:47:56,33.74854,-118.21844,1.8,160.0,511.0,BO BRUSCO,IMO9772917,WDH6880,31.0,0.0,23.0,8.0,,,A
7,367647270,2021-01-05 01:47:56,33.73503,-118.27099,0.0,207.2,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A
8,366755020,2021-01-05 01:47:56,33.73992,-118.27818,0.1,250.8,190.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A
9,368024740,2021-01-05 01:47:57,33.74723,-118.21565,0.0,186.6,511.0,,,,,15.0,,,,,A
10,338926432,2021-01-05 01:47:57,33.72493,-118.26926,0.0,200.5,161.0,,,,,0.0,,,,,A
11,367014480,2021-01-05 01:47:57,33.76719,-118.2204,0.1,212.8,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A
12,366760650,2021-01-05 01:47:58,33.74229,-118.27589,6.0,30.9,27.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A
13,367303000,2021-01-05 01:47:58,33.76388,-118.25557,5.3,213.5,212.0,,,,,0.0,,,,,A
14,367486370,2021-01-05 01:48:00,33.7214,-118.27472,0.0,256.0,162.0,NRC QUEST,IMO9271195,WDF7619,90.0,5.0,48.0,10.0,3.0,70.0,A
15,477133700,2021-01-05 01:48:02,33.66115,-118.13381,0.1,349.6,277.0,HALIFAX EXPRESS,IMO9200823,VRMW7,70.0,1.0,294.0,32.0,13.6,,A
16,367309330,2021-01-05 01:48:05,33.77148,-118.21219,0.1,348.9,151.0,PACIFIC RAVEN,IMO7114288,WDD9278,31.0,5.0,36.0,9.0,3.9,52.0,A
17,220416000,2021-01-05 01:48:05,33.75217,-118.23977,0.0,250.8,251.0,GEORG MAERSK,IMO9320257,OYGN2,70.0,5.0,366.0,42.0,15.0,,A
18,338328735,2021-01-05 01:48:05,33.74982,-118.11323,0.0,360.0,511.0,PAIR A DOCS,IMO0000000,,37.0,,14.0,4.0,,,B
19,367314820,2021-01-05 01:48:05,33.71778,-118.2791,0.0,260.2,511.0,SUNDANCE,,WDD9682,37.0,,18.0,5.0,,,B
20,538007482,2021-01-05 01:48:06,33.7619,-118.2759,0.0,193.0,334.0,HYUNDAI FORWARD,IMO9330707,V7PX2,70.0,5.0,295.0,32.0,11.9,70.0,A
21,538004167,2021-01-05 01:48:07,33.7657,-118.26018,0.0,191.0,177.0,ARGENT IRIS,IMO9459280,V7VN7,80.0,5.0,174.0,27.0,11.4,80.0,A
22,367452280,2021-01-05 01:48:08,33.72512,-118.19834,7.4,85.9,511.0,LAGUNA,,WDF4470,31.0,5.0,20.0,7.0,,,A
23,538007628,2021-01-05 01:48:08,33.73215,-118.17416,8.5,80.4,81.0,,,,,0.0,,,,,A
24,311044100,2021-01-05 01:48:09,33.70259,-118.21693,0.2,148.4,265.0,,,,,1.0,,,,,A
25,338322293,2021-01-05 01:48:09,33.72491,-118.07309,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B
26,367569830,2021-01-05 01:48:10,33.73185,-118.17596,8.6,80.6,77.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,,A
27,367395280,2021-01-05 01:48:10,33.73193,-118.26423,0.0,153.7,220.0,CLEAN OCEAN,IMO9202352,WDE7605,90.0,0.0,44.0,10.0,3.0,90.0,A
28,367719100,2021-01-05 01:48:10,33.77182,-118.21976,0.0,252.9,239.0,,,,,0.0,,,,,A
29,368024590,2021-01-05 01:48:10,33.724,-118.2809,0.1,300.3,511.0,BOTTOM SCRATCHER,IMO0000000,WDJ9293,34.0,,21.0,6.0,,,B
30,368064650,2021-01-05 01:48:11,33.72366,-118.27981,0.0,360.0,511.0,,,,,15.0,,,,,A
31,367049470,2021-01-05 01:48:12,33.76267,-118.26568,0.0,266.3,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A
32,355442000,2021-01-05 01:48:12,33.72969,-118.17215,0.1,274.7,249.0,CABO SAN ANTONIO,IMO9346469,H9MF,89.0,1.0,228.0,33.0,12.7,89.0,A
33,338380055,2021-01-05 01:48:12,33.71842,-118.27809,0.0,237.7,511.0,THE REAGAN YEARS,IMO0000000,,37.0,,22.0,6.0,,,B
34,367760290,2021-01-05 01:48:13,33.7476,-118.21567,0.0,111.1,284.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,,A
35,338207261,2021-01-05 01:48:15,33.72346,-118.06308,0.0,360.0,511.0,TRUE GRIT,IMO0000000,,37.0,,13.0,5.0,,,B
36,338145832,2021-01-05 01:48:15,33.74891,-118.11424,0.0,233.9,511.0,HAPPY DAYS,,,37.0,,19.0,,,,B
37,366755010,2021-01-05 01:48:15,33.74702,-118.21855,1.5,133.1,166.0,MASTER,IMO9188532,WCY6528,31.0,0.0,32.0,10.0,6.8,52.0,A
38,338209202,2021-01-05 01:48:16,33.84974,-118.39707,0.0,360.0,511.0,GEORGIA GAYLE,,,37.0,,7.0,,,,B
39,368048380,2021-01-05 01:48:17,33.75135,-118.11024,0.0,315.8,511.0,TAVISH B.,IMO0000000,WDK3754,37.0,,12.0,4.0,,,B
40,367414180,2021-01-05 01:48:17,33.65847,-118.03518,18.6,315.3,511.0,VALKYRIE,,WDE9156,37.0,,,,,,B
41,366951730,2021-01-05 01:48:18,33.73134,-118.08657,0.0,179.6,269.0,JEFFREY M,,WSX6846,31.0,15.0,23.0,6.0,,52.0,A
42,636019206,2021-01-05 01:48:18,33.66976,-118.15532,0.1,187.3,256.0,,,,,1.0,,,,,A
43,367754970,2021-01-05 01:48:18,33.43734,-118.57501,8.7,164.6,511.0,EMMA RAY,IMO0000000,WDJ2072,30.0,,10.0,4.0,,,B
44,368141530,2021-01-05 01:48:19,33.75264,-118.11767,0.0,360.0,511.0,JOINT VENTURE,IMO0000000,WDL5483,37.0,,15.0,6.0,,,B
45,366979370,2021-01-05 01:48:20,33.77064,-118.21257,0.0,279.3,245.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,5.0,23.0,8.0,,,A
46,636091273,2021-01-05 01:48:20,33.76749,-118.23726,0.0,244.2,72.0,NAJADE,IMO9326706,A8LL4,70.0,5.0,215.0,29.0,11.6,,A
47,367616390,2021-01-05 01:48:20,33.71757,-118.27903,0.0,230.4,511.0,DOOR PRIZE,,WDH4311,37.0,,18.0,,,,B
48,367599960,2021-01-05 01:48:21,33.72068,-118.27816,0.0,83.3,511.0,THE REAGAN YEARS,,WDH2666,37.0,,14.0,4.0,,,B
49,367199310,2021-01-05 01:48:22,33.76304,-118.19946,0.0,279.4,511.0,CATALINA JET,IMO8994142,WDD8449,60.0,15.0,43.0,11.0,1.6,40.0,A
50,367733880,2021-01-05 01:48:22,33.72368,-118.07131,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A
51,367471080,2021-01-05 01:48:23,33.66166,-118.06164,1.0,257.8,511.0,ISABEL L,,WDF6141,60.0,0.0,27.0,5.0,,,A
52,338326628,2021-01-05 01:48:23,33.74927,-118.1135,0.0,105.0,511.0,SUSIE Q,IMO0000000,,37.0,,19.0,5.0,,,B
53,249577000,2021-01-05 01:48:26,33.77031,-118.22485,0.0,329.5,57.0,MINDORO,IMO9389095,9HA4295,80.0,5.0,243.0,42.0,15.1,89.0,A
54,367422010,2021-01-05 01:48:26,33.74555,-118.27221,0.0,360.0,511.0,,,,,3.0,,,,,A
55,353243000,2021-01-05 01:48:26,33.56321,-118.39501,7.2,99.7,98.0,GLORIOUS FUJI,IMO9641780,3EVV4,70.0,0.0,180.0,30.0,8.8,70.0,A
56,477136800,2021-01-05 01:48:27,33.73681,-118.18878,0.0,260.4,90.0,COSCO KAOHSIUNG,IMO9355563,VREM3,70.0,5.0,348.0,45.0,14.5,,A
57,338209606,2021-01-05 01:48:28,33.72529,-118.07659,0.0,210.2,511.0,TELESTO,,,37.0,,,,,,B
58,368011010,2021-01-05 01:48:29,33.71909,-118.27957,0.0,89.1,511.0,HATTENUFF,IMO0000000,WDJ7882,37.0,,15.0,5.0,,,B
59,368117610,2021-01-05 01:48:30,33.75842,-118.18471,0.2,360.0,511.0,FRENCH KISSING LIFE,IMO0000000,WDL3018,37.0,,0.0,0.0,,,B
60,338303738,2021-01-05 01:48:30,33.75933,-118.18857,0.0,72.2,511.0,MEIRA LUNA,IMO0000000,,36.0,,10.0,3.0,,,B
61,374527000,2021-01-05 01:48:32,33.7501,-118.1868,0.0,142.0,181.0,,,,,5.0,,,,,A
62,636018356,2021-01-05 01:48:32,33.69899,-118.12031,0.0,342.3,244.0,,,,,1.0,,,,,A
63,367678850,2021-01-05 01:48:32,33.90803,-118.45004,0.2,63.7,92.0,LELA FRANCO,IMO9747821,WDI2504,31.0,5.0,24.0,,,,A
64,338229302,2021-01-05 01:48:32,33.75327,-118.11114,0.0,215.1,511.0,NAUTICAL SMILE,,,37.0,,,,,,B
65,367133910,2021-01-05 01:48:33,33.76549,-118.25554,0.0,236.6,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,,A
66,338098732,2021-01-05 01:48:35,33.72034,-118.28008,0.0,228.2,511.0,IKAROS,,,37.0,,18.0,5.0,,,B
67,368123940,2021-01-05 01:48:35,33.34605,-118.32411,0.3,360.0,511.0,REVE D'O,IMO0000000,WDL3676,36.0,,14.0,8.0,,,B
68,416495000,2021-01-05 01:48:35,33.69799,-118.15051,0.0,164.7,241.0,EVER LOYAL,IMO9604158,BKIZ,70.0,1.0,334.0,45.0,14.2,71.0,A
69,338334114,2021-01-05 01:48:37,33.84698,-118.3986,0.1,360.0,511.0,RBFD BOAT 63,IMO0000000,RBFD63,37.0,,10.0,4.0,,,B
70,338159837,2021-01-05 01:48:37,33.72413,-118.28213,0.0,238.7,222.0,PACIFIC SUNSET,IMO0000000,,37.0,,10.0,4.0,,,B
71,368136950,2021-01-05 01:48:38,33.75027,-118.2205,2.3,104.9,202.0,,,,,0.0,,,,,A
72,366983530,2021-01-05 01:48:39,33.73024,-118.20301,0.7,108.8,313.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,0.0,24.0,9.0,4.0,52.0,A
73,366998840,2021-01-05 01:48:39,33.76605,-118.27327,0.0,312.9,292.0,MILLENNIUM MAVERICK,IMO9159713,WDC2866,31.0,0.0,30.0,11.0,4.6,,A
74,338217105,2021-01-05 01:48:40,33.72642,-118.06003,0.0,360.0,511.0,BATEAU L'HEUREUX,,,37.0,,,,,,B
75,367506190,2021-01-05 01:48:40,33.72427,-118.28152,0.0,135.5,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B
76,235098885,2021-01-05 01:48:40,33.74319,-118.27353,0.1,206.8,207.0,EVER LEARNED,IMO9604108,2GNG3,70.0,5.0,334.0,45.0,14.2,74.0,A
77,367104070,2021-01-05 01:48:41,33.59516,-118.14522,16.6,145.8,511.0,PATRICK,IMO8982541,WDC9572,60.0,0.0,31.0,6.0,,42.0,A
78,338566000,2021-01-05 01:48:41,33.76972,-118.21752,0.1,222.0,245.0,,,,,5.0,,,,,A
79,366760710,2021-01-05 01:48:42,33.7673,-118.21717,0.0,232.7,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,,A
80,366785290,2021-01-05 01:48:42,33.749,-118.11385,0.1,16.1,511.0,MANDALAY,,WDG4601,37.0,,15.0,,,,B
81,367507960,2021-01-05 01:48:42,33.77184,-118.2117,0.0,275.2,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,,A
82,367008990,2021-01-05 01:48:43,33.4274,-118.53011,8.6,83.4,511.0,EILEEN,IMO7201146,WDC3498,30.0,,24.0,6.0,,,B
83,367698890,2021-01-05 01:48:45,33.74785,-118.21614,7.8,192.3,511.0,FIREBOAT 20,,WDI4461,90.0,5.0,32.0,,,,A
84,366978720,2021-01-05 01:48:46,33.72995,-118.26378,0.0,272.3,248.0,MILLENNIUM FALCON,IMO9219575,WCZ8082,31.0,0.0,32.0,11.0,4.9,,A
85,352361000,2021-01-05 01:48:47,33.6531,-118.12865,102.3,360.0,270.0,MSC BETTINA,IMO9399038,HPFG,71.0,1.0,366.0,52.0,-11.9,71.0,A
86,338131199,2021-01-05 01:48:48,33.75585,-118.11645,0.0,10.8,511.0,,,,,15.0,,,,,A
87,368159190,2021-01-05 01:48:49,33.73931,-118.20978,22.9,133.6,128.0,,,,,15.0,,,,,A
88,338926431,2021-01-05 01:48:49,33.72558,-118.26944,0.0,328.7,343.0,,,,,0.0,,,,,A
