,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,636016204,2021-02-04 01:58:12,33.71167,-118.19483391395347,0.0,210.0,247.0,KOWLOON BAY,IMO9280861,D5EZ6,70.0,1.0,294.0,32.0,13.5,,A
1,367760290,2021-02-04 01:58:12,33.74759,-118.21567990099011,0.0,233.4,283.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,,A
2,368064650,2021-02-04 01:58:12,33.72366366459628,-118.27974099378882,0.2,51.6,511.0,,,,,15.0,,,,,A
3,338177481,2021-02-04 01:58:12,33.7668533444816,-118.1226333110368,0.0,202.3,511.0,CINDERELLA,,,37.0,,11.0,,,,B
4,636014805,2021-02-04 01:58:12,33.688220697674424,-118.13008860465115,0.1,271.5,260.0,CHANTAL,IMO9382982,A8WQ3,80.0,1.0,228.0,32.0,14.3,80.0,A
5,369339000,2021-02-04 01:58:12,33.73434021627907,-118.24893,0.0,251.0,251.0,PRESIDENT KENNEDY,IMO9295218,WPKW,71.0,5.0,300.0,42.0,12.1,71.0,A
6,338207261,2021-02-04 01:58:12,33.72342046035805,-118.06308,0.0,360.0,511.0,TRUE GRIT,IMO0000000,,37.0,,13.0,5.0,,,B
7,538007480,2021-02-04 01:58:12,33.65967136680614,-118.13267136680615,0.0,326.0,278.0,HYUNDAI FAITH,IMO9347554,V7PS7,70.0,1.0,340.0,46.0,-12.7,70.0,A
8,311056900,2021-02-04 01:58:12,33.680930865317514,-118.21161043265876,0.3,268.4,258.0,CSL TECUMSEH,IMO9600994,C6ZJ6,70.0,1.0,228.0,32.0,13.5,,A
9,209795000,2021-02-04 01:58:12,33.67966045560204,-118.12354886099489,0.1,249.0,262.0,,,,,1.0,,,,,A
10,371218000,2021-02-04 01:58:12,33.75266,-118.27431,0.0,205.1,329.0,,,,,5.0,,,,,A
11,370407000,2021-02-04 01:58:12,33.761359819819816,-118.27413981981981,2.4,18.4,199.0,MOL CONTINUITY,IMO9388352,3ESS2,70.0,0.0,320.0,46.0,14.5,73.0,A
12,366903130,2021-02-04 01:58:12,33.72165,-118.27850978139534,0.0,0.0,511.0,THIRD WISH,,WDB4855,37.0,,16.0,4.0,,,B
13,338331664,2021-02-04 01:58:12,33.716648282235276,-118.28095656447054,0.0,286.2,511.0,ASTRAL,IMO0000000,,36.0,,13.0,4.0,,,B
14,538007938,2021-02-04 01:58:12,33.7685,-118.2335,0.1,321.0,73.0,,,,,0.0,,,,,A
15,477257100,2021-02-04 01:58:12,33.68856062790698,-118.11241041860464,0.1,335.2,260.0,CSCL SPRING,IMO9645853,VRMT6,70.0,1.0,335.0,48.0,15.0,,A
16,367507960,2021-02-04 01:58:12,33.7718072072072,-118.21161117117119,0.0,281.0,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,,A
17,367004260,2021-02-04 01:58:12,33.743994311926606,-118.20457137614679,0.0,341.3,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,,A
