,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,367709320,2021-03-06 01:57:49.500,33.7214,-118.28042021720245,0.1,132.5,511.0,QIQI,,WDI5509,37.0,,15.0,,,,B
1,367689990,2021-03-06 01:57:49.500,33.7342304950495,-118.277290990099,0.0,289.6,511.0,HARBOR KING,,WDI3598,60.0,0.0,18.0,7.0,,60.0,A
2,367762210,2021-03-06 01:57:49.500,33.7169,-118.27872684563758,0.0,316.8,511.0,ALOHA,,WDJ2837,37.0,,,,,,B
3,311000923,2021-03-06 01:57:49.500,33.6941928,-118.2000928,0.1,264.4,264.0,,,,,1.0,,,,,A
4,310768000,2021-03-06 01:57:49.500,33.695487066666665,-118.15038676666667,0.2,205.5,269.0,DUESSELDORF EXPRESS,IMO9143556,ZCEV4,70.0,1.0,293.0,32.0,13.6,,A
5,366760650,2021-03-06 01:57:49.500,33.74731720720723,-118.21856954954961,4.6,316.9,135.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A
6,367089760,2021-03-06 01:57:49.500,33.71342020439226,-118.05526,0.0,0.0,511.0,INAMORATA,,WDC8592,37.0,,12.0,4.0,,,B
7,566942000,2021-03-06 01:57:49.500,33.6218492,-118.04222,0.2,340.0,301.0,WAN HAI 517,IMO9457660,9V7583,70.0,1.0,259.0,37.0,11.0,70.0,A
8,368078070,2021-03-06 01:57:49.500,33.481506484375004,-118.0205953125,10.3,47.7,511.0,THUNDERBIRD,IMO0000000,WDK6786,30.0,,23.0,6.0,,,B
9,367655460,2021-03-06 01:57:49.500,33.72433788990828,-118.28053,0.0,360.0,511.0,NATIVE SUN,,WDH8179,60.0,0.0,22.0,7.0,,,A
10,338247851,2021-03-06 01:57:49.500,33.72689810810811,-118.07568,0.0,93.5,511.0,GO TIME,IMO0000000,,30.0,,10.0,4.0,,,B
