,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,311827000,2021-01-06 01:50:18.500,33.73501,-118.14311333333332,0.1,0.8,261.0,NORWEGIAN JEWEL,IMO9304045,C6TX6,60.0,1.0,294.0,37.0,8.3,,A,3018,1097
1,367369720,2021-01-06 01:50:18.500,33.735032727272724,-118.15944,0.0,327.6,272.0,ALTA JUNE,IMO9552290,WDE5645,31.0,0.0,23.0,10.0,,,A,2836,1097
2,367655170,2021-01-06 01:50:18.500,33.72381324414716,-118.28082648829432,0.5,42.5,511.0,PACIFIC STAR,IMO0000000,WDH8150,34.0,,22.0,8.0,,,B,1485,1222
3,367344710,2021-01-06 01:50:18.500,33.61481,-117.91455,0.0,34.9,25.0,SERENGETI,,WDE3827,37.0,5.0,35.0,7.0,,37.0,A,5562,2435
4,636019717,2021-01-06 01:50:18.500,33.67719,-118.2100632,0.2,295.9,269.0,VOLANS,IMO9430777,D5VV2,71.0,1.0,265.0,32.0,11.5,71.0,A,2272,1741
5,367766020,2021-01-06 01:50:18.500,33.61474152542373,-117.9144145762712,0.0,360.0,511.0,FULL THROTTLE,IMO0000000,,37.0,,0.0,0.0,,,B,5564,2436
6,416464000,2021-01-06 01:50:18.500,33.75433,-118.2755,0.0,330.6,331.0,YM UNICORN,IMO9462732,BLHI,70.0,5.0,333.0,42.0,13.0,,A,1544,882
7,367661930,2021-01-06 01:50:18.500,33.72959681818182,-118.27534909090907,0.0,179.6,128.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,0.0,24.0,,,,A,1546,1158
8,367308610,2021-01-06 01:50:18.500,33.771513166666665,-118.21163683333332,0.0,240.4,250.0,SARAH C,,WDD9226,31.0,5.0,19.0,6.0,,31.0,A,2255,691
9,477014800,2021-01-06 01:50:18.500,33.72473373333333,-118.2168418,0.0,2.4,260.0,SEASPAN HAMBURG,IMO9224300,VRBH6,70.0,1.0,259.0,32.0,12.6,,A,2197,1212
10,338310725,2021-01-06 01:50:18.500,33.71963,-118.27671686666666,0.1,118.7,511.0,WAHOO,IMO0000000,WDD8948,37.0,,11.0,4.0,,,B,1530,1269
11,248699000,2021-01-06 01:50:18.500,33.73327919191919,-118.25288676767676,0.0,254.0,251.0,APL FLORIDA,IMO9350032,9HA4766,71.0,5.0,293.0,40.0,11.7,71.0,A,1796,1117
12,477738600,2021-01-06 01:50:18.500,33.58885090909091,-118.32446181818182,10.3,271.0,270.0,OOCL LUXEMBOURG,IMO9417270,VRGO3,70.0,0.0,322.0,42.0,14.5,70.0,A,999,2724
13,255805854,2021-01-06 01:50:18.500,33.75249301324504,-118.27425013245032,0.0,328.5,330.0,,,,,5.0,,,,,A,1558,903
14,636017153,2021-01-06 01:50:18.500,33.70433,-118.20383,0.0,330.0,276.0,SEALAND MANZANILLO,IMO9383261,A8QP4,70.0,1.0,208.0,29.0,11.6,,A,2342,1439
15,367014480,2021-01-06 01:50:18.500,33.7672,-118.22042,0.2,195.1,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2157,739
16,366755020,2021-01-06 01:50:18.500,33.75399302752294,-118.26477550458716,7.3,42.5,511.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A,1663,886
17,232018901,2021-01-06 01:50:18.500,33.730164,-118.255063,0.0,228.6,71.0,,,,,5.0,,,,,A,1772,1151
18,367303000,2021-01-06 01:50:18.500,33.77583813333333,-118.21248186666666,0.0,360.0,242.0,,,,,0.0,,,,,A,2246,643
19,538008133,2021-01-06 01:50:18.500,33.68905,-118.12963483333334,0.1,302.2,261.0,,,,,1.0,,,,,A,3168,1609
20,368165820,2021-01-06 01:50:18.500,33.7234,-118.28064789473684,0.0,221.1,511.0,,,,,0.0,,,,,A,1487,1227
21,311603000,2021-01-06 01:50:18.500,33.7147513,-118.1443687,0.1,322.5,259.0,NAT GEO ORION,IMO9273076,C6TE3,60.0,1.0,102.0,14.0,3.8,,A,3004,1323
22,338236748,2021-01-06 01:50:18.500,33.61335,-117.901971775,0.0,19.6,511.0,STAMPEDE,,,37.0,,,,,,B,5702,2452
