,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338392591,2021-01-18 13:52:50.500,33.62131,-117.89708,0.0,306.8,511.0,SAY ANYTHING,IMO0000000,,37.0,,10.0,4.0,,,B,6341,3069
1,367368180,2021-01-18 13:52:50.500,33.729711153846154,-118.26508192307692,5.7,158.1,511.0,CHRISTY S,,WDE5537,60.0,,19.0,5.0,,,B,2245,1862
2,338169044,2021-01-18 13:52:50.500,33.61165,-117.90421,0.0,115.9,511.0,BREANNA,IMO7634939,,37.0,,24.0,6.0,,,B,6262,3176
3,215183000,2021-01-18 13:52:50.500,33.76645,-118.2734364,0.0,360.0,82.0,,,,,5.0,,,,,A,2152,1453
4,367733880,2021-01-18 13:52:50.500,33.72365,-118.07129,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A,4402,1930
5,477655200,2021-01-18 13:52:50.500,33.7408972,-118.1972908,0.0,243.0,270.0,COSCO JAPAN,IMO9448748,VRFX5,70.0,5.0,334.0,42.0,14.5,71.0,A,2999,1738
6,256106000,2021-01-18 13:52:50.500,33.734086399999995,-118.16101926666668,0.1,145.6,328.0,,,,,1.0,,,,,A,3403,1813
7,563073500,2021-01-18 13:52:50.500,33.69759522522523,-118.18946576576576,7.7,191.4,190.0,,,,,0.0,,,,,A,3087,2220
8,366978720,2021-01-18 13:52:50.500,33.73735972477064,-118.18953422018348,0.2,15.0,183.0,MILLENNIUM FALCON,IMO9219575,WCZ8082,31.0,0.0,32.0,11.0,4.9,,A,3086,1777
9,235102681,2021-01-18 13:52:50.500,33.74290802675585,-118.27352364548494,0.2,10.7,207.0,EVER LOADING,IMO9629081,2HDG4,70.0,5.0,334.0,45.0,14.2,74.0,A,2151,1715
10,354928000,2021-01-18 13:52:50.500,33.663421621621616,-118.17580171171171,2.2,354.4,355.0,,,,,8.0,,,,,A,3239,2600
11,431740000,2021-01-18 13:52:50.500,33.742555675675675,-118.20511675675677,2.8,306.2,126.0,,,,,0.0,,,,,A,2912,1719
12,367719100,2021-01-18 13:52:50.500,33.69074,-118.18603,1.5,10.3,9.0,,,,,0.0,,,,,A,3125,2296
13,477117900,2021-01-18 13:52:50.500,33.73677193050193,-118.1928557915058,0.0,168.6,90.0,CSCL AUTUMN,IMO9645891,VRNA7,70.0,5.0,334.0,48.0,15.0,,A,3049,1784
14,367678390,2021-01-18 13:52:50.500,33.61364,-117.92474697478993,0.0,307.7,226.0,EL TIGRE,,WDI2461,37.0,0.0,19.0,6.0,,0.0,A,6033,3154
15,477637600,2021-01-18 13:52:50.500,33.6288349,-118.07973653333332,0.1,246.4,129.0,CSCL SOUTH CHINA SEA,IMO9645920,VRNT8,70.0,1.0,335.0,48.0,15.0,,A,4308,2985
16,236000990,2021-01-18 13:52:50.500,33.61157937300744,-117.92684,0.0,0.0,511.0,TATU,IMO0000000,ZDEU2,37.0,,28.0,6.0,,,B,6010,3177
17,367049470,2021-01-18 13:52:50.500,33.76268830357143,-118.26563169642856,0.0,307.7,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A,2239,1495
18,338100018,2021-01-18 13:52:50.500,33.848641597337775,-118.39935840266224,0.0,259.7,511.0,MARE'ZIA,,,37.0,,12.0,3.0,,,B,750,538
19,338185756,2021-01-18 13:52:50.500,33.71592,-118.06273,0.0,182.6,511.0,HATTITUDE,,,37.0,,13.0,,,,B,4497,2016
20,229979000,2021-01-18 13:52:50.500,33.7353953,-118.21749566666666,0.1,278.0,344.0,SANTA BETTINA,IMO9338084,9HA3768,70.0,1.0,222.0,30.0,12.0,71.0,A,2775,1799
21,338238542,2021-01-18 13:52:50.500,33.61317,-117.92445158069884,0.0,315.5,511.0,ADVENTURE,,,37.0,,,,,,B,6037,3159
22,367766020,2021-01-18 13:52:50.500,33.61448557522124,-117.91383,0.0,360.0,511.0,FULL THROTTLE,IMO0000000,,37.0,,0.0,0.0,,,B,6155,3145
23,367014480,2021-01-18 13:52:50.500,33.767193181818186,-118.22042681818182,0.1,172.3,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2742,1445
24,538008133,2021-01-18 13:52:50.500,33.75473,-118.23085301003346,0.0,249.4,71.0,,,,,5.0,,,,,A,2626,1584
25,338240395,2021-01-18 13:52:50.500,33.72351,-118.28125,0.1,3.4,511.0,TIDAL WAVE,,,37.0,,,,,,B,2065,1931
26,563096700,2021-01-18 13:52:50.500,33.70537535117057,-118.1329733444816,0.1,15.0,346.0,EVER SAFETY,IMO9300465,9V2792,71.0,1.0,300.0,43.0,-12.1,71.0,A,3715,2133
27,636015506,2021-01-18 13:52:50.500,33.68070848484849,-118.21311292929292,0.2,3.8,315.0,MSC VEGA,IMO9465265,D5BE4,70.0,1.0,366.0,48.0,16.5,,A,2823,2408
28,367625790,2021-01-18 13:52:50.500,33.61671,-117.92474,0.0,305.8,511.0,LADY K,,WDH5226,37.0,,20.0,,,,B,6033,3120
29,636017753,2021-01-18 13:52:50.500,33.58080672727272,-118.32209890909093,6.0,75.3,76.0,CRETE I,IMO9401271,A8RU5,70.0,0.0,304.0,40.0,14.5,70.0,A,1610,3520
30,367698890,2021-01-18 13:52:50.500,33.76098851973684,-118.21835148026317,0.0,18.9,511.0,FIREBOAT 20,,WDI4461,90.0,5.0,32.0,,,,A,2765,1514
31,338364968,2021-01-18 13:52:50.500,33.76176270627062,-118.18464,0.1,360.0,511.0,BRISA,IMO0000000,,36.0,,12.0,4.0,,,B,3140,1505
32,367559940,2021-01-18 13:52:50.500,33.76189,-118.18284,0.0,341.5,511.0,TRAILERHOOD,,WDG6717,37.0,,14.0,,,,B,3160,1504
33,636018223,2021-01-18 13:52:50.500,33.689221366666665,-118.2135959,0.1,338.7,328.0,NYK MARIA,IMO9406764,D5OS4,70.0,1.0,210.0,30.0,10.3,70.0,A,2818,2313
34,305302000,2021-01-18 13:52:50.500,33.7448861,-118.2098413,0.1,309.8,309.0,BBC AUSTRIA,IMO9433327,V2DQ3,70.0,5.0,119.0,20.0,7.6,70.0,A,2860,1693
35,338179205,2021-01-18 13:52:50.500,33.619467471647766,-117.92484,0.0,17.4,511.0,GAIL-ANNE,,,37.0,,,,,,B,6032,3089
36,367661930,2021-01-18 13:52:50.500,33.72351543689321,-118.27081902912622,6.7,160.8,152.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,0.0,24.0,,,,A,2181,1931
37,477067900,2021-01-18 13:52:50.500,33.7567663,-118.21422643333334,0.0,341.2,1.0,OOCL UTAH,IMO9486087,VRNR5,70.0,5.0,334.0,42.0,14.7,,A,2811,1561
38,367309720,2021-01-18 13:52:50.500,33.77158315,-118.21203,0.0,319.1,511.0,NOHEA,IMO8206882,WDD9311,31.0,5.0,28.0,9.0,3.8,,A,2835,1396
39,367395330,2021-01-18 13:52:50.500,33.61543880398671,-117.90291,0.0,306.1,511.0,THE LAST HURRAH,,WDE7609,37.0,,24.0,6.0,,,B,6276,3134
40,367004260,2021-01-18 13:52:50.500,33.74400290909092,-118.20460236363635,0.0,320.5,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,,A,2918,1703
41,367627850,2021-01-18 13:52:50.500,33.84823881188118,-118.39781118811882,0.0,129.8,511.0,KOKOMO,,WDH5426,37.0,,9.0,,,,B,767,543
42,368084540,2021-01-18 13:52:50.500,33.743950097087385,-118.20718009708736,3.0,307.5,124.0,,,,,0.0,,,,,A,2889,1704
43,367506190,2021-01-18 13:52:50.500,33.724268800000004,-118.2815388,0.0,70.0,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B,2062,1923
44,338087117,2021-01-18 13:52:50.500,33.74711886666667,-118.21565,0.2,314.6,108.0,ALTAIR,,,60.0,,10.0,3.0,,,B,2795,1668
45,367422010,2021-01-18 13:52:50.500,33.74619211009175,-118.27180788990826,0.0,360.0,511.0,,,,,3.0,,,,,A,2170,1679
46,338034287,2021-01-18 13:52:50.500,33.61795219269103,-117.92737890365449,0.0,134.7,511.0,TITUS,IMO0000000,TITUS,37.0,,20.0,6.0,,,B,6004,3106
47,338304692,2021-01-18 13:52:50.500,33.84805,-118.39812890365448,0.1,261.5,511.0,SECOND WIND,IMO0000000,,36.0,,10.0,3.0,,,B,764,545
48,367691660,2021-01-18 13:52:50.500,33.748761090909085,-118.11410927272728,0.0,280.9,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,,A,3925,1650
49,432786000,2021-01-18 13:52:50.500,33.727193552631576,-118.20294815789477,0.1,43.2,339.0,CAPE SAKURA,IMO9573763,7JHZ,70.0,1.0,291.0,45.0,18.2,70.0,A,2936,1890
50,311827000,2021-01-18 13:52:50.500,33.7348,-118.1439820735786,0.1,287.2,352.0,NORWEGIAN JEWEL,IMO9304045,C6TX6,60.0,1.0,294.0,37.0,8.3,,A,3593,1805
51,368155570,2021-01-18 13:52:50.500,33.61,-117.89596106666669,0.0,317.6,511.0,PARLAY,IMO0000000,WDL6941,37.0,,11.0,4.0,,,B,6354,3195
52,367329550,2021-01-18 13:52:50.500,33.61292,-117.92431,0.0,0.0,511.0,BEAR FLAG,,WRB9786,60.0,,17.0,5.0,,,B,6038,3162
53,372724000,2021-01-18 13:52:50.500,33.7576207,-118.26004446666668,0.0,249.6,38.0,HAMBURG BRIDGE,IMO9395159,3FVW2,70.0,5.0,336.0,45.0,14.0,72.0,A,2301,1551
54,636013691,2021-01-18 13:52:50.500,33.7642,-118.27203,0.0,301.9,199.0,YM UPWARD,IMO9337468,A8OR6,70.0,5.0,333.0,42.0,14.5,,A,2167,1478
55,338209606,2021-01-18 13:52:50.500,33.72551499165276,-118.07643350584308,0.0,42.3,511.0,TELESTO,,,37.0,,,,,,B,4345,1909
56,338228367,2021-01-18 13:52:50.500,33.74913738255033,-118.1143508724832,0.0,291.6,511.0,MY REVENGE,IMO0000000,,37.0,,19.0,7.0,,,B,3923,1646
57,338186834,2021-01-18 13:52:50.500,33.75128,-118.11033,0.0,18.3,511.0,T/T VIRGINIA LEE,,,37.0,,,,,,B,3967,1622
58,357051000,2021-01-18 13:52:50.500,33.63403990909091,-118.12280163636365,6.0,59.3,60.0,MSC DANIT,IMO9404649,3FZU8,70.0,0.0,365.0,51.0,16.0,,A,3829,2927
59,368136950,2021-01-18 13:52:50.500,33.72492,-118.19269603773584,0.4,75.9,26.0,,,,,0.0,,,,,A,3051,1915
60,367702780,2021-01-18 13:52:50.500,33.74232348623853,-118.19565174311926,0.1,116.9,67.0,SARAH,IMO9824887,WDI4859,31.0,0.0,23.0,,,,A,3018,1722
61,367507960,2021-01-18 13:52:50.500,33.77180554545455,-118.21169063636364,0.0,275.0,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,,A,2839,1394
62,367101530,2021-01-18 13:52:50.500,33.84188910299004,-118.39154910299004,0.1,194.2,511.0,CARIBE ALLIANCE,,WDI9216,90.0,5.0,19.0,6.0,,53.0,A,837,613
63,338393998,2021-01-18 13:52:50.500,33.61003281045751,-117.89576359477124,0.0,360.0,511.0,HUNTRESS,IMO0000000,,37.0,,10.0,4.0,,,B,6356,3194
64,338139212,2021-01-18 13:52:50.500,33.847050102061644,-118.39726,0.1,55.7,511.0,INCOMMUNICADO,,,37.0,,15.0,,,,B,773,556
65,367133910,2021-01-18 13:52:50.500,33.7655,-118.25561016806724,0.0,266.0,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,,A,2350,1464
66,338310725,2021-01-18 13:52:50.500,33.71963,-118.27673,0.1,95.4,511.0,WAHOO,IMO0000000,WDD8948,37.0,,11.0,4.0,,,B,2115,1974
67,338363236,2021-01-18 13:52:50.500,33.71871917218543,-118.27755,0.0,360.0,511.0,WILMA 1,IMO0000000,,37.0,,18.0,16.0,,,B,2106,1984
68,352179000,2021-01-18 13:52:50.500,33.77255,-118.22089596774192,0.0,182.0,237.0,EAGLE SYDNEY,IMO9413004,3FUU,80.0,5.0,228.0,42.0,14.8,,A,2737,1385
69,368172150,2021-01-18 13:52:50.500,33.61213166666667,-117.92631,0.0,282.6,511.0,PATHFINDER____,IMO157014000,WDL8710,37.0,5.0,18.0,6.0,2.0,37.0,A,6016,3171
