,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338060204,2021-02-04 01:58:26.500,33.72099022563387,-118.27909,0.0,360.0,511.0,,,,,1.0,,,,,A,1514,1038
1,636092268,2021-02-04 01:58:26.500,33.64162954418605,-118.13370954418605,0.0,184.2,262.0,MSC RAVENNA,IMO9484431,A8ZU8,70.0,1.0,365.0,51.0,16.0,,A,3132,1921
2,338162425,2021-02-04 01:58:26.500,33.72280977917248,-118.06875,0.0,271.0,511.0,CHELSEA SKYE  TWO,IMO0000000,,37.0,,0.0,0.0,,,B,3855,1018
3,338229302,2021-02-04 01:58:26.500,33.75329431952663,-118.11112,0.0,297.3,511.0,NAUTICAL SMILE,,,37.0,,,,,,B,3384,678
4,354891000,2021-02-04 01:58:26.500,33.665949344186046,-118.12230978139534,0.1,172.6,269.0,NYK NEBULA,IMO9337640,3ENG6,70.0,1.0,294.0,32.0,13.5,71.0,A,3259,1651
5,310531000,2021-02-04 01:58:26.500,33.73417728033473,-118.17017062761506,0.1,219.0,219.0,EMERALD PRINCESS,IMO9333151,ZCDP8,60.0,1.0,288.0,36.0,8.5,69.0,A,2726,891
6,338122738,2021-02-04 01:58:26.500,33.72395,-118.28373,0.0,250.0,511.0,FREE SPIRIT,,,37.0,,12.0,,,,B,1462,1005
7,338352671,2021-02-04 01:58:26.500,33.72169979560774,-118.27935959121548,0.0,286.5,511.0,ZORYANA,IMO0000000,,37.0,,0.0,0.0,,,B,1511,1030
8,338366226,2021-02-04 01:58:26.500,33.71637654545455,-118.27787236363636,0.5,344.4,339.0,,,,,0.0,,,,,A,1527,1089
9,235414000,2021-02-04 01:58:26.500,33.705289786046514,-118.12979978604652,0.1,210.1,251.0,EVER ENVOY,IMO9241308,VSQL9,70.0,1.0,300.0,42.0,13.5,,A,3176,1213
10,368048380,2021-02-04 01:58:26.500,33.75135,-118.11023,0.0,302.5,511.0,TAVISH B.,IMO0000000,WDK3754,37.0,,12.0,4.0,,,B,3394,700
11,566828000,2021-02-04 01:58:26.500,33.69718043255814,-118.11972,0.0,291.0,255.0,WAN HAI 515,IMO9457646,9V7851,70.0,1.0,258.0,37.0,12.8,70.0,A,3288,1303
12,338098732,2021-02-04 01:58:26.500,33.72035744403391,-118.28006,0.0,266.9,511.0,IKAROS,,,37.0,,18.0,5.0,,,B,1503,1045
13,255805859,2021-02-04 01:58:26.500,33.668190845724915,-118.13866021143122,0.1,96.3,272.0,MSC ANTONELLA,IMO9702273,CQZF,70.0,1.0,299.0,,,,A,3077,1626
14,338159837,2021-02-04 01:58:26.500,33.72411,-118.28214958614276,0.0,185.8,222.0,PACIFIC SUNSET,IMO0000000,,37.0,,10.0,4.0,,,B,1480,1003
15,366785290,2021-02-04 01:58:26.500,33.74902039525692,-118.11383,0.0,11.9,511.0,MANDALAY,,WDG4601,37.0,,15.0,,,,B,3353,726
16,367724740,2021-02-04 01:58:26.500,33.76242533333333,-118.195384,0.0,357.5,511.0,LA ESPADA,IMO8793328,WDI7035,60.0,15.0,,,,,A,2446,577
17,338228649,2021-02-04 01:58:26.500,33.75112932108812,-118.11286033945592,0.1,360.0,511.0,COLLEEN JR.,IMO0000000,,37.0,,14.0,6.0,,,B,3364,702
18,367691660,2021-02-04 01:58:26.500,33.74877174311927,-118.11409825688072,0.0,262.5,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,,A,3350,729
19,366932980,2021-02-04 01:58:26.500,33.77087018376367,-118.21178981623632,0.0,19.1,66.0,DREW FOSS,IMO7626217,WYL5718,31.0,5.0,38.0,10.0,4.2,,A,2263,483
20,311603000,2021-02-04 01:58:26.500,33.71490595813954,-118.14439908139536,0.2,146.9,205.0,NAT GEO ORION,IMO9273076,C6TE3,60.0,1.0,102.0,14.0,3.8,,A,3013,1106
21,371274000,2021-02-04 01:58:26.500,33.75329067007911,-118.23596983248022,0.0,353.5,250.0,,,,,5.0,,,,,A,1994,678
22,241501000,2021-02-04 01:58:26.500,33.62591035357059,-118.0514998232147,0.0,208.4,298.0,,,,,1.0,,,,,A,4047,2096
23,372361000,2021-02-04 01:58:26.500,33.72988053733426,-118.22601053733428,0.1,62.3,225.0,ALBION BAY,IMO9496989,3FLD3,70.0,1.0,197.0,32.0,12.7,,A,2105,939
24,353162000,2021-02-04 01:58:26.500,33.7436,-118.19543017449978,0.0,145.0,270.0,MSC BEATRICE,IMO9399014,3FUF2,70.0,5.0,366.0,51.0,15.6,,A,2445,786
25,367621160,2021-02-04 01:58:26.500,33.72464,-118.28079,0.0,360.0,511.0,FREEDOM,,WDH4766,60.0,0.0,24.0,7.0,,,A,1495,997
26,367733880,2021-02-04 01:58:26.500,33.72366218181818,-118.07131,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,,A,3827,1008
27,338083011,2021-02-04 01:58:26.500,33.748720625000004,-118.11391,0.3,141.2,511.0,OFFLINE,,,37.0,,19.0,,,,B,3353,729
28,249414000,2021-02-04 01:58:26.500,33.75903174378052,-118.2769893024878,0.0,300.6,37.0,ZIM SAO PAOLO,IMO9389681,9HRL9,70.0,5.0,260.0,32.0,12.6,70.0,A,1537,614
29,367309390,2021-02-04 01:58:26.500,33.77160965581396,-118.21188017209302,0.0,245.9,147.0,PACIFIC FREEDOM,IMO7047708,WDD9283,31.0,5.0,34.0,9.0,3.8,52.0,A,2262,474
30,367133910,2021-02-04 01:58:26.500,33.76548209090909,-118.25558581818184,0.0,259.5,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,,A,1775,543
31,367647270,2021-02-04 01:58:26.500,33.73503945945946,-118.27100945945946,0.0,315.1,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A,1604,882
32,368024590,2021-02-04 01:58:26.500,33.72400033953488,-118.28090016976743,0.1,341.7,511.0,BOTTOM SCRATCHER,IMO0000000,WDJ9293,34.0,,21.0,6.0,,,B,1494,1004
33,367422010,2021-02-04 01:58:26.500,33.74765247933884,-118.27088247933884,0.0,360.0,511.0,,,,,3.0,,,,,A,1605,741
