,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,368057780,2021-02-16 01:58:26.500,33.76570815476191,-118.25498369047618,0.1,209.4,511.0,LA MLETC BOAT 6,IMO0000000,WDK4692,55.0,,9.0,3.0,,,B,1782,541
1,367593450,2021-02-16 01:58:26.500,33.70219045126773,-118.10767045126774,0.2,260.0,511.0,SEA QUEEN IIA,IMO8970304,WDH2007,30.0,,25.0,7.0,,,B,3421,1248
2,366755010,2021-02-16 01:58:26.500,33.740362545454545,-118.27803036363636,0.0,339.2,5.0,MASTER,IMO9188532,WCY6528,31.0,0.0,32.0,10.0,6.8,52.0,A,1525,823
3,338083011,2021-02-16 01:58:26.500,33.74871,-118.11387085993486,0.0,169.5,511.0,OFFLINE,,,37.0,,19.0,,,,B,3352,730
4,338303738,2021-02-16 01:58:26.500,33.75933,-118.18859,0.0,249.9,511.0,MEIRA LUNA,IMO0000000,,36.0,,10.0,3.0,,,B,2521,612
5,235335000,2021-02-16 01:58:26.500,33.67286178604651,-118.10551111627908,0.0,333.4,236.0,EVER EAGLE,IMO9241310,ZNZH6,70.0,1.0,299.0,42.0,13.5,,A,3445,1574
6,338229302,2021-02-16 01:58:26.500,33.753303200000005,-118.1111464,0.0,278.2,511.0,NAUTICAL SMILE,,,37.0,,,,,,B,3383,679
7,636019717,2021-02-16 01:58:26.500,33.69319088351546,-118.20017088351544,0.1,260.4,237.0,VOLANS,IMO9430777,D5VV2,71.0,1.0,265.0,32.0,11.6,71.0,A,2392,1348
8,205761000,2021-02-16 01:58:26.500,33.62490044186046,-118.06632022093024,0.1,191.2,249.0,,,,,1.0,,,,,A,3882,2108
9,367766860,2021-02-16 01:58:26.500,33.771790432014555,-118.21152956798544,0.0,350.8,511.0,SEANA C,,WDJ3319,31.0,5.0,21.0,7.0,,,A,2265,473
10,355896000,2021-02-16 01:58:26.500,33.743479125581395,-118.2010386883721,0.0,174.4,91.0,ALASKAN STAR,IMO8750089,HP6335,90.0,5.0,84.0,60.0,7.3,,A,2382,788
