,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338186088,2021-05-18 13:52:51.500,33.71968,-118.27978,0.0,135.8,511.0,CLOUDBURST,,,37.0,,14.0,,,,B,2081,1974
1,367004260,2021-05-18 13:52:51.500,33.767286909090906,-118.21725,0.0,270.6,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,52.0,A,2777,1444
2,538002271,2021-05-18 13:52:51.500,33.77258,-118.22092,0.0,172.3,237.0,SEAWAYS REYMAR,IMO9275749,V7HN9,80.0,5.0,229.0,32.0,13.6,80.0,A,2737,1385
3,341774000,2021-05-18 13:52:51.500,33.61478,-117.91441445454544,0.0,249.7,511.0,MING,,V4MY3,90.0,0.0,,,,90.0,A,6149,3142
4,309901000,2021-05-18 13:52:51.500,33.7606404,-118.2733144,0.0,190.4,197.0,MOL CELEBRATION,IMO9321251,C6WW7,70.0,5.0,316.0,45.0,14.5,74.0,A,2153,1518
5,367693690,2021-05-18 13:52:51.500,33.77155,-118.21223351351352,0.0,315.0,156.0,KELLY C,IMO7035327,WDI3956,31.0,0.0,26.0,8.0,3.6,32.0,A,2833,1397
6,636012630,2021-05-18 13:52:51.500,33.725717600979195,-118.2173705997552,0.0,127.0,241.0,ICE FIGHTER,IMO9333656,A8GR3,80.0,1.0,228.0,32.0,13.7,80.0,A,2776,1907
7,367314820,2021-05-18 13:52:51.500,33.71778020004082,-118.2790802000408,0.0,329.8,511.0,SUNDANCE,,WDD9682,37.0,,18.0,5.0,,,B,2089,1995
8,338227000,2021-05-18 13:52:51.500,33.632833773584906,-118.19417150943396,8.4,57.7,58.0,OHIO,IMO9704776,WOHN,80.0,0.0,183.0,32.0,13.0,80.0,A,3034,2941
9,351526000,2021-05-18 13:52:51.500,33.74675633333333,-118.20663316666668,0.1,137.0,179.0,SANTA JOHANNA,IMO9806782,3FMD4,70.0,5.0,,,,70.0,A,2896,1673
10,367676990,2021-05-18 13:52:51.500,33.61688846153846,-117.92673461538462,0.0,0.0,511.0,NEVER SAY NEVER,,WDI2323,37.0,,20.0,5.0,,,B,6011,3118
11,219031000,2021-05-18 13:52:51.500,33.70548461988304,-118.20367269005848,0.1,296.9,220.0,MAERSK ESSEX,IMO9458092,OXSQ2,71.0,1.0,366.0,48.0,14.5,71.0,A,2929,2132
12,338366226,2021-05-18 13:52:51.500,33.72339,-118.28049673267329,0.0,248.1,511.0,V.A.POINT VICENTE,,,31.0,0.0,23.0,6.0,2.0,31.0,A,2073,1933
13,338400252,2021-05-18 13:52:51.500,33.61792,-117.9214702261153,0.0,360.0,511.0,WHITE STAR,IMO0000000,,37.0,,15.0,6.0,,,B,6070,3107
14,366806940,2021-05-18 13:52:51.500,33.75402,-118.22429709090908,0.0,255.7,511.0,VALHALLA,,WDA4208,90.0,3.0,77.0,23.0,,0.0,A,2699,1592
15,366926740,2021-05-18 13:52:51.500,33.7653,-118.24144036697248,0.2,92.9,75.0,TIM QUIGG,IMO8987917,WDB6570,31.0,0.0,24.0,9.0,4.0,52.0,A,2508,1466
16,355442000,2021-05-18 13:52:51.500,33.707975083612034,-118.14177180602006,0.1,226.5,220.0,CABO SAN ANTONIO,IMO9346469,H9MF,89.0,1.0,228.0,33.0,10.0,89.0,A,3618,2104
17,338100018,2021-05-18 13:52:51.500,33.84869,-118.3993566555184,0.0,66.5,511.0,MARE'ZIA,,,37.0,,12.0,3.0,,,B,750,538
18,368048380,2021-05-18 13:52:51.500,33.75135,-118.11023833333334,0.0,360.0,511.0,TAVISH B.,IMO0000000,WDK3754,37.0,,12.0,4.0,,,B,3969,1622
19,366857070,2021-05-18 13:52:51.500,33.66843333333333,-118.19538222222222,27.1,192.8,511.0,JET CAT EXPRESS,IMO9367475,WDA8695,60.0,5.0,44.0,10.0,,40.0,A,3021,2545
20,255805944,2021-05-18 13:52:51.500,33.76424553398058,-118.27207,0.0,199.0,199.0,EVER CONQUEST,IMO9293818,CQIF4,70.0,5.0,333.0,42.0,14.5,79.0,A,2167,1478
21,338926431,2021-05-18 13:52:51.500,33.7261219201995,-118.2696280798005,0.0,263.0,342.0,CGC TERRELL HORNE,,NTHE,0.0,5.0,46.0,7.0,0.0,0.0,A,2194,1902
22,367133910,2021-05-18 13:52:51.500,33.765449272727274,-118.25555763636363,0.0,281.2,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,2351,1465
23,367776050,2021-05-18 13:52:51.500,33.7321028440367,-118.27285788990824,3.8,342.1,511.0,PACIFIC PATRIOT,IMO8842416,WDJ4269,70.0,0.0,19.0,7.0,,52.0,A,2158,1836
24,338127501,2021-05-18 13:52:51.500,33.75181839732888,-118.11151240400667,0.0,147.1,511.0,SERENITY,,,37.0,,11.0,,,,B,3955,1616
25,367691660,2021-05-18 13:52:51.500,33.74880509090909,-118.11408754545457,0.0,293.0,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,30.0,A,3926,1650
26,477699100,2021-05-18 13:52:51.500,33.6381196,-118.1364448,0.0,203.6,292.0,NEW PROSPERITY,IMO9689988,VRNHK,80.0,1.0,333.0,60.0,22.5,89.0,A,3677,2882
27,636019717,2021-05-18 13:52:51.500,33.61390844036697,-118.3794013761468,9.7,120.3,120.0,VOLANS,IMO9430777,D5VV2,71.0,0.0,265.0,32.0,11.3,71.0,A,972,3152
28,367604980,2021-05-18 13:52:51.500,33.6066615,-117.8857415,0.0,77.3,511.0,BOPPY'S STAR,,WDH3169,37.0,,17.0,,,,B,6468,3232
29,338131199,2021-05-18 13:52:51.500,33.76212,-118.19439858333334,0.0,46.4,511.0,R/V CHALLENGER,,WDE7334,90.0,15.0,33.0,4.0,0.0,90.0,A,3032,1502
30,370993000,2021-05-18 13:52:51.500,33.65957309210527,-118.15425381578946,0.0,301.7,291.0,MSC FRANCESCA,IMO9401116,3FXI,70.0,1.0,363.0,45.0,15.5,70.0,A,3479,2643
31,367760290,2021-05-18 13:52:51.500,33.74759,-118.21567,0.1,353.1,284.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,90.0,A,2795,1663
32,338392952,2021-05-18 13:52:51.500,33.84795980954332,-118.39587114274012,0.0,360.0,511.0,IDLER,IMO0000000,,37.0,,10.0,3.0,,,B,789,546
33,368171260,2021-05-18 13:52:51.500,33.76918,-118.21779311926603,0.0,255.9,64.0,MADELINE B HAMILTON,,WDL8617,57.0,0.0,18.0,8.0,0.0,52.0,A,2771,1423
34,367733880,2021-05-18 13:52:51.500,33.72366,-118.07129,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,37.0,A,4402,1930
35,367034960,2021-05-18 13:52:51.500,33.7676,-118.21699567567568,0.0,22.2,28.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2780,1441
36,367044560,2021-05-18 13:52:51.500,33.7216,-118.27133,0.1,290.0,511.0,PHINEAS BANNING,,WCT8646,,15.0,15.0,4.0,,50.0,A,2175,1953
37,368114640,2021-05-18 13:52:51.500,33.60063,-117.88208136212624,0.0,360.0,511.0,EVER AFTER,IMO0000000,WDL2704,36.0,,13.0,4.0,,,B,6509,3299
38,367396790,2021-05-18 13:52:51.500,33.67521609090909,-118.20274527272728,10.9,22.0,20.0,Z-FIVE,IMO9194177,WDE7721,31.0,0.0,28.0,9.0,3.5,52.0,A,2939,2469
39,366943960,2021-05-18 13:52:51.500,33.74867,-118.274,0.0,2.8,511.0,CATALINA EXPRESS,IMO8967888,WCJ6210,60.0,0.0,30.0,6.0,,40.0,A,2146,1651
40,477219900,2021-05-18 13:52:51.500,33.75755391304347,-118.21416521739133,0.1,282.0,0.0,COSCO NETHERLANDS,IMO9516430,VRMR5,71.0,5.0,366.0,51.0,12.0,71.0,A,2812,1553
41,368146890,2021-05-18 13:52:51.500,33.7746313,-118.2121596,0.0,279.9,511.0,BIG DIPPER,IMO0000000,WDL6049,57.0,,0.0,0.0,,,B,2834,1362
42,338209606,2021-05-18 13:52:51.500,33.725298006644515,-118.07656,0.1,110.4,511.0,TELESTO,,,37.0,,,,,,B,4344,1912
43,338170945,2021-05-18 13:52:51.500,33.62018,-117.89506,0.0,279.0,511.0,QUARTERLY,,,37.0,,15.0,,,,B,6364,3082
44,338067332,2021-05-18 13:52:51.500,33.75152143333333,-118.11205713333334,0.0,360.0,511.0,SUMMER SOLSTICE,IMO0000000,,36.0,,13.0,6.0,,,B,3948,1620
45,367709320,2021-05-18 13:52:51.500,33.72140130872484,-118.28041869127516,0.1,330.4,511.0,QIQI,,WDI5509,37.0,,15.0,,,,B,2074,1955
46,228032900,2021-05-18 13:52:51.500,33.68910371237458,-118.21868494983278,0.0,240.1,240.0,CMA CGM JULES VERNE,IMO9454450,FIFW,79.0,1.0,396.0,54.0,13.1,79.0,A,2761,2315
47,382933000,2021-05-18 13:52:51.500,33.73577574257426,-118.09221277227724,0.1,128.4,511.0,US GOV VESSEL,,-------,0.0,0.0,0.0,0.0,0.0,0.0,A,4169,1795
