,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367133910,2021-06-28 01:58:30.500,33.76543,-118.25563263636364,0.0,290.7,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,1774,545
1,366979370,2021-06-28 01:58:30.500,33.77052,-118.2125504040404,0.0,339.5,246.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,5.0,23.0,8.0,,52.0,A,2254,489
2,368850000,2021-06-28 01:58:30.500,33.7439234,-118.2272,0.0,197.3,10.0,CAPE INSCRIPTION,IMO7390105,WSCJ,70.0,5.0,208.0,31.0,9.8,70.0,A,2091,785
3,338366226,2021-06-28 01:58:30.500,33.719427017543865,-118.27644894736842,2.8,65.4,57.0,V.A.POINT VICENTE,,,31.0,0.0,23.0,6.0,2.0,31.0,A,1543,1057
4,538001664,2021-06-28 01:58:30.500,33.73627353333334,-118.15176586666668,0.2,277.1,175.0,REGATTA,IMO9156474,V7DM3,60.0,1.0,180.0,25.0,5.8,60.0,A,2931,870
5,367014480,2021-06-28 01:58:30.500,33.76721496688742,-118.2204249668874,0.1,176.5,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2166,525
6,477108800,2021-06-28 01:58:30.500,33.75881891089109,-118.21729594059408,0.0,157.2,156.0,KING ISLAND,IMO9537006,VRJN7,70.0,5.0,177.0,28.0,10.0,70.0,A,2201,619
7,366978720,2021-06-28 01:58:30.500,33.76919,-118.21777,0.0,337.9,62.0,MILLENNIUM FALCON,IMO9219575,WCZ8082,31.0,0.0,32.0,11.0,4.9,31.0,A,2196,503
8,368171990,2021-06-28 01:58:30.500,33.74203,-118.19382940677968,0.0,189.5,64.0,LEISA FLORENCE,,WDL8692,52.0,0.0,30.0,13.0,5.8,52.0,A,2462,806
9,338328735,2021-06-28 01:58:30.500,33.74982,-118.1132431,0.0,360.0,511.0,PAIR A DOCS,IMO0000000,,37.0,,14.0,4.0,,,B,3359,719
10,367580930,2021-06-28 01:58:30.500,33.70757578947368,-118.24650315789474,16.1,163.5,511.0,TRIUMPHANT,IMO9759692,WDG8773,60.0,0.0,25.0,8.0,,60.0,A,1876,1189
11,244128000,2021-06-28 01:58:30.500,33.74747688442211,-118.2757631155779,0.0,342.0,120.0,WESTERDAM,IMO9226891,PINX,60.0,5.0,285.0,32.0,8.0,60.0,A,1550,745
12,477194600,2021-06-28 01:58:30.500,33.75745,-118.21423,0.0,288.0,1.0,COSCO SHIPPING ANDES,IMO9757888,VRSA2,71.0,5.0,366.0,52.0,13.7,71.0,A,2235,634
