,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,366755010,2021-08-22 01:50:25.500,33.71733772277228,-118.2636281188119,6.1,106.1,105.0,MASTER,IMO9188532,WCY6528,31.0,0.0,32.0,10.0,6.8,52.0,A,1680,1294
1,338311707,2021-08-22 01:50:25.500,33.71794324503311,-118.2778565562914,0.0,245.4,511.0,ALPHA DOG,IMO0000000,,37.0,,0.0,0.0,,,B,1522,1288
2,636019206,2021-08-22 01:50:25.500,33.73323675675676,-118.24467662162162,0.0,129.9,71.0,MSC JOSSELINE,IMO9842061,D5TL3,70.0,5.0,366.0,48.0,13.8,71.0,A,1891,1117
3,338181327,2021-08-22 01:50:25.500,33.71939677740864,-118.28208322259135,0.0,18.1,511.0,QUERENCIA,,,37.0,,9.0,,,,B,1475,1272
4,477107200,2021-08-22 01:50:25.500,33.74092673333333,-118.1972188,0.0,328.0,270.0,COSCO PACIFIC,IMO9355551,VREC4,70.0,5.0,348.0,45.0,14.5,71.0,A,2419,1032
5,367189840,2021-08-22 01:50:25.500,33.61150162162162,-117.90110513513513,0.0,201.7,511.0,ESOTERIC,,WDD7687,37.0,0.0,23.0,6.0,,37.0,A,5716,2473
6,367646260,2021-08-22 01:50:25.500,33.75465583333333,-118.11368466666669,0.0,212.4,511.0,CABERNET SKY,,WDH7244,37.0,,14.0,,,,B,3349,879
7,368064650,2021-08-22 01:50:25.500,33.7526668,-118.11366800000002,0.0,360.0,511.0,KIN SHIP,,WDK5421,37.0,15.0,26.0,6.0,0.0,37.0,A,3349,901
8,367593450,2021-08-22 01:50:25.500,33.70616,-118.11376,0.5,145.9,511.0,SEA QUEEN IIA,IMO8970304,WDH2007,30.0,,25.0,7.0,,,B,3348,1419
9,366740660,2021-08-22 01:50:25.500,33.618787818181815,-117.92312,0.0,360.0,511.0,ICON,,WCX8339,60.0,0.0,32.0,7.0,,37.0,A,5470,2392
10,366998840,2021-08-22 01:50:25.500,33.734627232142856,-118.26847241071428,0.0,299.5,328.0,MILLENNIUM MAVERICK,IMO9159713,WDC2866,31.0,0.0,30.0,11.0,4.6,39.0,A,1626,1102
11,338390977,2021-08-22 01:50:25.500,33.75412686468648,-118.11260059405942,0.0,222.6,511.0,LOLA,IMO0000000,,37.0,,9.0,4.0,,,B,3361,885
12,305293000,2021-08-22 01:50:25.500,33.7689,-118.23166,0.0,122.4,254.0,PETKUM,IMO9386988,V2DP5,70.0,5.0,161.0,25.0,9.9,70.0,A,2036,720
13,370407000,2021-08-22 01:50:25.500,33.67895386666666,-118.15287386666668,0.2,237.3,263.0,MOL CONTINUITY,IMO9388352,3ESS2,70.0,1.0,320.0,46.0,14.5,73.0,A,2913,1722
14,338241559,2021-08-22 01:50:25.500,33.606,-117.90481305369129,0.0,104.0,511.0,HAPPY DAYS,,,37.0,,,,,,B,5674,2534
15,636020294,2021-08-22 01:50:25.500,33.73613306666667,-118.1425692,0.1,152.3,227.0,PEACE HOPE,IMO9425954,D5YO3,70.0,1.0,189.0,32.0,6.5,70.0,A,3028,1085
16,368011010,2021-08-22 01:50:25.500,33.7191,-118.27957,0.0,152.4,511.0,HATTENUFF,IMO0000000,WDJ7882,37.0,,15.0,5.0,,,B,1503,1275
17,367533290,2021-08-22 01:50:25.500,33.73450966887417,-118.27071483443709,0.1,233.2,511.0,MARIE CHERAMIE,IMO8964862,WDG4131,90.0,0.0,49.0,13.0,3.1,0.0,A,1601,1103
18,366755020,2021-08-22 01:50:25.500,33.75043256880734,-118.21545,0.0,293.5,305.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A,2216,926
19,338348166,2021-08-22 01:50:25.500,33.64745046153847,-118.34414146153848,18.4,233.8,194.0,SABALO,IMO0000000,,37.0,,10.0,3.0,,,B,784,2072
20,219056000,2021-08-22 01:50:25.500,33.75467913043478,-118.23145217391304,0.0,313.6,251.0,MAERSK EMDEN,IMO9456769,OXLK2,71.0,5.0,366.0,48.0,13.8,71.0,A,2038,879
21,368014440,2021-08-22 01:50:25.500,33.70483013422819,-118.24451751677852,9.1,110.3,511.0,MONTE CARLO,,WDD6745,30.0,0.0,22.0,7.0,0.1,30.0,A,1893,1434
22,368171390,2021-08-22 01:50:25.500,33.731294324324324,-118.26070432432432,0.0,258.4,338.0,BROOKS M HAMILTON,,WDL8631,52.0,0.0,26.0,10.0,2.6,52.0,A,1713,1139
23,367014480,2021-08-22 01:50:25.500,33.76722,-118.22040315315316,0.1,194.9,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2161,739
24,338116397,2021-08-22 01:50:25.500,33.60989148580968,-117.9265014858097,0.0,146.2,511.0,RAPALLO,,,37.0,,,,,,B,5433,2491
25,566730000,2021-08-22 01:50:25.500,33.627115066225166,-118.04364205298012,0.0,328.0,258.0,WAN HAI 513,IMO9457634,9V7579,70.0,1.0,258.0,37.0,12.8,70.0,A,4129,2299
26,366745470,2021-08-22 01:50:25.500,33.7584,-118.18387,0.0,360.0,511.0,RESCUE BOAT 128,IMO0000000,,37.0,,8.0,4.0,,,B,2568,837
27,477737600,2021-08-22 01:50:25.500,33.74362706666667,-118.20093706666668,0.0,156.3,90.0,YM WELLNESS,IMO9704623,VROO3,74.0,5.0,368.0,51.0,14.6,74.0,A,2378,1002
28,367704150,2021-08-22 01:50:25.500,33.73743018181819,-118.16533072727272,9.2,74.0,511.0,KRISTINA,,WDI5000,60.0,0.0,23.0,6.0,,60.0,A,2774,1071
29,983103278,2021-08-22 01:50:25.500,33.7437056,-118.1826304,14.0,170.3,511.0,GRAND PRINCESS T20,,,53.0,,,,,,B,2582,1001
30,338424255,2021-08-22 01:50:25.500,33.61005358333333,-117.89504283333332,0.0,164.7,511.0,ROAM,IMO0000000,WDJ2137,37.0,,15.0,5.0,,,B,5783,2489
31,366972660,2021-08-22 01:50:25.500,33.61111777963272,-117.9264,0.0,360.0,320.0,GOOD FELLA,IMO0000000,,37.0,,21.0,20.0,,,B,5434,2477
32,367642530,2021-08-22 01:50:25.500,33.770395596330275,-118.21297,0.0,207.6,247.0,BO BRUSCO,IMO9772917,WDH6880,31.0,0.0,23.0,8.0,,31.0,A,2244,704
33,338251521,2021-08-22 01:50:25.500,33.71904,-118.27623,0.0,360.0,511.0,DUTCH TOUCH,IMO0000000,,36.0,,9.0,3.0,,,B,1540,1276
34,366983530,2021-08-22 01:50:25.500,33.757345178571434,-118.21628,0.1,178.6,275.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,0.0,24.0,9.0,4.0,52.0,A,2207,849
35,232024773,2021-08-22 01:50:25.500,33.7053785,-118.14279433333331,0.3,167.8,248.0,HYUNDAI MARS,IMO9725122,MGGA6,74.0,1.0,324.0,48.0,14.2,74.0,A,3025,1428
36,367704790,2021-08-22 01:50:25.500,33.70633992248062,-118.36147558139535,5.6,116.7,511.0,CHRISTOPHER,,WDI5065,60.0,,19.0,8.0,,,B,591,1417
37,366892000,2021-08-22 01:50:25.500,33.770784363636366,-118.21219436363636,0.0,192.4,68.0,JAMIE ANN,,WDL5109,52.0,0.0,31.0,12.0,5.7,52.0,A,2253,699
38,538009133,2021-08-22 01:50:25.500,33.75437728476821,-118.26796,0.0,12.8,175.0,LONE STAR MARINER,IMO9902859,V7A4361,80.0,5.0,183.0,32.0,11.6,80.0,A,1632,882
39,367006790,2021-08-22 01:50:25.500,33.72889224489796,-118.27491258503402,0.0,217.9,511.0,VICKI ANN,,WYE3508,80.0,5.0,22.0,7.0,,31.0,A,1554,1166
40,338328095,2021-08-22 01:50:25.500,33.71048475,-118.26278175,27.6,90.9,85.0,STOKED ON FISHING,IMO0000000,1251243,30.0,,11.0,4.0,,,B,1689,1371
41,338211696,2021-08-22 01:50:25.500,33.76014029649596,-118.1251260916442,0.3,314.8,511.0,DIGITAL DETOX,,,37.0,,,,,,B,3222,818
42,338179205,2021-08-22 01:50:25.500,33.60202,-117.89303,4.8,111.0,511.0,GAIL-ANNE,,,37.0,,,,,,B,5805,2578
43,477830800,2021-08-22 01:50:25.500,33.711565178571426,-118.25235089285717,9.5,296.5,294.0,SEASPAN MANILA,IMO9301859,VRCX7,70.0,0.0,260.0,32.0,12.7,72.0,A,1806,1359
44,338163045,2021-08-22 01:50:25.500,33.620337013888886,-117.92745597222222,0.0,360.0,511.0,RARE GENES,IMO0000000,K48RIV,37.0,,14.0,5.0,,,B,5422,2374
45,367104070,2021-08-22 01:50:25.500,33.724515660377364,-118.26954047169812,7.4,341.4,511.0,PATRICK,IMO8982541,WDC9572,60.0,15.0,31.0,6.0,,42.0,A,1614,1215
46,368164530,2021-08-22 01:50:25.500,33.72926611650485,-118.27745728155332,1.4,242.2,168.0,ANGELS PILOT,,WDL7900,50.0,0.0,17.0,5.0,2.0,50.0,A,1526,1162
47,367401030,2021-08-22 01:50:25.500,33.771519459459455,-118.21051432432432,0.0,230.0,60.0,DELTA BILLIE,IMO9562207,WDE8059,31.0,0.0,30.0,12.0,,31.0,A,2271,691
48,220415000,2021-08-22 01:50:25.500,33.66917,-118.10654891846922,0.0,57.6,258.0,GERD MAERSK,IMO9320245,OYGM2,70.0,1.0,366.0,42.0,15.0,70.0,A,3429,1831
