,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367396790,2021-09-03 13:52:58.500,33.75297,-118.22027,0.0,303.1,322.0,Z-FIVE,IMO9194177,WDE7721,31.0,0.0,28.0,9.0,3.5,52.0,A,2744,1604
1,538008745,2021-09-03 13:52:58.500,33.72629813333334,-118.20924186666666,0.0,206.0,228.0,IVS MAGPIE,IMO9604732,V7A2714,70.0,1.0,170.0,27.0,8.3,70.0,A,2867,1900
2,565155000,2021-09-03 13:52:58.500,33.71467,-118.1450948,0.0,211.5,190.0,THOR FRIENDSHIP,IMO9424601,9V8438,70.0,1.0,189.0,32.0,12.4,70.0,A,3581,2030
3,338312193,2021-09-03 13:52:58.500,33.60958356902357,-117.89496286195286,0.0,217.4,511.0,PROVIDER,IMO0000000,,37.0,,13.0,5.0,,,B,6366,3200
4,338140889,2021-09-03 13:52:58.500,33.7699542,-118.2124303,0.0,242.5,511.0,SEA GUARDIAN,,,,15.0,14.0,,,34.0,A,2832,1415
5,338328735,2021-09-03 13:52:58.500,33.74980810631229,-118.11322378737542,0.0,360.0,511.0,PAIR A DOCS,IMO0000000,,37.0,,14.0,4.0,,,B,3936,1639
6,636013691,2021-09-03 13:52:58.500,33.766391899999995,-118.2741062,0.0,159.6,82.0,YM UPWARD,IMO9337468,A8OR6,70.0,5.0,333.0,42.0,14.5,71.0,A,2145,1454
7,373712000,2021-09-03 13:52:58.500,33.74627634551495,-118.27180913621262,0.0,109.1,207.0,EVER FAME,IMO9850800,H9CF,70.0,5.0,334.0,48.0,13.7,70.0,A,2171,1678
8,367691110,2021-09-03 13:52:58.500,33.6202564,-117.9286418,0.0,214.6,511.0,WICKED,,WDI3709,37.0,,21.0,,,,B,5991,3081
9,367533290,2021-09-03 13:52:58.500,33.734513119266055,-118.27070311926606,0.1,190.8,511.0,MARIE CHERAMIE,IMO8964862,WDG4131,90.0,0.0,49.0,13.0,3.1,0.0,A,2183,1809
10,367034320,2021-09-03 13:52:58.500,33.70850363636364,-118.14978590909092,9.1,227.4,511.0,CITY OF LONG BEACH,,WDC5007,60.0,15.0,19.0,7.0,,99.0,A,3529,2099
11,367163340,2021-09-03 13:52:58.500,33.61004170854271,-117.90878085427134,0.0,216.2,511.0,MEHETABEL,,WDD5767,37.0,,22.0,5.0,,,B,6212,3195
12,235061354,2021-09-03 13:52:58.500,33.74092,-118.19737,0.0,287.0,271.0,BRIGHTON,IMO9332846,2ANQ9,70.0,5.0,293.0,40.0,14.0,70.0,A,2999,1738
13,338208224,2021-09-03 13:52:58.500,33.728,-118.05911723333332,0.0,98.6,511.0,LIFE IS GRAND,,,37.0,,,,,,B,4538,1882
14,368171260,2021-09-03 13:52:58.500,33.737631121076234,-118.22314470852018,8.8,27.3,29.0,MADELINE B HAMILTON,,WDL8617,57.0,0.0,18.0,8.0,0.0,52.0,A,2712,1774
15,368089050,2021-09-03 13:52:58.500,33.609728355704696,-117.89658,0.0,360.0,511.0,STANLEY'S CUP,IMO0000000,WDK7912,36.0,,10.0,3.0,,,B,6348,3198
16,366892000,2021-09-03 13:52:58.500,33.733695,-118.273675,0.1,343.9,65.0,JAMIE ANN,,WDL5109,52.0,0.0,31.0,12.0,5.7,52.0,A,2150,1818
17,368059280,2021-09-03 13:52:58.500,33.722935533333334,-118.2796,0.0,190.5,511.0,SEA SHIFTER,IMO0000000,WDK4853,37.0,,13.0,4.0,,,B,2084,1938
18,338393843,2021-09-03 13:52:58.500,33.71997830564784,-118.28188,0.0,120.6,511.0,WINE KNOT,IMO0000000,,37.0,,12.0,4.0,,,B,2059,1971
19,368173330,2021-09-03 13:52:58.500,33.72292913333333,-118.28223913333332,0.1,33.5,511.0,CATBIRD,IMO0000000,WDL8831,36.0,,11.0,2.0,,,B,2055,1938
20,367089760,2021-09-03 13:52:58.500,33.7134217,-118.0552,0.0,0.0,511.0,INAMORATA,,WDC8592,37.0,,12.0,4.0,,,B,4582,2044
21,367653670,2021-09-03 13:52:58.500,33.72073,-118.27760338870432,0.0,125.4,511.0,ISLAND STARR,,WDH7999,37.0,,13.0,,,,B,2106,1962
22,338093719,2021-09-03 13:52:58.500,33.730253348540145,-118.2678693120438,0.1,233.6,511.0,LA FIREBOAT 1,,,90.0,0.0,12.0,,,50.0,A,2215,1856
23,366998830,2021-09-03 13:52:58.500,33.76215638480164,-118.22159729744833,6.9,339.6,511.0,ROYAL MELBOURNE,,WDC2865,31.0,12.0,23.0,7.0,,52.0,A,2730,1501
24,338200813,2021-09-03 13:52:58.500,33.61037,-117.89576,0.0,21.6,511.0,TO LIFE,,,37.0,,,,,,B,6357,3191
25,338097886,2021-09-03 13:52:58.500,33.71909585,-118.27830415,0.0,239.4,511.0,BANDIT,,,37.0,,15.0,4.0,,,B,2098,1981
26,367017440,2021-09-03 13:52:58.500,33.77085901309546,-118.21169901309544,0.0,221.2,511.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A,2840,1404
27,367006770,2021-09-03 13:52:58.500,33.72889098653007,-118.27525098653008,0.0,230.0,307.0,ROBYN J,,WTQ4065,90.0,0.0,32.0,7.0,,31.0,A,2132,1872
28,338348166,2021-09-03 13:52:58.500,33.711740754716985,-118.25987803773585,20.9,99.1,108.0,SABALO,IMO0000000,,37.0,,10.0,3.0,,,B,2303,2063
29,367309860,2021-09-03 13:52:58.500,33.77208400759014,-118.20862200379506,0.0,225.0,63.0,NAMAHOE,IMO9162863,WDD9321,31.0,8.0,32.0,11.0,4.5,52.0,A,2874,1391
30,366926740,2021-09-03 13:52:58.500,33.75278233457249,-118.22078233457248,0.0,349.1,347.0,TIM QUIGG,IMO8987917,WDB6570,31.0,0.0,24.0,9.0,4.0,52.0,A,2739,1606
31,636015174,2021-09-03 13:52:58.500,33.73129936877076,-118.2049384385382,0.0,35.7,148.0,AQUALIBERTY,IMO9592226,A8ZC3,80.0,1.0,248.0,43.0,15.0,80.0,A,2915,1845
