,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,341774000,2021-09-15 13:52:58.500,33.61476,-117.91440386666666,0.0,211.2,511.0,MING,,V4MY3,90.0,5.0,,,,90.0,A,6149,3141
1,338369616,2021-09-15 13:52:58.500,33.752607254374155,-118.10966,0.0,47.0,511.0,SEASCAPE,IMO0000000,,37.0,,0.0,0.0,,,B,3975,1607
2,367004260,2021-09-15 13:52:58.500,33.76729,-118.21722522522522,0.0,240.1,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,52.0,A,2778,1443
3,219198000,2021-09-15 13:52:58.500,33.61247593023256,-118.05730889534884,0.3,260.3,254.0,MAERSK ELBA,IMO9458078,OYHL2,71.0,1.0,366.0,48.0,14.6,71.0,A,4558,3167
4,367727960,2021-09-15 13:52:58.500,33.72079193333333,-118.06914806666668,0.0,167.8,511.0,CELTIC PRIDE,,WDI7361,37.0,,,,,,B,4426,1961
5,367744470,2021-09-15 13:52:58.500,33.77107872727273,-118.21306,0.1,53.9,511.0,BLARNEY,IMO9068809,WDI9019,31.0,0.0,26.0,7.0,3.0,32.0,A,2824,1401
6,368155570,2021-09-15 13:52:58.500,33.610014463087246,-117.89596476510069,0.0,243.2,511.0,PARLAY,IMO0000000,WDL6941,37.0,,11.0,4.0,,,B,6354,3194
7,367565270,2021-09-15 13:52:58.500,33.61148535893155,-117.92693178631052,0.0,360.0,511.0,GOLDEN BOY II,,WDG7240,37.0,,32.0,7.0,,,B,6010,3178
8,310327000,2021-09-15 13:52:58.500,33.74211654545454,-118.27531345454544,2.6,16.8,17.0,GRAND PRINCESS,IMO9104005,ZCBU5,60.0,0.0,289.0,36.0,8.5,60.0,A,2131,1724
9,368088820,2021-09-15 13:52:58.500,33.745063333333334,-118.19783,0.0,360.0,511.0,MORTY,,WDK7887,33.0,3.0,59.0,18.0,3.6,33.0,A,2994,1691
10,338050201,2021-09-15 13:52:58.500,33.75396682432432,-118.11508658783784,0.0,280.9,511.0,OUTTA BOUNDS,,WDC2131,37.0,5.0,17.0,4.0,0.0,37.0,A,3915,1592
11,240592000,2021-09-15 13:52:58.500,33.55667229357798,-117.94428394495414,0.2,90.0,9.0,CAP LARA,IMO9330874,SXBW,80.0,0.0,274.0,48.0,17.0,80.0,A,5816,3788
12,356593000,2021-09-15 13:52:58.500,33.756146962457336,-118.21814825938566,0.0,313.0,339.0,TERIBE,IMO9551569,HP2651,31.0,5.0,27.0,12.0,3.7,89.0,A,2768,1567
13,338118674,2021-09-15 13:52:58.500,33.72624220183486,-118.26907,0.0,252.7,511.0,BAYWATCH 19,,WZB9310,90.0,15.0,,,,0.0,A,2201,1900
14,563090300,2021-09-15 13:52:58.500,33.751849099999994,-118.2410127,0.0,216.8,250.0,MAERSK EUREKA,IMO9501239,9V6465,71.0,5.0,366.0,48.0,14.4,71.0,A,2513,1615
15,636092823,2021-09-15 13:52:58.500,33.72876,-118.22875823333334,0.3,103.5,101.0,AS SERAFINA,IMO9410301,D5PY9,74.0,1.0,175.0,28.0,8.3,74.0,A,2650,1872
16,367689860,2021-09-15 13:52:58.500,33.61123817275748,-117.92344634551496,0.0,243.0,511.0,POTESTA,,WDI3585,37.0,,24.0,,,,B,6048,3181
17,338352228,2021-09-15 13:52:58.500,33.60732,-117.88619,0.0,360.0,511.0,BLONDIE,IMO0000000,,37.0,,0.0,0.0,,,B,6463,3224
18,338380563,2021-09-15 13:52:58.500,33.62050629422719,-117.9274537057728,0.0,360.0,511.0,STINGER,IMO0000000,,37.0,,13.0,4.0,,,B,6004,3077
19,338408513,2021-09-15 13:52:58.500,33.76255,-118.18312,0.0,360.0,511.0,LADY G,IMO0000000,,37.0,,15.0,5.0,,,B,3158,1496
20,338208224,2021-09-15 13:52:58.500,33.72801,-118.05914317880791,0.0,223.9,511.0,LIFE IS GRAND,,,37.0,,,,,,B,4538,1881
21,367719100,2021-09-15 13:52:58.500,33.72978531531531,-118.27566468468468,0.0,105.0,306.0,DR. HANK KAPLAN,IMO9816012,WDJ3839,52.0,0.0,24.0,10.0,5.1,52.0,A,2127,1861
22,367000160,2021-09-15 13:52:58.500,33.73578,-118.26934229357798,1.2,68.0,511.0,YELLOWFIN,,WCW2778,90.0,0.0,0.0,0.0,2.5,90.0,A,2198,1794
23,351361000,2021-09-15 13:52:58.500,33.73311,-118.24493,0.0,91.2,71.0,MSC KALINA,IMO9399026,3ETW2,70.0,5.0,366.0,51.0,15.6,71.0,A,2470,1824
24,356818000,2021-09-15 13:52:58.500,33.663911376146785,-118.20907981651376,2.6,28.6,27.0,GULF SUNRISE,IMO9788887,HPIU,80.0,0.0,336.0,60.0,15.0,80.0,A,2869,2594
25,368182570,2021-09-15 13:52:58.500,33.614773400000004,-117.9146868,0.0,25.4,30.0,SHOGUN,,WDL9823,37.0,5.0,39.0,8.0,2.0,37.0,A,6146,3141
26,367422010,2021-09-15 13:52:58.500,33.73267621621621,-118.09522378378378,0.0,360.0,511.0,VALKYRIE,,WCZ5436,33.0,3.0,62.0,22.0,0.0,33.0,A,4136,1829
27,367625810,2021-09-15 13:52:58.500,33.75018486486486,-118.21549864864863,0.0,297.2,126.0,VETERAN,IMO9765720,WDH5227,31.0,0.0,31.0,12.0,,52.0,A,2797,1634
28,338330992,2021-09-15 13:52:58.500,33.61264675496689,-117.92431162251656,0.0,297.0,511.0,TOW BIZZ II,IMO0000000,,37.0,,10.0,3.0,,,B,6039,3165
29,338380055,2021-09-15 13:52:58.500,33.71835474747475,-118.27802,0.1,253.3,511.0,THE REAGAN YEARS,IMO0000000,,37.0,,22.0,6.0,,,B,2101,1988
30,338208967,2021-09-15 13:52:58.500,33.75718,-118.18719,0.0,253.6,511.0,ANEJO,,,37.0,,,,,,B,3112,1556
31,367492920,2021-09-15 13:52:58.500,33.73502073394496,-118.27063642201834,0.0,265.8,511.0,KENNETH CARL,IMO8978710,WDF8246,90.0,0.0,33.0,7.0,2.7,79.0,A,2183,1803
32,636020157,2021-09-15 13:52:58.500,33.697955,-118.12483333333334,0.1,54.0,171.0,ZEBRA,IMO9231157,D5XY3,71.0,1.0,210.0,30.0,10.9,71.0,A,3807,2215
33,367192940,2021-09-15 13:52:58.500,33.748695272727275,-118.27391263636363,0.0,260.9,511.0,AVALON EXPRESS,IMO8967890,WDD7919,60.0,0.0,26.0,6.0,,40.0,A,2147,1650
34,366757740,2021-09-15 13:52:58.500,33.57282891891892,-118.31223972972973,6.0,117.8,120.0,PETER M,IMO8964549,WCY7481,31.0,0.0,27.0,9.0,3.2,52.0,A,1720,3608
35,338393843,2021-09-15 13:52:58.500,33.71997331125828,-118.28188,0.0,120.6,511.0,WINE KNOT,IMO0000000,,37.0,,12.0,4.0,,,B,2058,1970
36,319147800,2021-09-15 13:52:58.500,33.61866,-118.06689694915256,0.1,135.6,237.0,DALI,IMO9787936,ZGHZ3,80.0,1.0,250.0,44.0,10.0,80.0,A,4451,3098
37,258097000,2021-09-15 13:52:58.500,33.749651633333336,-118.20897693333332,0.0,172.6,58.0,BELSOUTH,IMO9744063,LAVJ7,70.0,5.0,200.0,33.0,7.9,70.0,A,2870,1640
38,368171260,2021-09-15 13:52:58.500,33.73799,-118.20867108108108,8.8,48.0,47.0,MADELINE B HAMILTON,,WDL8617,57.0,0.0,18.0,8.0,0.0,52.0,A,2873,1770
39,367691660,2021-09-15 13:52:58.500,33.7488,-118.1141295049505,0.0,345.1,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,30.0,A,3926,1649
40,538006489,2021-09-15 13:52:58.500,33.69812844036697,-118.18693587155964,8.9,181.2,180.0,SILVER EUPLECTA,IMO9692349,V7IW6,80.0,0.0,183.0,32.0,13.3,80.0,A,3115,2213
41,211311970,2021-09-15 13:52:58.500,33.661342093023265,-118.13980581395349,0.0,164.0,164.0,DALLAS EXPRESS,IMO9193288,DGAF,70.0,1.0,293.0,32.0,13.6,79.0,A,3640,2623
42,338366226,2021-09-15 13:52:58.500,33.72339,-118.28066089473684,0.0,178.8,511.0,V.A.POINT VICENTE,,,31.0,0.0,23.0,6.0,2.0,31.0,A,2072,1932
43,338240893,2021-09-15 13:52:58.500,33.84647842281879,-118.39531736577182,0.1,65.0,511.0,PEBBLE TOAD,IMO0000000,,30.0,,10.0,4.0,,,B,796,562
