,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,366806940,2021-09-27 13:52:58.500,33.77564537037037,-118.24508537037036,0.0,237.2,511.0,VALHALLA,,WDA4208,90.0,3.0,77.0,23.0,,0.0,A,2467,1351
1,367650150,2021-09-27 13:52:58.500,33.7197602,-118.2797434,0.0,260.9,511.0,LIONHEART,,WDH7640,37.0,,14.0,,,,B,2081,1974
2,367371520,2021-09-27 13:52:58.500,33.61905,-117.92385,0.0,110.6,511.0,GAN EDEN,,WDE5779,37.0,,19.0,5.0,,,B,6043,3095
3,338239389,2021-09-27 13:52:58.500,33.61336809364549,-117.90526190635453,0.0,360.0,511.0,BACKLASH,IMO0000000,,37.0,,11.0,4.0,,,B,6250,3158
4,636091959,2021-09-27 13:52:58.500,33.630122580645164,-118.07804677419357,0.5,206.3,193.0,MSC SAVONA,IMO9460356,A8UX4,70.0,1.0,365.0,51.0,16.0,70.0,A,4327,2971
5,310531000,2021-09-27 13:52:58.500,33.71501,-118.27643,0.0,305.0,305.0,EMERALD PRINCESS,IMO9333151,ZCDP8,60.0,5.0,288.0,36.0,8.5,69.0,A,2118,2026
6,368159190,2021-09-27 13:52:58.500,33.7473,-118.2156358181818,0.0,181.2,511.0,PILOT BOAT POLARIS 3,,WDL7326,50.0,15.0,21.0,6.0,0.0,50.0,A,2795,1667
7,367657060,2021-09-27 13:52:58.500,33.73089,-118.27738588723052,0.1,14.2,511.0,SEA VENTURE,,WDH8347,30.0,,22.0,,,,B,2108,1850
8,366872980,2021-09-27 13:52:58.500,33.61827,-117.9222382178218,0.0,360.0,511.0,ENDLESS DREAMS,IMO8975677,WDH2906,60.0,0.0,41.0,9.0,,60.0,A,6061,3103
9,367783220,2021-09-27 13:52:58.500,33.61348186046512,-117.90531,0.0,317.9,21.0,BAD COMPANY,IMO8980268,WDJ4997,37.0,5.0,41.0,7.0,1.8,37.0,A,6250,3157
10,368136950,2021-09-27 13:52:58.500,33.733567623762376,-118.27497752475249,6.8,160.1,161.0,HERCULES,,WDE8347,52.0,0.0,26.0,11.0,5.1,52.0,A,2135,1820
11,367034960,2021-09-27 13:52:58.500,33.7676,-118.21697,0.0,42.2,29.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2780,1441
12,338208224,2021-09-27 13:52:58.500,33.72801,-118.05911864974033,0.0,180.6,511.0,LIFE IS GRAND,,,37.0,,,,,,B,4537,1882
13,366857070,2021-09-27 13:52:58.500,33.76303915,-118.19927,0.0,236.1,511.0,JET CAT EXPRESS,IMO9367475,WDA8695,60.0,5.0,44.0,10.0,,40.0,A,2977,1492
14,367199310,2021-09-27 13:52:58.500,33.503880882352945,-118.25581676470588,28.7,195.9,511.0,CATALINA JET,IMO8994142,WDD8449,60.0,15.0,43.0,11.0,1.6,40.0,A,2348,4377
15,338380055,2021-09-27 13:52:58.500,33.718373455149504,-118.27804172757476,0.0,280.0,511.0,THE REAGAN YEARS,IMO0000000,,37.0,,22.0,6.0,,,B,2100,1989
