,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,366932980,2021-12-08 13:52:57.500,33.77078645454545,-118.21220645454544,0.0,205.9,244.0,DREW FOSS,IMO7626217,WYL5718,31.0,0.0,38.0,10.0,4.2,31.0,A,2834,1405
1,378113463,2021-12-08 13:52:57.500,33.75115,-118.12152324503312,0.1,360.0,511.0,BOZ CAT,IMO0000000,ZJL2540,37.0,,15.0,7.0,,,B,3843,1624
2,367133910,2021-12-08 13:52:57.500,33.76547490909091,-118.25559927272728,0.0,231.3,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,2351,1464
3,366760710,2021-12-08 13:52:57.500,33.76733345454546,-118.21720981818184,0.0,270.0,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,31.0,A,2778,1443
4,367559940,2021-12-08 13:52:57.500,33.7619333,-118.18280665,0.0,19.8,511.0,TRAILERHOOD,,WDG6717,37.0,,14.0,,,,B,3161,1503
5,367678390,2021-12-08 13:52:57.500,33.61364,-117.92472336633662,0.0,229.8,511.0,EL TIGRE,,WDI2461,37.0,0.0,19.0,6.0,,0.0,A,6034,3154
6,368181970,2021-12-08 13:52:57.500,33.61286,-117.92429,0.0,360.0,65.0,MAI TAI,IMO0000000,WDL 975,37.0,,0.0,0.0,,,B,6039,3163
7,367661930,2021-12-08 13:52:57.500,33.71357145454545,-118.24076927272728,0.3,356.0,177.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,0.0,24.0,,,52.0,A,2516,2042
8,338352228,2021-12-08 13:52:57.500,33.60732,-117.88599633333332,0.0,360.0,511.0,BLONDIE,IMO0000000,,37.0,,0.0,0.0,,,B,6465,3225
9,367006790,2021-12-08 13:52:57.500,33.72857675409836,-118.27480636065576,0.0,113.3,511.0,VICKI ANN,,WYE3508,80.0,5.0,22.0,7.0,,31.0,A,2137,1875
10,338218673,2021-12-08 13:52:57.500,33.618203277591974,-117.92194344481604,0.0,188.8,511.0,BOUNTY,,,37.0,,,,,,B,6065,3103
11,538009664,2021-12-08 13:52:57.500,33.66710651376147,-118.17401944954128,5.8,329.5,340.0,DRY BEAM NEO,IMO9864887,V7A5013,70.0,0.0,183.0,31.0,6.6,70.0,A,3259,2559
12,368159190,2021-12-08 13:52:57.500,33.74733,-118.21565,0.2,52.3,511.0,PILOT BOAT POLARIS 3,,WDL7326,50.0,15.0,21.0,6.0,0.0,50.0,A,2796,1666
13,367621160,2021-12-08 13:52:57.500,33.72496390909091,-118.28053,0.0,360.0,511.0,FREEDOM,,WDH4766,60.0,0.0,24.0,7.0,,30.0,A,2073,1915
14,240592000,2021-12-08 13:52:57.500,33.497203879598665,-118.0598282943144,0.1,343.0,36.0,CAP LARA,IMO9330874,SXBW,80.0,1.0,274.0,48.0,17.0,80.0,A,4530,4450
15,367621070,2021-12-08 13:52:57.500,33.61487823333333,-117.9148,0.0,176.5,511.0,II WORSHIP,,WDH4758,37.0,,17.0,,,,B,6145,3140
16,367401030,2021-12-08 13:52:57.500,33.740193999999995,-118.278102,0.0,116.3,9.0,DELTA BILLIE,IMO9562207,WDE8059,31.0,0.0,30.0,12.0,,31.0,A,2100,1745
17,636018107,2021-12-08 13:52:57.500,33.73289158940397,-118.23114158940396,0.0,130.6,349.0,KASSOS,IMO9382164,D5OE9,80.0,1.0,102.0,17.0,6.6,83.0,A,2623,1827
18,563018500,2021-12-08 13:52:57.500,33.6117332,-118.0577383,0.1,182.1,62.0,MARITIME SONIA,IMO9766920,9V2829,70.0,1.0,200.0,36.0,7.2,70.0,A,4553,3175
19,338098732,2021-12-08 13:52:57.500,33.720322529118135,-118.28008582362727,0.1,256.5,511.0,IKAROS,,,37.0,,18.0,5.0,,,B,2078,1967
20,255806496,2021-12-08 13:52:57.500,33.61950662251655,-118.0524015562914,0.0,150.8,49.0,MSC ANZU,IMO9710426,CQEV5,70.0,1.0,299.0,48.0,12.6,70.0,A,4613,3089
21,338390977,2021-12-08 13:52:57.500,33.75409845637584,-118.11259,0.0,154.5,511.0,LOLA,IMO0000000,,37.0,,9.0,4.0,,,B,3943,1591
22,366760650,2021-12-08 13:52:57.500,33.74019,-118.2780091891892,0.0,272.1,191.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A,2101,1746
23,367507960,2021-12-08 13:52:57.500,33.64968,-118.11086,0.2,242.4,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,90.0,A,3962,2753
24,338388274,2021-12-08 13:52:57.500,33.7193,-118.27760156666666,0.0,159.9,511.0,THE ESSIE,IMO0000000,,37.0,,12.0,3.0,,,B,2106,1978
25,566886000,2021-12-08 13:52:57.500,33.63578,-118.06997846153844,0.0,308.0,29.0,WAN HAI 516,IMO9457658,9V7582,70.0,1.0,259.0,37.0,12.8,70.0,A,4417,2908
26,368089050,2021-12-08 13:52:57.500,33.6097,-117.8966,0.0,360.0,511.0,STANLEY'S CUP,IMO0000000,WDK7912,36.0,,10.0,3.0,,,B,6347,3198
27,636092823,2021-12-08 13:52:57.500,33.70685742474916,-118.21733742474916,0.4,154.9,355.0,AS SERAFINA,IMO9410301,D5PY9,74.0,1.0,175.0,28.0,8.2,74.0,A,2777,2117
28,338324182,2021-12-08 13:52:57.500,33.76692788156798,-118.25142211843205,0.0,360.0,511.0,PURITAN,IMO0000000,WDL8229,37.0,,18.0,6.0,,,B,2397,1448
29,368221650,2021-12-08 13:52:57.500,33.60636,-117.90326,0.0,31.7,511.0,MAHAL,IMO0000000,WDM6041,37.0,,13.0,4.0,,,B,6273,3235
30,338366226,2021-12-08 13:52:57.500,33.72338207207208,-118.28067585585585,0.0,250.2,511.0,V.A.POINT VICENTE,,,31.0,0.0,23.0,6.0,2.0,31.0,A,2072,1933
31,338162425,2021-12-08 13:52:57.500,33.73049416356878,-118.06720156133828,1.7,9.6,511.0,CHELSEA SKYE  TWO,IMO0000000,,37.0,,0.0,0.0,,,B,4448,1853
32,338396669,2021-12-08 13:52:57.500,33.71955251655629,-118.28155834437084,0.0,293.8,511.0,ALTHEA,IMO0000000,,37.0,,10.0,4.0,,,B,2062,1975
33,355263000,2021-12-08 13:52:57.500,33.75035,-118.18682,0.1,277.9,180.0,CARNIVAL VICTORY,IMO9172648,3FFL8,60.0,5.0,272.0,35.0,8.3,60.0,A,3117,1632
34,367034960,2021-12-08 13:52:57.500,33.767590066931604,-118.2169600669316,0.0,357.2,29.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2781,1441
35,367733880,2021-12-08 13:52:57.500,33.72367,-118.07130801980198,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,37.0,A,4402,1929
36,636020456,2021-12-08 13:52:57.500,33.72618740000001,-118.2597613,0.0,166.1,23.0,EVER FAST,IMO9850874,D5ZH9,70.0,5.0,333.0,48.0,14.2,70.0,A,2305,1901
37,477076500,2021-12-08 13:52:57.500,33.67547,-118.21363887417218,0.1,51.6,303.0,SAGA ADVENTURE,IMO9317406,VRBL4,70.0,1.0,199.0,30.0,11.8,70.0,A,2818,2466
38,368011930,2021-12-08 13:52:57.500,33.718879357798166,-118.06858467889909,0.0,38.9,511.0,LANI KAI,IMO0000000,,37.0,,15.0,5.0,,,B,4433,1983
39,368149710,2021-12-08 13:52:57.500,33.61552,-117.90136,0.0,360.0,511.0,SECOND WIND,IMO0000000,WDL6331,37.0,,15.0,5.0,,,B,6294,3133
40,355400000,2021-12-08 13:52:57.500,33.753753523489934,-118.26377,0.0,353.0,42.0,SAN FRANCISCO BRIDGE,IMO9560364,3FPV6,70.0,5.0,293.0,40.0,14.0,71.0,A,2260,1595
