,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338331961,2021-12-20 13:52:57.500,33.76011287390029,-118.1855871260997,0.0,360.0,511.0,OHANA,IMO0000000,,37.0,,13.0,5.0,,,B,3129,1524
1,367693690,2021-12-20 13:52:57.500,33.771653175675674,-118.21199341216216,0.0,292.6,160.0,KELLY C,IMO7035327,WDI3956,31.0,5.0,26.0,8.0,3.6,31.0,A,2835,1395
2,352631000,2021-12-20 13:52:57.500,33.64484871287129,-118.35816346534654,11.3,301.6,301.0,COSCO AMERICA,IMO9345427,3EPH4,70.0,0.0,349.0,45.0,14.5,71.0,A,1208,2807
3,368064650,2021-12-20 13:52:57.500,33.72367907692308,-118.27972076923076,0.0,360.0,511.0,KIN SHIP,,WDK5421,37.0,15.0,26.0,6.0,0.0,37.0,A,2081,1929
4,338087117,2021-12-20 13:52:57.500,33.74712810631229,-118.2156518936877,0.1,293.9,106.0,ALTAIR,,,60.0,,10.0,3.0,,,B,2795,1668
5,538009664,2021-12-20 13:52:57.500,33.703294400000004,-118.13043,0.1,219.4,57.0,DRY BEAM NEO,IMO9864887,V7A5013,70.0,1.0,183.0,31.0,7.0,70.0,A,3743,2156
6,338396669,2021-12-20 13:52:57.500,33.7196200332226,-118.28151724252491,0.0,29.9,511.0,ALTHEA,IMO0000000,,37.0,,10.0,4.0,,,B,2061,1974
7,366983530,2021-12-20 13:52:57.500,33.75149590062112,-118.2304847204969,1.2,318.1,511.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,0.0,24.0,9.0,4.0,52.0,A,2630,1620
8,414246000,2021-12-20 13:52:57.500,33.61119080267559,-118.03549655518395,0.1,222.0,320.0,ZHONG GU SHAN DONG,IMO9333060,BORG5,70.0,1.0,222.0,32.0,10.6,70.0,A,4800,3181
9,636020185,2021-12-20 13:52:57.500,33.74914,-118.20674823728814,0.0,91.5,180.0,SUSANOO HARMONY,IMO9791054,D5YB8,70.0,5.0,180.0,30.0,6.5,70.0,A,2894,1646
10,368181970,2021-12-20 13:52:57.500,33.61285813333333,-117.92431,0.0,360.0,66.0,MAI TAI,IMO0000000,WDL 975,37.0,,0.0,0.0,,,B,6038,3163
11,338321972,2021-12-20 13:52:57.500,33.611786521739134,-117.92818826086956,0.1,300.2,511.0,PALLADIO,IMO0000000,,37.0,,11.0,4.0,,,B,5995,3175
12,367163340,2021-12-20 13:52:57.500,33.61003823920265,-117.90877176079734,0.0,278.0,511.0,MEHETABEL,,WDD5767,37.0,,22.0,5.0,,,B,6211,3194
13,367450790,2021-12-20 13:52:57.500,33.620433521594684,-117.92691823920266,0.0,290.8,511.0,IMAGINE,,WDF4347,37.0,,17.0,5.0,,,B,6009,3079
14,367486370,2021-12-20 13:52:57.500,33.74593192660551,-118.22474,0.0,198.7,7.0,NRC QUEST,IMO9271195,WDF7619,90.0,0.0,48.0,10.0,3.0,70.0,A,2694,1682
15,565565000,2021-12-20 13:52:57.500,33.666263535353536,-118.1467113131313,0.1,257.0,358.0,MOL PACE,IMO9321017,9V3121,70.0,1.0,293.0,40.0,14.0,70.0,A,3562,2568
16,338098732,2021-12-20 13:52:57.500,33.72034667774087,-118.2801,0.0,257.9,511.0,IKAROS,,,37.0,,18.0,5.0,,,B,2077,1966
17,366897980,2021-12-20 13:52:57.500,33.762781661129566,-118.11686,0.0,0.0,511.0,XIPHIAS,,WDB4397,37.0,,15.0,5.0,,,B,3894,1494
18,367034960,2021-12-20 13:52:57.500,33.7676,-118.21696190909093,0.0,98.4,28.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2780,1440
19,367776050,2021-12-20 13:52:57.500,33.77123,-118.21300818181815,0.0,191.2,511.0,PACIFIC PATRIOT,IMO8842416,WDJ4269,70.0,0.0,19.0,7.0,,52.0,A,2824,1400
20,367642530,2021-12-20 13:52:57.500,33.73909262295083,-118.20536032786885,2.6,34.6,511.0,BO BRUSCO,IMO9772917,WDH6880,31.0,0.0,23.0,8.0,,31.0,A,2909,1758
21,368136950,2021-12-20 13:52:57.500,33.7412,-118.19485375,0.0,97.9,129.0,HERCULES,,WDE8347,52.0,0.0,26.0,11.0,5.1,52.0,A,3026,1734
