,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367766860,2022-01-06 01:58:30.500,33.771650442066075,-118.21229044206608,0.0,0.0,511.0,SEANA C,,WDJ3319,31.0,5.0,21.0,7.0,,52.0,A,2258,479
1,338321715,2022-01-06 01:58:30.500,33.72696918775511,-118.0757991877551,0.0,360.0,511.0,PACKAGE DEAL,IMO0000000,,37.0,,10.0,4.0,,,B,3777,977
2,367506190,2022-01-06 01:58:30.500,33.72429,-118.28153020707306,0.0,360.0,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B,1487,1007
3,538003093,2022-01-06 01:58:30.500,33.690640206976745,-118.11614062093022,0.1,320.7,280.0,CAPE MAGNUS,IMO9348900,V7OI2,70.0,1.0,221.0,29.0,11.4,70.0,A,3328,1381
4,367154150,2022-01-06 01:58:30.500,33.724410209253655,-118.28054,0.0,360.0,511.0,PREMIER,IMO0000000,WDD5132,60.0,,24.0,8.0,,,B,1498,1005
5,565653000,2022-01-06 01:58:30.500,33.61351049038462,-118.033305275,0.0,26.0,269.0,WAN HAI 509,IMO9326421,9VJJ7,70.0,1.0,268.0,32.0,12.5,70.0,A,4250,2240
6,366745470,2022-01-06 01:58:30.500,33.75840020692863,-118.18383020692862,0.0,360.0,511.0,RESCUE BOAT 128,IMO0000000,,37.0,,8.0,4.0,,,B,2575,627
7,367653670,2022-01-06 01:58:30.500,33.720720186915884,-118.27761,0.0,360.0,511.0,ISLAND STARR,,WDH7999,37.0,,13.0,,,,B,1531,1046
8,338392988,2022-01-06 01:58:30.500,33.75808,-118.1887,0.0,360.0,511.0,MOONDANCE,IMO0000000,,37.0,,30.0,15.0,,,B,2521,630
9,338397183,2022-01-06 01:58:30.500,33.749909171739134,-118.12247662608696,0.5,360.0,511.0,EL TANGLERO,IMO0000000,,37.0,,4.0,2.0,,,B,3258,721
10,367650150,2022-01-06 01:58:30.500,33.719779818520244,-118.27977981852024,0.0,303.6,511.0,LIONHEART,,WDH7640,37.0,,14.0,,,,B,1507,1057
11,369725000,2022-01-06 01:58:30.500,33.733502675585285,-118.27656732441471,0.0,360.0,511.0,IRVING JOHNSON,,WDB3153,90.0,5.0,22.0,6.0,,36.0,A,1542,904
12,338139535,2022-01-06 01:58:30.500,33.71934038139535,-118.05758980930231,0.0,29.0,511.0,CAST AWAY,IMO0000000,WDA2202,37.0,,16.0,3.0,,,B,3980,1062
