,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,368229360,2022-01-18 01:58:29.500,33.7193766101695,-118.282023220339,0.0,360.0,511.0,MY FAIR LADY,IMO0000000,WDM6925,36.0,,12.0,2.0,,,B,1481,1063
1,338399196,2022-01-18 01:58:29.500,33.719212248520705,-118.07110242603552,1.2,360.0,511.0,LEASHED,IMO0000000,,37.0,,14.0,6.0,,,B,3829,1065
2,368011930,2022-01-18 01:58:29.500,33.71887841930116,-118.06858841930116,0.0,14.5,511.0,LANI KAI,IMO0000000,,37.0,,15.0,5.0,,,B,3857,1069
3,538007681,2022-01-18 01:58:29.500,33.75901160069596,-118.27706419747716,0.0,249.3,37.0,SPYROS V,IMO9453365,V7DG7,71.0,5.0,262.0,33.0,11.0,71.0,A,1537,622
4,338139535,2022-01-18 01:58:29.500,33.71936,-118.05758978609626,0.0,360.0,511.0,CAST AWAY,IMO0000000,WDA2202,37.0,,16.0,3.0,,,B,3980,1064
5,366745460,2022-01-18 01:58:29.500,33.75073,-118.11351981086956,0.0,360.0,511.0,RESCUE BOAT 127,IMO0000000,,37.0,,9.0,4.0,,,B,3357,714
6,338131199,2022-01-18 01:58:29.500,33.76213855327869,-118.19437144672132,0.0,184.3,511.0,R/V CHALLENGER,,WDE7334,90.0,15.0,33.0,4.0,0.0,90.0,A,2457,587
7,338397183,2022-01-18 01:58:29.500,33.74987858657244,-118.1224885689046,0.2,360.0,511.0,EL TANGLERO,IMO0000000,,37.0,,4.0,2.0,,,B,3257,724
8,368124160,2022-01-18 01:58:29.500,33.72424980465116,-118.06955058604652,0.0,25.2,511.0,TNT,IMO0000000,,37.0,,10.0,10.0,,,B,3847,1009
9,338329002,2022-01-18 01:58:29.500,33.76711,-118.25179981956522,0.0,231.4,511.0,PREDATOR II,IMO0000000,,37.0,,13.0,6.0,,,B,1818,532
10,338162425,2022-01-18 01:58:29.500,33.72281,-118.06874,0.0,181.5,511.0,CHELSEA SKYE  TWO,IMO0000000,,37.0,,0.0,0.0,,,B,3856,1025
11,338110000,2022-01-18 01:58:29.500,33.73332075331319,-118.22257981167172,0.0,241.9,144.0,LOUISIANA,IMO9704790,WLOZ,80.0,1.0,183.0,32.0,8.6,80.0,A,2143,908
12,367709320,2022-01-18 01:58:29.500,33.72141917409259,-118.2804108259074,0.1,103.8,511.0,QIQI,,WDI5509,37.0,,15.0,,,,B,1499,1041
13,311000923,2022-01-18 01:58:29.500,33.73682,-118.1914192744186,0.1,300.9,89.0,CMA CGM MARCO POLO,IMO9454436,C6EK8,71.0,5.0,396.0,54.0,13.4,71.0,A,2490,869
14,352905000,2022-01-18 01:58:29.500,33.71497910465116,-118.14706928372094,0.1,92.0,156.0,KEN HOU,IMO9293882,HOIK,70.0,1.0,170.0,27.0,9.7,70.0,A,2984,1112
15,338326628,2022-01-18 01:58:29.500,33.74951964651163,-118.1137798232558,0.0,360.0,511.0,SUSIE Q,IMO0000000,,37.0,,19.0,5.0,,,B,3354,728
16,366608000,2022-01-18 01:58:29.500,33.73354,-118.27087,0.1,219.7,192.0,CALIFORNIA RESPONDER,IMO9043873,WBO8591,90.0,5.0,63.0,13.0,4.4,54.0,A,1606,906
17,338322293,2022-01-18 01:58:29.500,33.72714,-118.0753198232147,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B,3782,977
18,338427231,2022-01-18 01:58:29.500,33.72755918559794,-118.05871162880412,0.0,360.0,511.0,BURNIN DAYLIGHT,IMO0000000,,37.0,,15.0,6.0,,,B,3967,972
19,338081579,2022-01-18 01:58:29.500,33.72085982790698,-118.28048982790698,0.0,360.0,511.0,MALIKA,IMO0000000,,37.0,,13.0,4.0,,,B,1498,1047
20,338419418,2022-01-18 01:58:29.500,33.72201,-118.2812798492354,0.0,178.2,57.0,MANA-KAI,IMO0000000,,37.0,,12.0,5.0,,,B,1490,1034
