,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338216726,2022-02-06 13:52:55.500,33.758723466666666,-118.19013,0.0,211.8,511.0,SHAMAN,IMO0000000,,36.0,,10.0,3.0,,,B,3080,1539
1,368021110,2022-02-06 13:52:55.500,33.761449832775924,-118.19229983277592,0.0,360.0,511.0,SOME TUESDAY,IMO0000000,WDJ8919,36.0,,15.0,8.0,,,B,3056,1509
2,477607600,2022-02-06 13:52:55.500,33.70417677740864,-118.15762328903656,0.1,218.8,328.0,SAGA EXPLORER,IMO9343493,VRCI8,70.0,1.0,199.0,30.0,11.8,70.0,A,3442,2147
3,367486370,2022-02-06 13:52:55.500,33.74593,-118.22477,0.0,35.9,8.0,NRC QUEST,IMO9271195,WDF7619,90.0,5.0,48.0,10.0,3.0,70.0,A,2694,1682
4,368073670,2022-02-06 13:52:55.500,33.61921,-117.92816,0.0,24.6,511.0,,IMO0000000,,37.0,,0.0,0.0,,,B,5996,3092
5,338232506,2022-02-06 13:52:55.500,33.72109,-118.28108,0.0,131.5,511.0,SERENDIPITER,IMO0000000,SERENDI,37.0,,10.0,10.0,,,B,2067,1958
6,636017990,2022-02-06 13:52:55.500,33.77031353333333,-118.22475676666666,0.0,189.6,56.0,SPERCHIOS,IMO9810513,D5NR7,89.0,5.0,250.0,44.0,13.8,89.0,A,2694,1410
7,338303696,2022-02-06 13:52:55.500,33.61379322259136,-117.91258322259137,0.0,353.3,511.0,DARK SIDE,IMO0000000,,37.0,,11.0,4.0,,,B,6170,3153
8,477528400,2022-02-06 13:52:55.500,33.76060652173913,-118.27333173913044,0.0,143.8,197.0,SEASPAN ADONIS,IMO9468293,VRTF4,73.0,5.0,333.0,46.0,13.7,73.0,A,2154,1518
9,219027000,2022-02-06 13:52:55.500,33.75332757575758,-118.23601303030304,0.0,227.0,250.0,MAERSK EINDHOVEN,IMO9456771,OXFG2,71.0,5.0,366.0,48.0,14.0,71.0,A,2569,1599
10,538006548,2022-02-06 13:52:55.500,33.70467166666667,-118.13109333333333,0.1,181.5,340.0,TAURUS CONFIDENCE,IMO9719666,V7OG3,70.0,1.0,199.0,32.0,9.6,70.0,A,3737,2141
11,367468890,2022-02-06 13:52:55.500,33.614313333333335,-117.91357333333336,0.0,0.0,511.0,MONKEY BIZ,,WDF5938,37.0,,19.0,5.0,,,B,6159,3147
12,477696900,2022-02-06 13:52:55.500,33.68397144295302,-118.14604895973154,0.2,271.2,329.0,COSCOSHIPPING VISION,IMO9881677,VRTZ4,70.0,1.0,202.0,33.0,8.6,70.0,A,3571,2371
13,368089050,2022-02-06 13:52:55.500,33.609738245033114,-117.8966,0.0,360.0,511.0,STANLEY'S CUP,IMO0000000,WDK7912,36.0,,10.0,3.0,,,B,6347,3198
14,338125218,2022-02-06 13:52:55.500,33.609701543624155,-117.89550691275169,0.2,360.0,511.0,BIANCA,,,37.0,,,,,,B,6360,3198
15,338146692,2022-02-06 13:52:55.500,33.75072692307692,-118.11169153846154,0.0,360.0,511.0,DREAMER,,,37.0,,12.0,,,,B,3953,1628
16,338388274,2022-02-06 13:52:55.500,33.7193,-118.27762213197968,0.0,338.6,511.0,THE ESSIE,IMO0000000,,37.0,,12.0,3.0,,,B,2106,1978
17,367049470,2022-02-06 13:52:55.500,33.76263976548035,-118.26577906192142,0.0,273.1,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,50.0,A,2238,1496
18,538003274,2022-02-06 13:52:55.500,33.72967,-118.2565,0.0,172.0,71.0,MOL DELIGHT,IMO9352406,V7PR9,70.0,5.0,260.0,32.0,12.6,71.0,A,2341,1863
19,367565270,2022-02-06 13:52:55.500,33.611491570247935,-117.92695,0.0,360.0,511.0,GOLDEN BOY II,,WDG7240,37.0,,32.0,7.0,,,B,6010,3178
20,338321715,2022-02-06 13:52:55.500,33.7269958,-118.0757972,0.0,360.0,511.0,PACKAGE DEAL,IMO0000000,,37.0,,10.0,4.0,,,B,4353,1893
21,367133910,2022-02-06 13:52:55.500,33.76546972477064,-118.25561972477064,0.0,257.2,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,2351,1464
22,369567000,2022-02-06 13:52:55.500,33.71996508361204,-118.22647872909698,0.0,217.9,315.0,SEA RELIANCE,IMO9275878,WEOB,31.0,1.0,40.0,12.0,5.9,31.0,A,2675,1971
23,338035036,2022-02-06 13:52:55.500,33.723071192052984,-118.05845119205296,0.0,0.0,511.0,BOUNTY,,,37.0,,10.0,3.0,,,B,4546,1936
