,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,477346500,2022-02-23 01:58:29.500,33.75234722772277,-118.27423,0.0,151.0,151.0,MOL GLIDE,IMO9535163,VRJF2,70.0,0.0,275.0,40.0,14.0,73.0,A,1569,693
1,338118674,2022-02-23 01:58:29.500,33.72625236363637,-118.26905,0.1,263.7,511.0,BAYWATCH 19,,WZB9310,90.0,15.0,,,,0.0,A,1627,984
2,367564890,2022-02-23 01:58:29.500,33.74417,-118.2247324770642,0.1,188.3,511.0,GO QUEST,IMO8987876,WDG7201,90.0,0.0,44.0,10.0,2.3,70.0,A,2120,784
3,368084540,2022-02-23 01:58:29.500,33.71704221607827,-118.2596349766057,8.2,74.1,70.0,DELTA TERESA,,WDK7444,52.0,0.0,28.0,10.0,5.5,52.0,A,1731,1086
4,353160000,2022-02-23 01:58:29.500,33.753431481481485,-118.2354625925926,0.0,153.3,511.0,MSC SONIA,IMO9404663,3EUP7,79.0,0.0,365.0,50.0,13.8,79.0,A,2001,681
5,338093777,2022-02-23 01:58:29.500,33.7406243119266,-118.27854027522936,0.1,49.7,511.0,LA FIREBOAT 2,IMO9271535,,90.0,0.0,32.0,8.0,4.8,51.0,A,1521,824
6,367414180,2022-02-23 01:58:29.500,33.713050200000005,-118.05641,0.0,360.0,511.0,VALKYRIE,,WDE9156,37.0,,,,,,B,3994,1131
7,368159190,2022-02-23 01:58:29.500,33.73371921979286,-118.15743669965477,22.1,264.3,511.0,PILOT BOAT POLARIS 3,,WDL7326,50.0,15.0,21.0,6.0,0.0,50.0,A,2869,901
8,367733880,2022-02-23 01:58:29.500,33.72366,-118.07131,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,37.0,A,3828,1013
9,366994250,2022-02-23 01:58:29.500,33.731805200000004,-118.2642052,0.1,300.2,511.0,MASCO ENDEAVOR,IMO8987905,WDC2519,90.0,0.0,46.0,10.0,,8.0,A,1681,922
10,308126000,2022-02-23 01:58:29.500,33.75399,-118.26378108108108,1.6,52.0,44.0,SWEDISH REEFER,IMO9030149,C6KD4,70.0,0.0,158.0,24.0,10.0,70.0,A,1685,675
11,235082896,2022-02-23 01:58:29.500,33.73286977674419,-118.25405026046512,0.0,42.2,251.0,EDISON,IMO9463011,2DXY2,70.0,5.0,366.0,48.0,15.5,70.0,A,1794,910
12,367016050,2022-02-23 01:58:29.500,33.721909999999994,-118.22498666666668,0.5,88.3,511.0,MAKO,,WDC3906,95.0,5.0,14.0,5.0,0.0,95.0,A,2117,1032
13,355170000,2022-02-23 01:58:29.500,33.5101185678127,-118.3430247880194,1.9,76.0,23.0,ACHILLES BULKER,IMO9270907,HPOA,70.0,0.0,177.0,28.0,10.0,70.0,A,803,3390
14,367049470,2022-02-23 01:58:29.500,33.76264,-118.265770990099,0.0,252.1,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,50.0,A,1663,579
15,538007668,2022-02-23 01:58:29.500,33.713599,-118.155039,0.7,186.7,239.0,NOMADIC MILDE,IMO9463554,V7ZW7,70.0,1.0,138.0,21.0,8.1,79.0,A,2896,1125
16,338034336,2022-02-23 01:58:29.500,33.723943875969,-118.28143472868216,1.7,0.0,0.0,AUNTIE GRAVITY,,,37.0,,,,,,B,1489,1009
17,367507960,2022-02-23 01:58:29.500,33.77187472727273,-118.21159527272728,0.0,232.1,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,90.0,A,2266,476
18,338304048,2022-02-23 01:58:29.500,33.7189,-118.27944980469658,0.0,360.0,511.0,RUMRUNNER 3,IMO0000000,,37.0,,15.0,3.0,,,B,1511,1065
19,366926740,2022-02-23 01:58:29.500,33.74921129006727,-118.27042753660469,0.6,60.1,123.0,TIM QUIGG,IMO8987917,WDB6570,31.0,0.0,24.0,9.0,4.0,52.0,A,1611,728
20,367017440,2022-02-23 01:58:29.500,33.77080743119266,-118.21213752293578,0.0,249.8,511.0,PIPER INNESS,IMO8964109,WDC3984,90.0,0.0,42.0,8.0,2.1,56.0,A,2260,488
21,368024740,2022-02-23 01:58:29.500,33.74723,-118.21567166666668,0.0,96.4,100.0,PILOT BOAT ORION,,WDJ9306,50.0,15.0,19.0,6.0,0.0,50.0,A,2221,750
22,366988970,2022-02-23 01:58:29.500,33.76710220183486,-118.22047220183488,0.0,319.2,300.0,LARCONA,,WDC2171,31.0,0.0,21.0,7.0,,31.0,A,2167,529
23,366760710,2022-02-23 01:58:29.500,33.76729,-118.217205,0.0,270.6,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,31.0,A,2204,527
24,367569830,2022-02-23 01:58:29.500,33.75466541666666,-118.27550625,0.0,231.2,511.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,31.0,A,1555,667
25,249904000,2022-02-23 01:58:29.500,33.64808145454546,-118.20748472727274,9.7,196.1,200.0,TONSBERG,IMO9515383,9HA2066,70.0,0.0,264.0,32.0,12.3,70.0,A,2312,1854
26,351361000,2022-02-23 01:58:29.500,33.73304,-118.24485980693184,0.0,68.0,71.0,MSC KALINA,IMO9399026,3ETW2,70.0,5.0,366.0,51.0,15.6,71.0,A,1896,908
27,338208224,2022-02-23 01:58:29.500,33.72800019539428,-118.05911,0.0,160.5,511.0,LIFE IS GRAND,,,37.0,,,,,,B,3964,964
28,367014480,2022-02-23 01:58:29.500,33.7672,-118.2204,0.1,165.2,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2168,528
29,367104080,2022-02-23 01:58:29.500,33.73556366336634,-118.27105544554456,0.0,216.7,511.0,PETER MAC,IMO8982979,WDC9573,60.0,0.0,27.0,6.0,,90.0,A,1604,880
30,367625810,2022-02-23 01:58:29.500,33.740172321428574,-118.27814026785715,0.0,224.9,11.0,VETERAN,IMO9765720,WDH5227,31.0,0.0,31.0,12.0,,52.0,A,1525,829
31,367034960,2022-02-23 01:58:29.500,33.76761,-118.21695,0.1,146.2,26.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2207,523
