,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,563008700,2022-03-07 01:58:28.500,33.628872781456955,-118.0520615231788,0.5,56.1,148.0,NORD KITAN,IMO9663312,9V3632,70.0,0.0,,,,70.0,A,4042,2069
1,366926740,2022-03-07 01:58:28.500,33.77287565217392,-118.21802,0.0,238.9,242.0,TIM QUIGG,IMO8987917,WDB6570,31.0,0.0,24.0,9.0,4.0,52.0,A,2194,465
2,367760290,2022-03-07 01:58:28.500,33.74758798165138,-118.21567,0.1,189.6,283.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,90.0,A,2220,747
3,367689990,2022-03-07 01:58:28.500,33.72528093333333,-118.26221853333332,7.7,288.1,511.0,HARBOR KING,,WDI3598,60.0,0.0,18.0,7.0,,60.0,A,1702,995
4,367486370,2022-03-07 01:58:28.500,33.74594,-118.22475,0.1,213.6,8.0,NRC QUEST,IMO9271195,WDF7619,90.0,0.0,48.0,10.0,3.0,70.0,A,2119,765
5,338207261,2022-03-07 01:58:28.500,33.72343,-118.06311,0.0,360.0,511.0,TRUE GRIT,IMO0000000,,37.0,,13.0,5.0,,,B,3919,1016
6,368223930,2022-03-07 01:58:28.500,33.76147,-118.1841308568943,0.0,360.0,511.0,SAGA,IMO0000000,WDM6288,36.0,,12.0,4.0,,,B,2571,592
7,366760710,2022-03-07 01:58:28.500,33.76730458715596,-118.21724082568808,0.0,235.4,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,31.0,A,2203,528
8,368208950,2022-03-07 01:58:28.500,33.76776,-118.25037,0.0,142.6,511.0,BOTTOM FEEDER,IMO0000000,WDM4703,37.0,,13.0,4.0,,,B,1834,522
9,367049470,2022-03-07 01:58:28.500,33.762660134228184,-118.26575503355706,0.0,266.5,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,50.0,A,1663,579
10,338183058,2022-03-07 01:58:28.500,33.7499504129537,-118.11335020647684,0.0,360.0,511.0,DOCK HOLIDAY,IMO0000000,,37.0,,15.0,6.0,,,B,3359,721
