,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338393843,2022-04-07 13:52:55.500,33.719972877906976,-118.28188,0.0,81.9,511.0,WINE KNOT,IMO0000000,,37.0,,12.0,4.0,,,B,2058,1971
1,367791820,2022-04-07 13:52:55.500,33.60948,-117.88836,0.0,231.4,511.0,SALTE,IMO0000000,WDJ5840,37.0,,23.0,6.0,,,B,6439,3201
2,338208221,2022-04-07 13:52:55.500,33.72271,-118.28094,0.0,148.8,511.0,BREATHE,,,60.0,,,,,,B,2069,1940
3,338382092,2022-04-07 13:52:55.500,33.84613,-118.39632281524928,0.0,360.0,511.0,REGARDLESS,IMO0000000,,36.0,,13.0,3.0,,,B,785,566
4,338393343,2022-04-07 13:52:55.500,33.72457,-118.28170127845884,0.0,360.0,511.0,CENT' ANNI',IMO0000000,,37.0,,11.0,6.0,,,B,2060,1920
5,368221650,2022-04-07 13:52:55.500,33.60634,-117.90324,0.0,43.9,88.0,MAHAL,IMO0000000,WDM6041,37.0,,13.0,4.0,,,B,6273,3236
6,338404249,2022-04-07 13:52:55.500,33.60533709677419,-117.88464903225808,0.1,360.0,511.0,SWARTY4,IMO0000000,,37.0,,8.0,3.0,,,B,6480,3247
7,367616090,2022-04-07 13:52:55.500,33.77001277962348,-118.21251,0.0,358.0,288.0,SEA FORCE,,WDH4282,90.0,5.0,22.0,,,53.0,A,2831,1414
8,367371520,2022-04-07 13:52:55.500,33.61905,-117.92384,0.0,61.5,511.0,GAN EDEN,,WDE5779,37.0,,19.0,5.0,,,B,6044,3094
9,368066450,2022-04-07 13:52:55.500,33.72088182724253,-118.27898,0.0,360.0,511.0,FEISTY ONE,IMO0000000,WDK5602,37.0,,18.0,6.0,,,B,2091,1961
10,338108493,2022-04-07 13:52:55.500,33.61048385209713,-117.89592385209713,0.0,73.4,511.0,CHARISMA,IMO0000000,,37.0,,12.0,5.0,,,B,6355,3190
11,338339611,2022-04-07 13:52:55.500,33.60822,-117.9194959,0.0,360.0,19.0,VAL AIR,IMO0000000,,37.0,,11.0,4.0,,,B,6093,3215
