,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367682780,2022-04-19 13:52:56.500,33.74878,-118.1137533,0.0,134.2,511.0,INCEPTION,,WDI2890,37.0,,17.0,5.0,,,B,3930,1650
1,538009328,2022-04-19 13:52:56.500,33.74675,-118.20677,0.0,145.8,179.0,SEAMELODY,IMO9502790,V7A4602,70.0,5.0,180.0,28.0,11.0,70.0,A,2894,1672
2,255806339,2022-04-19 13:52:56.500,33.733073277027025,-118.24459672297296,0.0,220.9,71.0,MSC ORION,IMO9857157,CQEB8,74.0,5.0,366.0,51.0,14.7,74.0,A,2473,1825
3,367678390,2022-04-19 13:52:56.500,33.61365672268908,-117.92476,0.0,241.4,511.0,EL TIGRE,,WDI2461,37.0,0.0,19.0,6.0,,0.0,A,6033,3154
4,367655170,2022-04-19 13:52:56.500,33.7238633,-118.28079,0.0,210.5,511.0,PACIFIC STAR,IMO0000000,WDH8150,34.0,,22.0,8.0,,,B,2070,1927
5,367672140,2022-04-19 13:52:56.500,33.72353,-118.28045,0.0,89.0,511.0,MAURETANIA,,WDH9845,60.0,15.0,23.0,5.0,,60.0,A,2074,1931
6,367049470,2022-04-19 13:52:56.500,33.762612,-118.265738,0.0,219.4,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,50.0,A,2238,1496
7,367395280,2022-04-19 13:52:56.500,33.73182283625731,-118.26418,0.0,231.0,221.0,CLEAN OCEAN,IMO9202352,WDE7605,90.0,5.0,44.0,10.0,3.0,90.0,A,2255,1839
8,338392479,2022-04-19 13:52:56.500,33.61554186046512,-117.91593441860464,0.1,8.6,511.0,TERRIBLE,IMO0000000,,30.0,,0.0,0.0,,,B,6132,3133
9,538002640,2022-04-19 13:52:56.500,33.70570228346457,-118.12535,0.1,195.7,275.0,STAR MARKELLA,IMO9401491,V7KL3,70.0,1.0,229.0,32.0,14.4,70.0,A,3801,2129
10,367569830,2022-04-19 13:52:56.500,33.74748770642202,-118.20767844036696,0.1,229.8,83.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,31.0,A,2884,1664
11,565451000,2022-04-19 13:52:56.500,33.72604715231788,-118.21768966887416,0.0,234.8,235.0,MAERSK SEBAROK,IMO9315238,S6CH4,70.0,1.0,318.0,40.0,14.0,74.0,A,2773,1903
12,367366670,2022-04-19 13:52:56.500,33.73407616071429,-118.09369848214286,0.0,224.2,316.0,VULCAN,,WDE5434,70.0,15.0,43.0,,,33.0,A,4153,1813
13,357067000,2022-04-19 13:52:56.500,33.7618,-118.2759359,0.0,156.0,334.0,MSC ELENI,IMO9278143,H3BQ,70.0,5.0,294.0,32.0,13.5,73.0,A,2124,1505
14,338303696,2022-04-19 13:52:56.500,33.61378,-117.9125634551495,0.0,20.7,511.0,DARK SIDE,IMO0000000,,37.0,,11.0,4.0,,,B,6169,3153
15,338125218,2022-04-19 13:52:56.500,33.609753222591365,-117.89551,0.0,360.0,511.0,BIANCA,,,37.0,,,,,,B,6359,3197
