,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338207261,2022-05-06 01:58:30.500,33.72345,-118.06309977664031,0.0,360.0,511.0,TRUE GRIT,IMO0000000,,37.0,,13.0,5.0,,,B,3919,1177
1,366745460,2022-05-06 01:58:30.500,33.75072,-118.1135,0.0,360.0,511.0,RESCUE BOAT 127,IMO0000000,,37.0,,9.0,4.0,,,B,3358,874
2,241326000,2022-05-06 01:58:30.500,33.73049640399814,-118.20167,0.1,221.0,254.0,SEA FALCON,IMO9346859,SVBZ6,80.0,1.0,245.0,42.0,14.9,89.0,A,2377,1099
3,338208542,2022-05-06 01:58:30.500,33.7242490625,-118.14338828125,7.6,92.7,511.0,RAPTOR,,,37.0,,,,,,B,3025,1168
4,368073670,2022-05-06 01:58:30.500,33.619200209351014,-117.92814,0.0,52.5,511.0,,IMO0000000,,37.0,,0.0,0.0,,,B,5422,2338
5,636020371,2022-05-06 01:58:30.500,33.72663937209303,-118.25956,0.0,320.0,21.0,EVER FAR,IMO9850862,D5YX3,70.0,5.0,333.0,48.0,13.8,70.0,A,1732,1142
6,338159837,2022-05-06 01:58:30.500,33.72413,-118.282159795444,0.0,310.9,244.0,PACIFIC SUNSET,IMO0000000,,37.0,,10.0,4.0,,,B,1481,1170
7,636020648,2022-05-06 01:58:30.500,33.76199062064156,-118.27617020688052,0.0,257.5,334.0,ZIM IBERIA,IMO9431719,5LAA5,71.0,5.0,261.0,32.0,11.1,71.0,A,1547,748
8,338238144,2022-05-06 01:58:30.500,33.75849020455602,-118.18546,0.0,360.0,511.0,SEA SHARP,IMO0000000,,37.0,,0.0,0.0,,,B,2557,787
9,368243370,2022-05-06 01:58:30.500,33.76108,-118.19175,0.0,38.5,272.0,SEVEN THUNDERS,IMO0000000,WDM8448,37.0,,0.0,0.0,,,B,2487,758
10,229622000,2022-05-06 01:58:30.500,33.7548496,-118.2305898,0.0,29.2,70.0,MSC TRIESTE,IMO9484479,9HA3459,70.0,5.0,365.0,48.0,16.0,71.0,A,2055,828
11,338183058,2022-05-06 01:58:30.500,33.74996,-118.11339,0.0,360.0,511.0,DOCK HOLIDAY,IMO0000000,,37.0,,15.0,6.0,,,B,3359,882
12,338431123,2022-05-06 01:58:30.500,33.753519809302325,-118.11455,0.0,360.0,129.0,ACT III,IMO0000000,,37.0,,14.0,6.0,,,B,3347,842
13,1072211352,2022-05-06 01:58:30.500,33.61133,-117.92656019065332,0.2,360.0,45.0,SHAMBHALA,IMO0000000,WDG7537,37.0,,30.0,6.0,,,B,5439,2425
14,338232506,2022-05-06 01:58:30.500,33.72297,-118.28263,0.0,346.9,511.0,SERENDIPITER,IMO0000000,SERENDI,37.0,,10.0,10.0,,,B,1475,1182
15,241311000,2022-05-06 01:58:30.500,33.764199435015115,-118.27205,0.0,99.7,197.0,EXPRESS BERLIN,IMO9484924,SVBY4,70.0,5.0,349.0,45.0,15.5,71.0,A,1593,723
