,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338322293,2022-05-18 01:58:31.500,33.72711022563387,-118.07531,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B,3783,1136
1,368242740,2022-05-18 01:58:31.500,33.753570826446285,-118.11455876033055,0.0,120.1,511.0,ELISA,IMO0000000,WDM8377,37.0,,17.0,6.0,,,B,3346,842
2,477194800,2022-05-18 01:58:31.500,33.736706465116285,-118.19167110465116,0.0,4.5,91.0,COSCO SHIPPING ROSE,IMO9785809,VRRZ9,71.0,5.0,366.0,48.0,15.4,71.0,A,2488,1030
3,368020980,2022-05-18 01:58:31.500,33.593412592592585,-118.33652925925928,8.2,259.7,266.0,ASSATEAGUE,IMO9816892,WDJ8905,31.0,0.0,145.0,17.0,4.6,31.0,A,875,2625
4,368159190,2022-05-18 01:58:31.500,33.74732,-118.21563933962264,0.1,347.3,511.0,PILOT BOAT POLARIS 3,,WDL7326,50.0,15.0,21.0,6.0,0.0,50.0,A,2221,911
5,366892000,2022-05-18 01:58:31.500,33.75996321428571,-118.21785160714286,0.0,21.6,102.0,JAMIE ANN,,WDL5109,52.0,0.0,31.0,12.0,5.7,52.0,A,2196,771
6,368066450,2022-05-18 01:58:31.500,33.72087,-118.27894,0.0,360.0,511.0,FEISTY ONE,IMO0000000,WDK5602,37.0,,18.0,6.0,,,B,1516,1206
7,338363417,2022-05-18 01:58:31.500,33.61054021612828,-117.9257,0.0,360.0,511.0,WHAT WERE WE THINKIN,IMO0000000,,37.0,,5.0,1.0,,,B,5449,2434
8,357169000,2022-05-18 01:58:31.500,33.75968937878083,-118.21958,0.1,15.5,337.0,ASAHI MARU,IMO9594389,3FAZ2,70.0,5.0,179.0,29.0,10.5,79.0,A,2177,774
9,367427670,2022-05-18 01:58:31.500,33.61068,-117.92577183333334,0.0,120.6,511.0,MAGNA CARTA,,WDF2350,37.0,0.0,23.0,6.0,,37.0,A,5448,2432
10,367533290,2022-05-18 01:58:31.500,33.734528148148144,-118.27073814814815,0.1,269.5,511.0,MARIE CHERAMIE,IMO8964862,WDG4131,90.0,0.0,49.0,13.0,3.1,0.0,A,1608,1054
11,367421990,2022-05-18 01:58:31.500,33.77618,-118.24424067567568,0.0,311.9,511.0,H R MORRIS,IMO8993796,WCZ5434,90.0,3.0,67.0,16.0,,33.0,A,1903,590
12,368073670,2022-05-18 01:58:31.500,33.61921018166973,-117.92815981833029,0.0,24.2,511.0,,IMO0000000,,37.0,,0.0,0.0,,,B,5421,2337
13,367689990,2022-05-18 01:58:31.500,33.73424247706422,-118.27729752293578,0.1,7.7,511.0,HARBOR KING,,WDI3598,60.0,0.0,18.0,7.0,,60.0,A,1535,1057
14,368171390,2022-05-18 01:58:31.500,33.7311944,-118.2610208,0.0,358.0,341.0,BROOKS M HAMILTON,,WDL8631,52.0,12.0,26.0,10.0,2.6,52.0,A,1716,1091
15,366998830,2022-05-18 01:58:31.500,33.73094267326732,-118.26136267326731,0.0,352.9,511.0,ROYAL MELBOURNE,,WDC2865,31.0,12.0,23.0,7.0,,52.0,A,1712,1094
16,338238144,2022-05-18 01:58:31.500,33.75847179421923,-118.18544820578076,0.1,360.0,511.0,SEA SHARP,IMO0000000,,37.0,,0.0,0.0,,,B,2557,787
17,368024740,2022-05-18 01:58:31.500,33.74722,-118.21564513333334,0.0,351.8,511.0,PILOT BOAT ORION,,WDJ9306,50.0,15.0,19.0,6.0,0.0,50.0,A,2221,912
18,368243370,2022-05-18 01:58:31.500,33.76106963035442,-118.1917398151772,0.0,97.4,267.0,SEVEN THUNDERS,IMO0000000,WDM8448,37.0,,0.0,0.0,,,B,2487,758
19,367014480,2022-05-18 01:58:31.500,33.76720026666666,-118.22043,0.1,199.0,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2168,690
20,338092107,2022-05-18 01:58:31.500,33.72582,-118.07639020232558,0.0,124.2,511.0,HAMMER,IMO0000000,WDC9051,37.0,,13.0,5.0,,,B,3771,1151
21,366755020,2022-05-18 01:58:31.500,33.74028675675676,-118.27813675675677,0.0,287.7,6.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A,1525,990
22,367581220,2022-05-18 01:58:31.500,33.755855503355704,-118.2246402013423,0.1,28.6,338.0,AHBRA FRANCO,IMO9694323,WDG8801,31.0,0.0,28.0,12.0,,52.0,A,2121,816
23,367569830,2022-05-18 01:58:31.500,33.76762581818182,-118.25257363636364,0.1,328.0,305.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,31.0,A,1810,685
24,565570000,2022-05-18 01:58:31.500,33.75223020213755,-118.2397095957249,0.0,228.4,250.0,MAERSK ALTAIR,IMO9342499,9VEN2,70.0,5.0,337.0,45.0,15.0,71.0,A,1953,857
25,538002316,2022-05-18 01:58:31.500,33.75033,-118.17083,0.1,345.0,230.0,GENCO AQUITAINE,IMO9490624,V7DT9,70.0,1.0,190.0,32.0,12.9,70.0,A,2720,878
26,368241760,2022-05-18 01:58:31.500,33.72321,-118.05673082772104,0.0,360.0,87.0,RUBY,IMO0000000,WDM8266,37.0,,6.0,4.0,,,B,3990,1180
