,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,368052160,2022-06-30 13:53:00.500,33.72031,-118.2768433,0.0,0.0,511.0,PALOMA,IMO0000000,WDK4131,37.0,,10.0,4.0,,,B,2113,1967
1,366806940,2022-06-30 13:53:00.500,33.775648256880736,-118.24530100917433,0.0,230.3,511.0,VALHALLA,,WDA4208,90.0,3.0,77.0,23.0,,0.0,A,2464,1351
2,255806509,2022-06-30 13:53:00.500,33.6118936,-118.0288796,0.0,278.0,198.0,THEODOR OLDENDORFF,IMO9291406,CQEX2,79.0,1.0,225.0,32.0,8.5,70.0,A,4874,3174
3,338185756,2022-06-30 13:53:00.500,33.7159844,-118.06272,0.0,97.2,511.0,HATTITUDE,,,37.0,,13.0,,,,B,4497,2015
4,367571130,2022-06-30 13:53:00.500,33.66854488235294,-118.24937152941176,10.9,9.8,352.0,DONZ RIG,IMO0000000,WDG7817,30.0,,0.0,0.0,,,B,2419,2543
5,338087117,2022-06-30 13:53:00.500,33.740256153846154,-118.20947615384615,25.7,315.6,324.0,ALTAIR,,,60.0,,10.0,3.0,,,B,2863,1745
6,367408930,2022-06-30 13:53:00.500,33.847258817624095,-118.39997207845326,0.9,163.5,351.0,LUCY FOSS,,WDE8734,90.0,0.0,18.0,7.0,,53.0,A,743,554
7,368089050,2022-06-30 13:53:00.500,33.6097363973064,-117.8965936026936,0.0,360.0,511.0,STANLEY'S CUP,IMO0000000,WDK7912,36.0,,10.0,3.0,,,B,6346,3198
8,215434000,2022-06-30 13:53:00.500,33.72987637583892,-118.22574637583892,0.1,340.3,219.0,SEAGEM,IMO9758375,9HA5109,70.0,1.0,229.0,32.0,7.4,70.0,A,2682,1860
9,367519370,2022-06-30 13:53:00.500,33.59503120300752,-117.88083872180452,5.5,169.8,165.0,TOOTHPICK,IMO0000000,WDG2796,37.0,,12.0,4.0,,,B,6522,3361
10,367698890,2022-06-30 13:53:00.500,33.760993,-118.21835,0.0,213.8,511.0,FIREBOAT 20,,WDI4461,90.0,0.0,32.0,,,90.0,A,2764,1514
11,338132251,2022-06-30 13:53:00.500,33.74961,-118.1139,0.0,360.0,511.0,STING WRAY V,,,37.0,,18.0,,,,B,3927,1641
12,368171390,2022-06-30 13:53:00.500,33.73123618421052,-118.26089309210526,0.0,329.2,338.0,BROOKS M HAMILTON,,WDL8631,52.0,5.0,26.0,10.0,2.6,52.0,A,2291,1845
13,368139590,2022-06-30 13:53:00.500,33.75337306666666,-118.11099693333334,0.0,360.0,511.0,SECOND STAR,IMO0000000,WDL5276,36.0,,13.0,2.0,,,B,3959,1599
14,367104080,2022-06-30 13:53:00.500,33.64298722772277,-118.18686425742574,14.0,333.3,511.0,PETER MAC,IMO8982979,WDC9573,60.0,0.0,27.0,6.0,,90.0,A,3115,2828
15,367758240,2022-06-30 13:53:00.500,33.591588927102805,-118.4327750093458,7.3,240.0,240.0,LUCY FRANCO,,WDJ2429,31.0,15.0,21.0,7.0,,32.0,A,377,3400
