,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,368010330,2022-07-12 13:53:01.500,33.77079444444445,-118.21229555555554,0.0,86.6,64.0,RICH PADDEN,,WDJ7811,52.0,0.0,,,,52.0,A,2832,1405
1,338207261,2022-07-12 13:53:01.500,33.72345336666667,-118.06308326666668,0.0,360.0,511.0,TRUE GRIT,IMO0000000,,37.0,,13.0,5.0,,,B,4493,1932
2,338388274,2022-07-12 13:53:01.500,33.61928,-117.92432671118532,0.0,154.8,511.0,THE ESSIE,IMO0000000,,37.0,,12.0,3.0,,,B,6038,3091
3,338225409,2022-07-12 13:53:01.500,33.75731677631578,-118.18728322368422,0.0,321.6,511.0,SWEET FREEDOM,,,37.0,,,,,,B,3111,1555
4,368171390,2022-07-12 13:53:01.500,33.71992269230769,-118.2308046153846,8.4,57.2,53.0,BROOKS M HAMILTON,,WDL8631,52.0,12.0,26.0,10.0,2.6,52.0,A,2626,1971
5,636020486,2022-07-12 13:53:01.500,33.76296521594685,-118.24849435215948,0.0,92.2,66.0,BBG GUILIN,IMO9922249,D5ZL4,70.0,5.0,200.0,32.0,11.2,70.0,A,2429,1492
6,366979370,2022-07-12 13:53:01.500,33.89285554455446,-118.45819227722772,2.9,359.4,15.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,0.0,23.0,8.0,,52.0,A,95,46
7,367569830,2022-07-12 13:53:01.500,33.75076,-118.24112735294118,0.9,166.8,38.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,31.0,A,2511,1628
8,367461940,2022-07-12 13:53:01.500,33.734233,-118.097647,0.0,241.9,511.0,DB LOS ANGELES,,WDF5328,90.0,3.0,45.0,15.0,,90.0,A,4109,1812
9,367510010,2022-07-12 13:53:01.500,33.84906,-118.40026392739274,0.0,358.5,511.0,MARIA,,WDF9901,37.0,,22.0,,,,B,740,533
10,338350423,2022-07-12 13:53:01.500,33.610123135313536,-117.8958,0.0,360.0,511.0,WATER BUFFALO,IMO0000000,,37.0,,12.0,22.0,,,B,6356,3193
