,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,416465000,2021-03-06 01:57:49.500,33.764243311036786,-118.27204,0.0,125.0,199.0,YM UPSURGENCE,IMO9462720,BLHJ,70.0,5.0,333.0,42.0,13.0,,A,1598,610
1,366745470,2021-03-06 01:57:49.500,33.75838,-118.18388996389892,0.0,360.0,511.0,RESCUE BOAT 128,IMO0000000,,37.0,,8.0,4.0,,,B,2579,675
2,367709320,2021-03-06 01:57:49.500,33.7214,-118.28042021720243,0.1,132.5,511.0,QIQI,,WDI5509,37.0,,15.0,,,,B,1504,1087
3,370739000,2021-03-06 01:57:49.500,33.758953299999995,-118.2173734,0.0,290.7,155.0,GLOBAL SERENITY,IMO9363302,3FMK5,70.0,5.0,177.0,28.0,10.0,79.0,A,2206,669
4,367303000,2021-03-06 01:57:49.500,33.77644900990099,-118.21069732673269,0.0,360.0,59.0,,,,,0.0,,,,,A,2280,474
5,367689990,2021-03-06 01:57:49.500,33.7342304950495,-118.277290990099,0.0,289.6,511.0,HARBOR KING,,WDI3598,60.0,0.0,18.0,7.0,,60.0,A,1539,944
6,367681720,2021-03-06 01:57:49.500,33.76418,-118.2447284,0.0,19.1,511.0,CATALINA DUKE,IMO8986133,WDI2784,60.0,0.0,24.0,7.0,,,A,1902,611
7,367762210,2021-03-06 01:57:49.500,33.7169,-118.27872684563758,0.0,316.8,511.0,ALOHA,,WDJ2837,37.0,,,,,,B,1523,1137
8,310768000,2021-03-06 01:57:49.500,33.695487066666665,-118.15038676666668,0.2,205.5,269.0,DUESSELDORF EXPRESS,IMO9143556,ZCEV4,70.0,1.0,293.0,32.0,13.6,,A,2952,1375
9,311000923,2021-03-06 01:57:49.500,33.6941928,-118.2000928,0.1,264.4,264.0,,,,,1.0,,,,,A,2398,1390
10,367089760,2021-03-06 01:57:49.500,33.71342020439226,-118.05526,0.0,0.0,511.0,INAMORATA,,WDC8592,37.0,,12.0,4.0,,,B,4011,1176
11,366760650,2021-03-06 01:57:49.500,33.74672363636364,-118.21665,3.3,355.4,179.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A,2214,805
12,367133160,2021-03-06 01:57:49.500,33.76742363636363,-118.2175368181818,0.0,109.5,109.0,TECUMSEH,IMO7511503,WTW9257,31.0,0.0,37.0,10.0,4.2,,A,2204,575
13,566942000,2021-03-06 01:57:49.500,33.6218492,-118.04222,0.2,340.0,301.0,WAN HAI 517,IMO9457660,9V7583,70.0,1.0,259.0,37.0,11.0,70.0,A,4156,2195
14,367422010,2021-03-06 01:57:49.500,33.74531605504588,-118.27228,0.0,360.0,511.0,,,,,3.0,,,,,A,1595,821
15,982463045,2021-03-06 01:57:49.500,33.75390200945626,-118.19289501182034,2.9,352.9,511.0,T/T ZUIDERDAM 15,,,60.0,,,,,,B,2479,725
16,367655460,2021-03-06 01:57:49.500,33.72433788990828,-118.28053,0.0,360.0,511.0,NATIVE SUN,,WDH8179,60.0,0.0,22.0,7.0,,,A,1503,1054
17,338247851,2021-03-06 01:57:49.500,33.72689810810811,-118.07568,0.0,93.5,511.0,GO TIME,IMO0000000,,30.0,,10.0,4.0,,,B,3783,1026
18,367049470,2021-03-06 01:57:49.500,33.76272,-118.26566,0.0,274.2,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A,1669,627
19,366978720,2021-03-06 01:57:49.500,33.72872415841584,-118.26183227722773,0.8,289.7,24.0,MILLENNIUM FALCON,IMO9219575,WCZ8082,31.0,0.0,32.0,11.0,4.9,,A,1711,1005
