,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338921000,2021-03-18 01:57:49.500,33.72445,-118.26901,0.1,158.0,158.0,CG GEORGE COBB,IMO9177325,NTVY,90.0,5.0,53.0,10.0,2.4,,A,1631,1054
1,477166300,2021-03-18 01:57:49.500,33.68781,-118.21508363934429,0.0,7.1,271.0,,,,,1.0,,,,,A,2232,1462
2,258795000,2021-03-18 01:57:49.500,33.702841921568634,-118.15525384313725,0.4,274.2,270.0,BOW TRIDENT,IMO9669897,LARV7,80.0,1.0,182.0,32.0,13.2,,A,2898,1294
3,338926431,2021-03-18 01:57:49.500,33.72551640625,-118.26945640625,0.1,340.7,162.0,,,,,5.0,,,,,A,1626,1042
4,215183000,2021-03-18 01:57:49.500,33.72216348837209,-118.2260930232558,0.0,252.7,253.0,,,,,1.0,,,,,A,2109,1079
5,367049470,2021-03-18 01:57:49.500,33.762713394495414,-118.26565,0.0,292.5,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,,A,1669,628
6,367303000,2021-03-18 01:57:49.500,33.773245090909086,-118.2173749090909,0.0,360.0,63.0,,,,,0.0,,,,,A,2206,510
7,366983530,2021-03-18 01:57:49.500,33.754543663366334,-118.26966900990098,0.1,186.2,185.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,0.0,24.0,9.0,4.0,52.0,A,1624,719
8,338336014,2021-03-18 01:57:49.500,33.774553166666664,-118.24519683333334,0.0,112.4,511.0,KANWARA,IMO0000000,,36.0,,18.0,5.0,,,B,1896,496
9,368084540,2021-03-18 01:57:49.500,33.73994,-118.2781619266055,0.0,342.9,8.0,,,,,0.0,,,,,A,1529,881
10,366998840,2021-03-18 01:57:49.500,33.755273214285715,-118.26972321428572,0.0,170.8,195.0,MILLENNIUM MAVERICK,IMO9159713,WDC2866,31.0,0.0,30.0,11.0,4.6,,A,1623,711
11,367569830,2021-03-18 01:57:49.500,33.75917277777778,-118.25935703703703,7.9,227.8,221.0,ROBERT FRANCO,IMO9694311,WDG7687,31.0,0.0,31.0,12.0,,,A,1739,667
12,367518750,2021-03-18 01:57:49.500,33.662568224852066,-118.18457727810652,7.8,104.8,511.0,BRETWALDA 3,,WDG2738,37.0,,14.0,,,,B,2571,1743
13,367006790,2021-03-18 01:57:49.500,33.72490556291391,-118.27569377483444,0.0,249.0,511.0,VICKI ANN,,WYE3508,80.0,5.0,22.0,7.0,,80.0,A,1557,1049
14,338208224,2021-03-18 01:57:49.500,33.72801,-118.05911,0.0,120.6,511.0,LIFE IS GRAND,,,37.0,,,,,,B,3968,1014
15,538002089,2021-03-18 01:57:49.500,33.725235000000005,-118.217309,0.0,194.0,261.0,NEW CONQUEST,IMO9308089,V7GG4,80.0,1.0,228.0,32.0,14.5,,A,2207,1045
16,368064650,2021-03-18 01:57:49.500,33.723718,-118.279704,1.4,51.0,511.0,,,,,15.0,,,,,A,1512,1062
17,338131199,2021-03-18 01:57:49.500,33.76216625,-118.194321875,0.0,27.9,511.0,,,,,15.0,,,,,A,2463,634
18,367050320,2021-03-18 01:57:49.500,33.76718011395349,-118.21889,0.0,190.5,511.0,BIG TROUBLE,,WDC6036,37.0,,22.0,6.0,,,B,2189,578
