,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,373664000,2021-04-06 13:52:01.500,33.72773644518273,-118.1968557807309,0.0,325.8,241.0,NAVE ATRIA,IMO9459060,3FFV5,80.0,1.0,183.0,32.0,13.1,80.0,A,3004,1884
1,374136000,2021-04-06 13:52:01.500,33.689429595959595,-118.1290731986532,0.1,347.1,244.0,OPAL SEA,IMO9081825,3FUZ3,80.0,1.0,182.0,32.0,12.2,70.0,A,3759,2311
2,367712710,2021-04-06 13:52:01.500,33.73727657237937,-118.26942342762062,0.0,360.0,511.0,ST KATHERINE,IMO0000000,WDI5859,30.0,,17.0,6.0,,,B,2196,1778
3,367034960,2021-04-06 13:52:01.500,33.7676,-118.21698201834865,0.0,245.4,30.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2780,1441
4,256932000,2021-04-06 13:52:01.500,33.616166166666666,-118.0336,0.0,19.0,268.0,COSCO HELLAS,IMO9308510,9HA4040,70.0,1.0,350.0,43.0,13.6,70.0,A,4822,3126
5,338399196,2021-04-06 13:52:01.500,33.76284,-118.02448881656804,0.1,360.0,511.0,LEASHED,IMO0000000,,37.0,,14.0,6.0,,,B,4923,1494
6,368165770,2021-04-06 13:52:01.500,33.72349,-118.28057,0.1,259.8,511.0,V.A.CABRILLO,,WDL8032,31.0,0.0,8.0,4.0,0.0,31.0,A,2072,1932
7,367559940,2021-04-06 13:52:01.500,33.76189,-118.1828468,0.0,87.6,511.0,TRAILERHOOD,,WDG6717,37.0,,14.0,,,,B,3160,1504
8,368167990,2021-04-06 13:52:01.500,33.61021,-117.92527313333332,0.0,112.4,511.0,IT'S ALL GOOD,IMO0000000,WDL8279,37.0,,14.0,5.0,,,B,6027,3193
9,338226227,2021-04-06 13:52:01.500,33.726583166666664,-118.0744805,0.0,355.7,511.0,FIGHTING IRISH,,,37.0,,,,,,B,4367,1897
10,368121180,2021-04-06 13:52:01.500,33.7361632,-118.2696668,0.0,288.5,511.0,LAPPD BOAT 42,IMO0000000,WDL3392,55.0,,12.0,4.0,,,B,2194,1791
11,367101530,2021-04-06 13:52:01.500,33.86567,-118.46637,8.0,265.9,511.0,CARIBE ALLIANCE,,WDI9216,90.0,5.0,19.0,6.0,,53.0,A,4,349
12,367427670,2021-04-06 13:52:01.500,33.61068481481482,-117.92577,0.0,144.0,511.0,MAGNA CARTA,,WDF2350,37.0,0.0,23.0,6.0,,37.0,A,6022,3187
13,368127000,2021-04-06 13:52:01.500,33.70624111111111,-118.1883777777778,4.6,192.1,195.0,LIBERTY BAY,IMO9642083,KLBO,80.0,0.0,251.0,43.0,15.0,80.0,A,3099,2124
14,338131199,2021-04-06 13:52:01.500,33.76211,-118.19438009174311,0.0,190.5,511.0,R/V CHALLENGER,,WDE7334,90.0,15.0,33.0,4.0,0.0,90.0,A,3032,1502
15,366951730,2021-04-06 13:52:01.500,33.7336,-118.09635693333334,0.0,61.7,34.0,JEFFREY M,,WSX6846,31.0,5.0,23.0,6.0,,52.0,A,4123,1819
16,338116397,2021-04-06 13:52:01.500,33.609881519198666,-117.92649,0.1,136.6,511.0,RAPALLO,,,37.0,,,,,,B,6014,3196
17,636014359,2021-04-06 13:52:01.500,33.76164385135135,-118.25230307432432,0.0,82.3,247.0,SIFNOS,IMO9456379,A8TH9,70.0,5.0,189.0,32.0,12.8,70.0,A,2387,1507
18,338185756,2021-04-06 13:52:01.500,33.71591,-118.06272,0.0,122.8,511.0,HATTITUDE,,,37.0,,13.0,,,,B,4497,2016
19,367678390,2021-04-06 13:52:01.500,33.61365,-117.9248,0.0,299.1,227.0,EL TIGRE,,WDI2461,37.0,0.0,19.0,6.0,,0.0,A,6033,3154
20,367702780,2021-04-06 13:52:01.500,33.72848198019802,-118.25865693069308,0.1,357.2,78.0,SARAH,IMO9824887,WDI4859,31.0,0.0,23.0,,,52.0,A,2316,1876
21,338394366,2021-04-06 13:52:01.500,33.6174431986532,-117.9270765993266,0.0,336.0,511.0,GHOSTRIDER,IMO0000000,,37.0,,15.0,3.0,,,B,6007,3112
22,338369901,2021-04-06 13:52:01.500,33.60763,-117.9166415282392,0.0,360.0,199.0,DOLLY,IMO0000000,,37.0,,18.0,6.0,,,B,6124,3221
23,366745470,2021-04-06 13:52:01.500,33.75840303333334,-118.18386,0.0,360.0,511.0,RESCUE BOAT 128,IMO0000000,,37.0,,8.0,4.0,,,B,3149,1543
24,338240395,2021-04-06 13:52:01.500,33.72352,-118.28125,0.0,334.8,511.0,TIDAL WAVE,,,37.0,,,,,,B,2065,1931
25,366844270,2021-04-06 13:52:01.500,33.73113,-118.26106327759196,0.0,272.9,346.0,MILLENNIUM DAWN,IMO9258791,WDA7527,31.0,0.0,32.0,10.0,3.8,52.0,A,2289,1847
26,215240000,2021-04-06 13:52:01.500,33.73429,-118.24901,0.0,250.8,251.0,CMA CGM GEORGIA,IMO9351127,9HA5027,71.0,5.0,294.0,32.0,10.9,71.0,A,2424,1812
27,367452280,2021-04-06 13:52:01.500,33.75580709090909,-118.27377,0.0,360.0,511.0,LAGUNA,,WDF4470,31.0,0.0,20.0,7.0,,52.0,A,2148,1572
28,538003794,2021-04-06 13:52:01.500,33.74825,-118.21140598006644,0.0,57.0,238.0,GOLDEN EAGLE,IMO9418731,V7TF7,70.0,5.0,189.0,32.0,12.7,70.0,A,2842,1656
29,341774000,2021-04-06 13:52:01.500,33.61477,-117.91441,0.0,305.2,511.0,MING,,V4MY3,90.0,0.0,,,,90.0,A,6148,3142
30,338360094,2021-04-06 13:52:01.500,33.72089,-118.27871,0.0,360.0,511.0,PACIFIC HAVEN,IMO0000000,,37.0,,15.0,5.0,,,B,2093,1961
31,367133910,2021-04-06 13:52:01.500,33.76542612612613,-118.2555383783784,0.0,314.6,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,2351,1465
