,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,319310000,2021-04-23 01:57:51,33.56659475247525,-118.20979504950496,8.2,163.7,166.0,AQUAMARINE ACE,IMO9397987,ZCXE2,70.0,0.0,200.0,32.0,9.7,70.0,A,2290,2810
1,431027000,2021-04-23 01:57:51,33.764170400000005,-118.2719736,0.0,267.5,198.0,ONE THESEUS,IMO9356701,7KIL,79.0,5.0,304.0,40.0,12.2,79.0,A,1598,610
2,338325903,2021-04-23 01:57:51,33.72606553333333,-118.07617,0.0,360.0,511.0,T'S TIME,IMO0000000,,37.0,,18.0,6.0,,,B,3778,1035
3,636017408,2021-04-23 01:57:51,33.67787,-118.10845335548171,0.0,356.8,262.0,MSC VENICE,IMO9647473,D5KU2,71.0,1.0,399.0,54.0,13.7,71.0,A,3419,1571
4,338310259,2021-04-23 01:57:51,33.74677,-118.11760978913044,0.0,360.0,117.0,ENKEPHALIN,IMO0000000,,37.0,,10.0,3.0,,,B,3317,804
5,311003300,2021-04-23 01:57:51,33.63961890909091,-118.26105936363636,9.8,265.4,264.0,GENTLE LEADER,IMO9391567,C6WY9,70.0,0.0,199.0,32.0,10.0,70.0,A,1720,1997
6,538007938,2021-04-23 01:57:51,33.69517,-118.12027773333332,0.1,176.0,252.0,CAPT.THANASIS,IMO9294159,V7BP8,70.0,1.0,222.0,30.0,8.6,70.0,A,3287,1379
7,366745470,2021-04-23 01:57:51,33.75837042382091,-118.1838895761791,0.1,360.0,511.0,RESCUE BOAT 128,IMO0000000,,37.0,,8.0,4.0,,,B,2579,675
8,241529000,2021-04-23 01:57:51,33.6868696,-118.12903,0.4,168.3,258.0,PERSEPOLIS,IMO9798870,SVCR3,80.0,1.0,228.0,33.0,12.3,80.0,A,3190,1471
9,366979370,2021-04-23 01:57:51,33.77051678807947,-118.21248321192051,0.0,298.7,242.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,5.0,23.0,8.0,,52.0,A,2261,540
10,565528000,2021-04-23 01:57:51,33.73496047419805,-118.15074,0.0,260.9,252.0,CHALLENGE PEGASUS,IMO9349198,9VBU6,80.0,1.0,183.0,32.0,12.4,80.0,A,2948,936
11,215352000,2021-04-23 01:57:51,33.6765324,-118.21268,0.1,31.2,272.0,CMA CGM BRAZIL,IMO9860245,9HA5075,71.0,1.0,366.0,51.0,14.2,71.0,A,2258,1586
12,366734000,2021-04-23 01:57:51,33.74405,-118.22667613333334,0.0,0.0,511.0,CAPE ISABEL,IMO7390129,KLHR,70.0,5.0,208.0,31.0,9.8,70.0,A,2103,834
