,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,366951730,2021-05-05 01:57:51.500,33.74710653333334,-118.27146326666666,0.0,216.1,29.0,JEFFREY M,,WSX6846,31.0,5.0,23.0,6.0,,52.0,A,1604,802
1,366998840,2021-05-05 01:57:51.500,33.72308882352941,-118.26265941176472,4.1,192.5,184.0,MILLENNIUM MAVERICK,IMO9159713,WDC2866,31.0,0.0,30.0,11.0,4.6,39.0,A,1702,1070
2,367719100,2021-05-05 01:57:51.500,33.729645090909095,-118.2756798181818,0.1,233.6,314.0,DR. HANK KAPLAN,IMO9816012,WDJ3839,52.0,0.0,24.0,10.0,5.1,52.0,A,1557,997
3,311000112,2021-05-05 01:57:51.500,33.70510321070234,-118.15598321070232,0.0,286.1,258.0,POLARIS VOYAGER,IMO9665748,C6AP4,80.0,1.0,275.0,48.0,17.0,81.0,A,2890,1270
4,367733880,2021-05-05 01:57:51.500,33.72366,-118.07130559633026,0.0,360.0,511.0,HIGH PRYORITY,,WDI7956,37.0,0.0,,,,37.0,A,3832,1063
5,367760290,2021-05-05 01:57:51.500,33.74759,-118.21567,0.1,50.6,283.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,90.0,A,2225,797
6,338339764,2021-05-05 01:57:51.500,33.72243,-118.27901315614618,0.0,265.0,511.0,MILLER TIME,IMO0000000,,37.0,,15.0,4.0,,,B,1520,1077
7,338325903,2021-05-05 01:57:51.500,33.72607927924218,-118.07618072075782,0.0,360.0,511.0,T'S TIME,IMO0000000,,37.0,,18.0,6.0,,,B,3778,1037
8,366760710,2021-05-05 01:57:51.500,33.74130563636364,-118.1413641818182,7.1,116.8,511.0,REDONDO,,WCD3906,60.0,0.0,18.0,7.0,,31.0,A,3052,867
9,477637600,2021-05-05 01:57:51.500,33.7410024,-118.19740686666668,0.0,255.1,270.0,CSCL SOUTH CHINA SEA,IMO9645920,VRNT8,70.0,5.0,335.0,48.0,15.0,71.0,A,2428,870
10,338209606,2021-05-05 01:57:51.500,33.725329890278694,-118.07656,0.0,84.8,511.0,TELESTO,,,37.0,,,,,,B,3774,1045
11,338096778,2021-05-05 01:57:51.500,33.75963,-118.12604,0.0,360.0,14.0,ODYSSEY,,,37.0,,16.0,4.0,,,B,3223,663
12,367698890,2021-05-05 01:57:51.500,33.7609997813445,-118.21834989067224,0.0,264.8,511.0,FIREBOAT 20,,WDI4461,90.0,5.0,32.0,,,90.0,A,2195,648
13,367422010,2021-05-05 01:57:51.500,33.77572747747748,-118.24479243243243,0.0,360.0,511.0,VALKYRIE,,WCZ5436,33.0,3.0,62.0,22.0,0.0,33.0,A,1901,484
14,338060204,2021-05-05 01:57:51.500,33.72099075886062,-118.27909151772124,0.0,360.0,511.0,SOUNDINGS,,,37.0,1.0,26.0,7.0,2.1,37.0,A,1519,1093
15,366755010,2021-05-05 01:57:51.500,33.740236090909086,-118.27805045454544,0.0,263.4,5.0,MASTER,IMO9188532,WCY6528,31.0,0.0,32.0,10.0,6.8,52.0,A,1531,879
16,367661930,2021-05-05 01:57:51.500,33.729618374055974,-118.27541,0.0,206.3,125.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,0.0,24.0,,,52.0,A,1560,997
17,368084540,2021-05-05 01:57:51.500,33.77307311926605,-118.21762688073396,0.0,106.6,240.0,DELTA TERESA,,WDK7444,52.0,0.0,28.0,10.0,5.5,52.0,A,2203,513
18,338159837,2021-05-05 01:57:51.500,33.72412,-118.28214850434784,0.0,150.8,238.0,PACIFIC SUNSET,IMO0000000,,37.0,,10.0,4.0,,,B,1485,1058
19,338311935,2021-05-05 01:57:51.500,33.75908,-118.18504009771986,0.0,360.0,511.0,SEAFOX,IMO0000000,,36.0,,16.0,6.0,,,B,2566,669
20,367034960,2021-05-05 01:57:51.500,33.7676,-118.21697,0.0,219.9,32.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2211,574
21,366823250,2021-05-05 01:57:51.500,33.72159,-118.28107,0.1,254.4,511.0,HOOKER,IMO0000000,WDA5733,37.0,,14.0,4.0,,,B,1497,1086
22,338240395,2021-05-05 01:57:51.500,33.72353,-118.28126009532669,0.0,333.7,511.0,TIDAL WAVE,,,37.0,,,,,,B,1495,1065
23,636015178,2021-05-05 01:57:51.500,33.696870095348835,-118.13773019069768,0.2,152.8,236.0,AQUALEGACY,IMO9601833,A8ZC7,80.0,1.0,248.0,43.0,15.0,80.0,A,3093,1362
24,368021110,2021-05-05 01:57:51.500,33.76147,-118.1922998216616,0.0,313.7,511.0,SOME TUESDAY,IMO0000000,WDJ8919,36.0,,15.0,8.0,,,B,2485,643
25,374008000,2021-05-05 01:57:51.500,33.68779979515829,-118.11518,0.0,163.2,254.0,MSC NAOMI,IMO9704984,3FRZ7,71.0,1.0,300.0,48.0,14.1,71.0,A,3344,1463
26,367133910,2021-05-05 01:57:51.500,33.76547236363636,-118.25563,0.0,293.3,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,1780,598
27,215219000,2021-05-05 01:57:51.500,33.638129913953485,-118.13803017209302,0.0,293.5,294.0,CMA CGM VON HUMBOLDT,IMO9454448,9HA5017,71.0,1.0,396.0,54.0,14.2,71.0,A,3089,2016
28,338331664,2021-05-05 01:57:51.500,33.71665,-118.28096,0.0,0.0,511.0,ASTRAL,IMO0000000,,36.0,,13.0,4.0,,,B,1498,1141
29,256930000,2021-05-05 01:57:51.500,33.73685,-118.1928998232558,0.0,24.0,90.0,COSCO YANTIAN,IMO9305594,9HA4039,70.0,5.0,350.0,42.0,14.5,70.0,A,2479,917
30,367471080,2021-05-05 01:57:51.500,33.71577183486239,-118.23920972477065,13.3,256.9,511.0,ISABEL L,,WDF6141,60.0,0.0,27.0,5.0,,42.0,A,1963,1151
31,366978720,2021-05-05 01:57:51.500,33.730467454545455,-118.26141745454544,0.0,78.8,254.0,MILLENNIUM FALCON,IMO9219575,WCZ8082,31.0,0.0,32.0,11.0,4.9,31.0,A,1716,988
32,338322535,2021-05-05 01:57:51.500,33.7284,-118.05987,0.0,360.0,511.0,EAGLES WING,IMO0000000,,37.0,,12.0,0.0,,,B,3959,1011
33,368171990,2021-05-05 01:57:51.500,33.72272445544555,-118.18404128712872,7.3,135.1,133.0,LEISA FLORENCE,,WDL8692,52.0,5.0,30.0,13.0,5.8,52.0,A,2577,1074
