,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367492920,2021-06-05 01:49:57.500,33.73505559633028,-118.27100559633028,0.0,28.3,511.0,KENNETH CARL,IMO8978710,WDF8246,90.0,0.0,33.0,7.0,2.7,79.0,A,1595,1098
1,636014430,2021-06-05 01:49:57.500,33.690964678899086,-118.25128706422018,6.9,185.0,184.0,KEFALONIA,IMO9382188,A8TU4,80.0,0.0,102.0,17.0,6.6,80.0,A,1815,1589
2,338223365,2021-06-05 01:49:57.500,33.61443,-117.91363,0.0,27.7,511.0,REFLECTIONS,,,37.0,,25.0,6.0,,,B,5574,2441
3,338335196,2021-06-05 01:49:57.500,33.75911,-118.1878567,0.0,194.6,511.0,LAST DANCE,IMO0000000,,37.0,,0.0,0.0,,,B,2521,830
4,368014440,2021-06-05 01:49:57.500,33.71319333333334,-118.27132,9.0,71.7,511.0,MONTE CARLO,,WDD6745,30.0,0.0,22.0,7.0,0.1,30.0,A,1592,1341
5,367770240,2021-06-05 01:49:57.500,33.618248300000005,-117.9220017,0.0,59.3,511.0,CLAUDE-II,,WDJ3674,36.0,,,,,,B,5480,2398
6,367689860,2021-06-05 01:49:57.500,33.6112643,-117.9235862,0.0,298.7,283.0,POTESTA,,WDI3585,37.0,,24.0,,,,B,5463,2476
7,368010330,2021-06-05 01:49:57.500,33.75052307692308,-118.21771884615384,7.6,186.1,185.0,RICH PADDEN,,WDJ7811,,0.0,,,,52.0,A,2188,926
8,367766860,2021-06-05 01:49:57.500,33.77172987764183,-118.21197506117907,0.0,1.6,511.0,SEANA C,,WDJ3319,31.0,5.0,21.0,7.0,,52.0,A,2252,690
9,338118674,2021-06-05 01:49:57.500,33.72624,-118.26905,0.1,320.3,251.0,BAYWATCH 19,,WZB9310,90.0,15.0,,,,0.0,A,1617,1196
10,367689990,2021-06-05 01:49:57.500,33.735108181818184,-118.27703818181818,2.7,216.6,511.0,HARBOR KING,,WDI3598,60.0,0.0,18.0,7.0,,60.0,A,1528,1097
11,367616390,2021-06-05 01:49:57.500,33.7176,-118.27901183333331,0.0,274.3,511.0,DOOR PRIZE,,WDH4311,37.0,,18.0,,,,B,1506,1292
12,338218665,2021-06-05 01:49:57.500,33.75336911519199,-118.111820884808,0.0,335.0,511.0,CHIEF,IMO0000000,,37.0,,0.0,0.0,,,B,3367,894
13,367044560,2021-06-05 01:49:57.500,33.72163596330275,-118.2713,0.1,4.0,511.0,PHINEAS BANNING,,WCT8646,,15.0,15.0,4.0,,50.0,A,1592,1247
14,341774000,2021-06-05 01:49:57.500,33.61477,-117.91440128712873,0.0,203.1,511.0,MING,,V4MY3,90.0,0.0,,,,90.0,A,5565,2437
15,368011010,2021-06-05 01:49:57.500,33.7191,-118.27957,0.0,341.6,511.0,HATTENUFF,IMO0000000,WDJ7882,37.0,,15.0,5.0,,,B,1500,1275
16,369725000,2021-06-05 01:49:57.500,33.733191125,-118.27637,0.0,360.0,511.0,IRVING JOHNSON,,WDB3153,90.0,5.0,22.0,6.0,,36.0,A,1536,1119
17,338321972,2021-06-05 01:49:57.500,33.61178816666667,-117.92817727777778,0.0,177.7,511.0,PALLADIO,IMO0000000,,37.0,,11.0,4.0,,,B,5412,2470
18,367014480,2021-06-05 01:49:57.500,33.76722,-118.22043,0.1,197.1,511.0,DURANGO,,WDC3807,31.0,0.0,18.0,7.0,,52.0,A,2158,740
19,367404740,2021-06-05 01:49:57.500,33.77252,-118.20871,0.0,360.0,511.0,ELDORADO,,WDE8374,60.0,0.0,24.0,6.0,,60.0,A,2289,681
20,215181000,2021-06-05 01:49:57.500,33.68628179401993,-118.20371358803988,0.1,267.3,184.0,CMA CGM J. ADAMS,IMO9780885,9HA4999,71.0,1.0,366.0,48.0,14.7,71.0,A,2344,1641
21,636019075,2021-06-05 01:49:57.500,33.70679653333334,-118.14350346666669,0.2,206.2,209.0,NORDIC BERN,IMO9407287,D5SU9,80.0,1.0,228.0,32.0,13.9,80.0,A,3015,1412
22,636013897,2021-06-05 01:49:57.500,33.7269825,-118.21114583333332,0.1,187.4,162.0,KOUROS,IMO9374507,A8QD7,80.0,1.0,183.0,32.0,13.2,80.0,A,2262,1188
23,338354382,2021-06-05 01:49:57.500,33.610295564516136,-117.92540221774192,0.0,360.0,511.0,SEACLUSION,IMO0000000,,37.0,,14.0,5.0,,,B,5442,2487
24,366755020,2021-06-05 01:49:57.500,33.74025818181818,-118.27814,0.0,217.9,7.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A,1516,1040
25,367471080,2021-06-05 01:49:57.500,33.719622678571426,-118.11104732142856,0.4,131.8,511.0,ISABEL L,,WDF6141,60.0,0.0,27.0,5.0,,42.0,A,3376,1270
26,366760650,2021-06-05 01:49:57.500,33.72289752293578,-118.23025220183486,8.7,208.2,207.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A,2049,1233
27,368164530,2021-06-05 01:49:57.500,33.722105294117654,-118.27224941176468,0.2,35.6,164.0,ANGELS PILOT,,WDL7900,50.0,0.0,17.0,5.0,2.0,50.0,A,1581,1242
28,338067332,2021-06-05 01:49:57.500,33.75151,-118.11204166112957,0.0,360.0,511.0,SUMMER SOLSTICE,IMO0000000,,36.0,,13.0,6.0,,,B,3365,915
29,338339611,2021-06-05 01:49:57.500,33.60195459549625,-117.89745,0.0,360.0,31.0,VAL AIR,IMO0000000,,37.0,,11.0,4.0,,,B,5754,2580
30,368159190,2021-06-05 01:49:57.500,33.74724,-118.21566,0.1,55.7,96.0,PILOT BOAT POLARIS 3,,WDL7326,50.0,15.0,21.0,6.0,0.0,50.0,A,2211,962
31,338339764,2021-06-05 01:49:57.500,33.72245166666667,-118.27903,0.0,309.0,511.0,MILLER TIME,IMO0000000,,37.0,,15.0,4.0,,,B,1506,1238
32,338325402,2021-06-05 01:49:57.500,33.7259234375,-118.13869734375,0.3,360.0,511.0,HALL PASS,IMO0000000,,37.0,,12.0,4.0,,,B,3068,1199
33,367709320,2021-06-05 01:49:57.500,33.72141152317881,-118.28041,0.0,291.6,511.0,QIQI,,WDI5509,37.0,,15.0,,,,B,1491,1250
34,563025600,2021-06-05 01:49:57.500,33.75741718181818,-118.26009545454544,0.1,321.6,38.0,NYK VIRGO,IMO9312810,9V5456,71.0,0.0,338.0,46.0,13.5,71.0,A,1717,849
35,367507960,2021-06-05 01:49:57.500,33.77190705882353,-118.21162705882354,0.0,241.7,511.0,185 3,,WDF9705,90.0,3.0,54.0,,,90.0,A,2256,688
36,636018364,2021-06-05 01:49:57.500,33.760009600000004,-118.2760396,0.0,342.7,217.0,NAVIOS CHRYSALIS,IMO9345960,D5PJ5,79.0,0.0,267.0,32.0,11.3,79.0,A,1539,820
37,368146890,2021-06-05 01:49:57.500,33.77471702970297,-118.2121414851485,0.0,45.4,511.0,BIG DIPPER,IMO0000000,WDL6049,57.0,,0.0,0.0,,,B,2251,656
38,367399740,2021-06-05 01:49:57.500,33.53309205882353,-117.99878405882352,19.6,240.9,511.0,TRANQUILO,,WCZ3100,37.0,,16.0,5.0,,,B,4626,3346
39,366799000,2021-06-05 01:49:57.500,33.76843,-118.23338,0.0,83.8,75.0,HORIZON PACIFIC,IMO7617890,WSRL,70.0,5.0,247.0,27.0,10.1,70.0,A,2014,726
40,367153070,2021-06-05 01:49:57.500,33.71347108108108,-118.24622270270272,5.5,259.9,265.0,MIKIONA,IMO9415583,WDD5057,31.0,0.0,39.0,10.0,4.9,31.0,A,1871,1338
41,367691660,2021-06-05 01:49:57.500,33.748844019607844,-118.11405598039217,0.0,240.6,511.0,BIBI,,WDI3764,37.0,7.0,19.0,5.0,,30.0,A,3342,944
