,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,220603000,2021-07-16 01:57:55.500,33.68810513513514,-118.17915648648648,7.2,358.8,353.0,TORM LAURA,IMO9375616,OULU2,80.0,0.0,183.0,32.0,13.5,89.0,A,2631,1458
1,368057790,2021-07-16 01:57:55.500,33.7284786407767,-118.0809382524272,5.0,130.2,511.0,LA MLETC BOAT 7,IMO0000000,WDK4693,55.0,,9.0,3.0,,,B,3724,1008
2,338310786,2021-07-16 01:57:55.500,33.74692818132068,-118.11697,0.0,38.2,511.0,OLA KAI,IMO0000000,,37.0,,13.0,10.0,,,B,3323,803
3,353428000,2021-07-16 01:57:55.500,33.7518365116279,-118.24104325581396,0.0,358.8,250.0,MSC LAUREN,IMO9467407,3FZR5,70.0,5.0,365.0,48.0,15.5,73.0,A,1942,748
4,368171390,2021-07-16 01:57:55.500,33.73123,-118.26087793388427,0.0,169.6,335.0,BROOKS M HAMILTON,,WDL8631,52.0,5.0,26.0,10.0,2.6,52.0,A,1721,977
5,367309720,2021-07-16 01:57:55.500,33.77159,-118.21208846086957,0.0,302.7,511.0,NOHEA,IMO8206882,WDD9311,31.0,5.0,28.0,9.0,3.8,99.0,A,2264,528
6,366760650,2021-07-16 01:57:55.500,33.7465725,-118.21658027777777,5.0,357.8,166.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A,2214,807
7,368160510,2021-07-16 01:57:55.500,33.71801036976744,-118.2781,0.0,133.6,511.0,COMPADRES,IMO0000000,,36.0,,23.0,4.0,,,B,1530,1125
8,338388235,2021-07-16 01:57:55.500,33.75014,-118.1219,0.0,360.0,511.0,MOMENTUM,IMO0000000,WAB3267,36.0,,11.0,3.0,,,B,3268,767
9,215192000,2021-07-16 01:57:55.500,33.73192,-118.25697,0.0,250.9,251.0,CMA  CGM  CALLISTO,IMO9410753,9HA5006,79.0,5.0,363.0,46.0,13.8,79.0,A,1765,970
10,220499000,2021-07-16 01:57:55.500,33.73251,-118.24688,0.0,253.7,71.0,ELLY MAERSK,IMO9321536,OXHY2,70.0,5.0,397.0,56.0,16.0,71.0,A,1877,963
11,566735000,2021-07-16 01:57:55.500,33.73805012093023,-118.21560060465116,0.1,207.7,256.0,ATLANTIC MANZANILLO,IMO9767558,9V2170,70.0,1.0,199.0,,,70.0,A,2225,902
12,245304000,2021-07-16 01:57:55.500,33.73408686888454,-118.15271694716245,0.0,347.0,257.0,ZUIDERDAM,IMO9221279,PBIG,60.0,1.0,285.0,32.0,8.0,60.0,A,2925,946
13,244830547,2021-07-16 01:57:55.500,33.73514976279069,-118.14392988139534,0.1,207.8,261.0,KONINGSDAM,IMO9692557,PBGJ,60.0,1.0,297.0,,,60.0,A,3023,934
14,368084540,2021-07-16 01:57:55.500,33.77078836363636,-118.20952836363637,0.0,76.4,290.0,DELTA TERESA,,WDK7444,52.0,0.0,28.0,10.0,5.5,52.0,A,2293,537
15,367647270,2021-07-16 01:57:55.500,33.73548524752476,-118.27116,0.1,317.1,511.0,JOHN HENRY,IMO8978174,WDH7347,60.0,0.0,29.0,7.0,,39.0,A,1607,930
16,367693690,2021-07-16 01:57:55.500,33.77164987912599,-118.211990120874,0.0,249.2,156.0,KELLY C,IMO7035327,WDI3956,31.0,5.0,26.0,8.0,3.6,31.0,A,2265,528
17,367599960,2021-07-16 01:57:55.500,33.720669244135536,-118.27816848827106,0.0,352.3,511.0,THE REAGAN YEARS,,WDH2666,37.0,,14.0,4.0,,,B,1529,1095
18,368400000,2021-07-16 01:57:55.500,33.74673,-118.2127,0.0,205.0,307.0,DINO CHOUEST,IMO9382853,WHAE,90.0,5.0,106.0,21.0,8.5,79.0,A,2258,805
19,338122738,2021-07-16 01:57:55.500,33.72397,-118.28373,0.1,87.8,511.0,FREE SPIRIT,,,37.0,,12.0,,,,B,1467,1058
20,477010300,2021-07-16 01:57:55.500,33.740699658139526,-118.19708170930232,0.0,310.8,270.0,KOTA LIHAT,IMO9628324,VRQR4,79.0,5.0,266.0,32.0,11.4,79.0,A,2431,872
21,338127501,2021-07-16 01:57:55.500,33.75184978624535,-118.11153021375463,0.0,20.5,511.0,SERENITY,,,37.0,,11.0,,,,B,3384,748
22,378113463,2021-07-16 01:57:55.500,33.751100100046536,-118.12149989995346,0.0,360.0,511.0,BOZ CAT,IMO0000000,ZJL2540,37.0,,15.0,7.0,,,B,3273,756
23,368090380,2021-07-16 01:57:55.500,33.75174,-118.10938925619836,0.0,313.2,511.0,MARLIN MAGIC,IMO0000000,WDK8051,37.0,,0.0,0.0,,,B,3408,749
24,477441800,2021-07-16 01:57:55.500,33.7544211,-118.2756394,0.0,195.8,331.0,CSCL BOHAI SEA,IMO9645889,VRNG8,70.0,5.0,335.0,48.0,15.0,70.0,A,1557,719
25,356958000,2021-07-16 01:57:55.500,33.76555,-118.26005,0.0,113.0,175.0,BOW KISO,IMO9379894,3EPY3,80.0,5.0,169.0,26.0,11.3,80.0,A,1730,595
26,338227000,2021-07-16 01:57:55.500,33.77545,-118.2134999001857,0.0,44.7,64.0,OHIO,IMO9704776,WOHN,80.0,5.0,183.0,32.0,13.0,80.0,A,2249,485
27,367309330,2021-07-16 01:57:55.500,33.77165,-118.21180009302326,0.1,333.2,138.0,PACIFIC RAVEN,IMO7114288,WDD9278,31.0,5.0,36.0,9.0,3.9,52.0,A,2268,528
28,367486370,2021-07-16 01:57:55.500,33.74593,-118.22476,0.0,325.1,511.0,NRC QUEST,IMO9271195,WDF7619,90.0,5.0,48.0,10.0,3.0,70.0,A,2123,814
29,369567000,2021-07-16 01:57:55.500,33.63940030020945,-118.12472979986036,0.3,61.4,290.0,SEA RELIANCE,IMO9275878,WEOB,31.0,1.0,40.0,12.0,5.9,31.0,A,3237,2000
30,338322293,2021-07-16 01:57:55.500,33.727139919547724,-118.07530016090456,0.0,360.0,511.0,SEAS THE DAY,IMO0000000,,37.0,,12.0,4.0,,,B,3787,1023
31,367049470,2021-07-16 01:57:55.500,33.76258672727273,-118.26577672727274,0.1,296.7,511.0,STEPHEN M WHITE,,WCU6542,90.0,15.0,15.0,4.0,,50.0,A,1667,628
32,477257100,2021-07-16 01:57:55.500,33.73667180697674,-118.19290586976744,0.0,260.5,90.0,CSCL SPRING,IMO9645853,VRMT6,70.0,5.0,335.0,48.0,15.0,71.0,A,2478,917
33,338229302,2021-07-16 01:57:55.500,33.75329983717144,-118.11114983717142,0.0,328.6,511.0,NAUTICAL SMILE,,,37.0,,,,,,B,3388,732
34,367308610,2021-07-16 01:57:55.500,33.7717099255814,-118.21174,0.0,221.8,137.0,SARAH C,,WDD9226,31.0,5.0,19.0,6.0,,31.0,A,2268,527
35,366799000,2021-07-16 01:57:55.500,33.76841,-118.23341,0.0,335.2,74.0,HORIZON PACIFIC,IMO7617890,WSRL,70.0,5.0,247.0,27.0,10.1,70.0,A,2027,564
