,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338362994,2021-07-28 01:57:56.500,33.72672368770765,-118.0617868438538,0.0,360.0,511.0,OFF SEASON,IMO0000000,,37.0,,17.0,5.0,,,B,3939,1047
1,338217105,2021-07-28 01:57:56.500,33.726399360869564,-118.06003042608695,0.0,360.0,511.0,BATEAU L'HEUREUX,,,37.0,,,,,,B,3958,1050
2,367486370,2021-07-28 01:57:56.500,33.745927829457365,-118.22476782945736,0.1,188.2,511.0,NRC QUEST,IMO9271195,WDF7619,90.0,5.0,48.0,10.0,3.0,70.0,A,2124,833
3,338390977,2021-07-28 01:57:56.500,33.75308064565217,-118.11348956956522,0.0,262.9,511.0,LOLA,IMO0000000,,37.0,,9.0,4.0,,,B,3363,753
4,338324182,2021-07-28 01:57:56.500,33.76689653333333,-118.25141,0.0,360.0,511.0,PURITAN,IMO0000000,WDL8229,37.0,,18.0,6.0,,,B,1828,600
5,366943960,2021-07-28 01:57:56.500,33.7625,-118.199,0.0,317.3,511.0,CATALINA EXPRESS,IMO8967888,WCJ6210,60.0,0.0,30.0,6.0,,40.0,A,2411,649
6,538005144,2021-07-28 01:57:56.500,33.610800879069764,-118.0542697488372,0.2,306.0,303.0,GLORYCROWN,IMO9408190,V7BH8,80.0,1.0,274.0,48.0,17.0,80.0,A,4022,2337
7,563450000,2021-07-28 01:57:56.500,33.72981936061381,-118.2265006393862,0.2,209.9,237.0,TORM ALMENA,IMO9465980,9V8551,80.0,1.0,183.0,32.0,13.5,89.0,A,2105,1012
8,357104000,2021-07-28 01:57:56.500,33.61306978594695,-118.03424021405304,0.0,337.2,289.0,MAERSK ESMERALDAS,IMO9502972,HPDM,70.0,1.0,366.0,48.0,15.5,71.0,A,4245,2312
9,636014059,2021-07-28 01:57:56.500,33.767569274418605,-118.23682818604652,0.1,207.7,74.0,CMA CGM TURQUOISE,IMO9386471,A8RB5,70.0,5.0,259.0,32.0,12.6,71.0,A,1990,592
10,477067800,2021-07-28 01:57:56.500,33.75696755813954,-118.21364313953488,0.0,199.1,0.0,OOCL TAIPEI,IMO9477907,VRNR6,70.0,5.0,334.0,42.0,14.7,70.0,A,2248,710
11,303352000,2021-07-28 01:57:56.500,33.76628,-118.27848011149824,0.0,155.0,155.0,PRESIDENT EISENHOWER,IMO9295220,KPES,79.0,5.0,299.0,42.0,6.9,79.0,A,1526,606
12,477136800,2021-07-28 01:57:56.500,33.74083954376164,-118.1974302281192,0.0,196.4,269.0,COSCO KAOHSIUNG,IMO9355563,VREM3,70.0,5.0,348.0,45.0,14.5,71.0,A,2429,890
13,371274000,2021-07-28 01:57:56.500,33.731379890646814,-118.25064978129362,0.0,300.7,69.0,MAERSK ENSENADA,IMO9502958,H9UW,74.0,5.0,366.0,48.0,15.1,74.0,A,1836,995
14,338408513,2021-07-28 01:57:56.500,33.76253988602001,-118.18313,0.0,360.0,511.0,LADY G,IMO0000000,,37.0,,15.0,5.0,,,B,2588,648
15,338333431,2021-07-28 01:57:56.500,33.77263123478261,-118.2482687652174,0.7,299.1,511.0,AVENTURA,IMO0000000,AVENTUR,37.0,,0.0,0.0,,,B,1863,536
16,367599960,2021-07-28 01:57:56.500,33.720669886152415,-118.27816,0.0,352.3,511.0,THE REAGAN YEARS,,WDH2666,37.0,,14.0,4.0,,,B,1530,1114
17,538007481,2021-07-28 01:57:56.500,33.738185,-118.276595,4.6,175.0,165.0,HYUNDAI FORCE,IMO9347566,V7PT8,70.0,8.0,340.0,46.0,11.2,70.0,A,1547,919
18,367570320,2021-07-28 01:57:56.500,33.72414700869565,-118.28154299130436,0.0,256.8,511.0,TRINITY ROSE,,WDG7736,37.0,,14.0,,,,B,1492,1075
19,368090380,2021-07-28 01:57:56.500,33.7517605737883,-118.10937028689416,0.0,308.0,511.0,MARLIN MAGIC,IMO0000000,WDK8051,37.0,,0.0,0.0,,,B,3409,768
