,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,338217105,2021-08-09 01:57:57.500,33.72639,-118.06001,0.0,229.0,511.0,BATEAU L'HEUREUX,,,37.0,,,,,,B,3958,1052
1,636015506,2021-08-09 01:57:57.500,33.62496209302326,-118.04859604651162,0.1,156.7,232.0,MSC VEGA,IMO9465265,D5BE4,70.0,1.0,366.0,48.0,16.5,71.0,A,4085,2181
2,366823250,2021-08-09 01:57:57.500,33.72158,-118.28105,0.0,256.8,511.0,HOOKER,IMO0000000,WDA5733,37.0,,14.0,4.0,,,B,1498,1105
3,566828000,2021-08-09 01:57:57.500,33.754845658914725,-118.27595,0.0,173.0,330.0,WAN HAI 515,IMO9457646,9V7851,70.0,5.0,258.0,37.0,12.8,70.0,A,1554,735
4,367606290,2021-08-09 01:57:57.500,33.77398857358491,-118.2463,0.1,360.0,511.0,SWEET DREAMS,IMO0000000,WDH3297,36.0,,13.0,4.0,,,B,1884,522
5,369725000,2021-08-09 01:57:57.500,33.61231,-118.25470412844037,3.5,8.2,511.0,IRVING JOHNSON,,WDB3153,90.0,8.0,22.0,6.0,,36.0,A,1791,2321
6,338226227,2021-08-09 01:57:57.500,33.7266,-118.07448012793672,0.0,54.5,511.0,FIGHTING IRISH,,,37.0,,,,,,B,3797,1049
7,367689990,2021-08-09 01:57:57.500,33.74156603603604,-118.2751473873874,7.6,19.9,511.0,HARBOR KING,,WDI3598,60.0,0.0,18.0,7.0,,60.0,A,1563,883
8,366926740,2021-08-09 01:57:57.500,33.76123444444445,-118.2550737037037,6.2,64.4,60.0,TIM QUIGG,IMO8987917,WDB6570,31.0,0.0,24.0,9.0,4.0,52.0,A,1787,664
9,338128375,2021-08-09 01:57:57.500,33.72236,-118.28099,0.0,240.0,511.0,MISS SEPTEMBER,,,37.0,,12.0,,,,B,1498,1096
10,338186088,2021-08-09 01:57:57.500,33.71969,-118.27978987209303,0.1,95.4,511.0,CLOUDBURST,,,37.0,,14.0,,,,B,1512,1126
11,431027000,2021-08-09 01:57:57.500,33.753879754278195,-118.2638601228609,0.1,293.4,43.0,ONE THESEUS,IMO9356701,7KIL,79.0,5.0,304.0,40.0,12.2,79.0,A,1689,746
12,338177481,2021-08-09 01:57:57.500,33.76684932830189,-118.12264134339624,0.0,360.0,511.0,CINDERELLA,,,37.0,,11.0,,,,B,3261,601
13,310764000,2021-08-09 01:57:57.500,33.60022987912599,-118.05166987912598,0.0,256.0,256.0,KOBE EXPRESS,IMO9143544,ZCEV2,70.0,1.0,293.0,32.0,13.6,79.0,A,4051,2456
14,366760650,2021-08-09 01:57:57.500,33.739886930693075,-118.27805346534652,0.0,250.9,190.0,LEADER,IMO9188568,WCY8495,31.0,0.0,31.0,10.0,4.3,52.0,A,1531,901
15,366886630,2021-08-09 01:57:57.500,33.73317,-118.27636837209302,0.0,360.0,511.0,EXY JOHNSON,,WDB3395,90.0,5.0,22.0,6.0,,72.0,A,1550,976
16,367642530,2021-08-09 01:57:57.500,33.76138445454546,-118.21858,0.0,242.1,73.0,BO BRUSCO,IMO9772917,WDH6880,31.0,0.0,23.0,8.0,,31.0,A,2193,662
17,235102679,2021-08-09 01:57:57.500,33.68885949767442,-118.2135398744186,1.1,312.6,266.0,EVER LISSOME,IMO9629079,2HDG3,70.0,1.0,334.0,45.0,14.2,74.0,A,2249,1469
18,636013693,2021-08-09 01:57:57.500,33.70127963031853,-118.21324,0.0,118.2,257.0,YM UNIFORM,IMO9337482,A8OR8,70.0,1.0,333.0,42.0,14.5,70.0,A,2252,1331
