,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367676990,2021-10-27 13:52:10.500,33.61692979791795,-117.92674939375382,0.0,0.0,511.0,NEVER SAY NEVER,,WDI2323,37.0,,20.0,5.0,,,B,6011,3117
1,366892000,2021-10-27 13:52:10.500,33.72957551401869,-118.1892989719626,9.7,262.0,267.0,JAMIE ANN,,WDL5109,52.0,0.0,31.0,12.0,5.7,52.0,A,3088,1863
2,367199310,2021-10-27 13:52:10.500,33.44397607843137,-118.27751137254904,28.1,204.5,511.0,CATALINA JET,IMO8994142,WDD8449,60.0,15.0,43.0,11.0,1.6,40.0,A,2106,5043
3,477257100,2021-10-27 13:52:10.500,33.50363798165137,-118.41885834862386,0.4,92.5,167.0,CSCL SPRING,IMO9645853,VRMT6,70.0,0.0,335.0,48.0,15.0,71.0,A,533,4379
4,367625810,2021-10-27 13:52:10.500,33.75099872727272,-118.24180636363636,0.1,356.7,340.0,VETERAN,IMO9765720,WDH5227,31.0,0.0,31.0,12.0,,52.0,A,2504,1625
5,367016050,2021-10-27 13:52:10.500,33.88656742574258,-118.46413702970295,15.4,313.9,511.0,MAKO,,WDC3906,95.0,0.0,14.0,5.0,0.0,95.0,A,29,116
6,368084540,2021-10-27 13:52:10.500,33.75192,-118.23922,0.1,257.8,335.0,DELTA TERESA,,WDK7444,52.0,0.0,28.0,10.0,5.5,52.0,A,2533,1615
7,368104220,2021-10-27 13:52:10.500,33.72104,-118.27816,0.1,360.0,511.0,SECOND VERSE,IMO0000000,WDK9494,36.0,,16.0,5.0,,,B,2099,1958
8,538001664,2021-10-27 13:52:10.500,33.74928806988353,-118.17204515806988,0.0,72.0,343.0,REGATTA,IMO9156474,V7DM3,60.0,1.0,180.0,25.0,5.8,60.0,A,3280,1644
9,338120738,2021-10-27 13:52:10.500,33.61359,-117.9246656013363,0.0,360.0,511.0,PER AMORE,IMO0000000,,37.0,,26.0,7.0,,,B,6034,3155
10,368171390,2021-10-27 13:52:10.500,33.7312654954955,-118.2607354954955,0.1,32.4,337.0,BROOKS M HAMILTON,,WDL8631,52.0,12.0,26.0,10.0,2.6,52.0,A,2293,1845
11,366979370,2021-10-27 13:52:10.500,33.77094603603604,-118.21131,0.0,324.6,121.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,0.0,23.0,8.0,,52.0,A,2843,1403
12,368221650,2021-10-27 13:52:10.500,33.60636,-117.90324,0.0,204.4,511.0,MAHAL,IMO0000000,WDM6041,37.0,,13.0,4.0,,,B,6273,3235
13,338324182,2021-10-27 13:52:10.500,33.76692646666667,-118.25141646666668,0.0,360.0,511.0,PURITAN,IMO0000000,WDL8229,37.0,,18.0,6.0,,,B,2397,1448
14,477620700,2021-10-27 13:52:10.500,33.7326368,-118.1417476,0.1,216.6,329.0,OCEAN ANG,IMO9740081,VRPV7,70.0,1.0,,,,70.0,A,3618,1829
15,338369616,2021-10-27 13:52:10.500,33.75257322259136,-118.10965322259136,0.0,29.7,511.0,SEASCAPE,IMO0000000,,37.0,,0.0,0.0,,,B,3975,1607
16,338326628,2021-10-27 13:52:10.500,33.74952322259136,-118.11377,0.0,305.5,511.0,SUSIE Q,IMO0000000,,37.0,,19.0,5.0,,,B,3929,1641
17,338142675,2021-10-27 13:52:10.500,33.61044,-117.89452,0.0,49.1,511.0,NUEVO,,,37.0,,18.0,,,,B,6370,3190
18,338239389,2021-10-27 13:52:10.500,33.61691674457429,-117.92465662771286,0.0,360.0,511.0,BACKLASH,IMO0000000,,37.0,,11.0,4.0,,,B,6034,3118
19,371384000,2021-10-27 13:52:10.500,33.7458,-118.21127313333332,0.0,185.0,130.0,GRAND DUKE,IMO9303170,3ECP7,70.0,5.0,199.0,32.0,9.6,70.0,A,2844,1683
