,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,367678390,2021-11-08 13:52:10.500,33.613646,-117.92474,0.0,287.9,511.0,EL TIGRE,,WDI2461,37.0,0.0,19.0,6.0,,0.0,A,6033,3154
1,367004260,2021-11-08 13:52:10.500,33.744033745377706,-118.20453469096672,0.0,232.2,511.0,CABRILLO,,WBU7354,60.0,0.0,18.0,7.0,,52.0,A,2918,1702
2,372955000,2021-11-08 13:52:10.500,33.60659642384106,-118.04918321192054,0.0,198.4,175.0,MOL EXPERIENCE,IMO9333838,3ELI7,70.0,1.0,294.0,32.0,13.5,71.0,A,4648,3232
3,368089050,2021-11-08 13:52:10.500,33.609716589018305,-117.89658,0.0,360.0,511.0,STANLEY'S CUP,IMO0000000,WDK7912,36.0,,10.0,3.0,,,B,6346,3197
4,338131199,2021-11-08 13:52:10.500,33.762144197530866,-118.19434580246914,0.0,144.5,511.0,R/V CHALLENGER,,WDE7334,90.0,15.0,33.0,4.0,0.0,90.0,A,3032,1501
5,366806940,2021-11-08 13:52:10.500,33.73355126126126,-118.08941495495496,0.0,305.8,511.0,VALHALLA,,WDA4208,90.0,3.0,77.0,23.0,,0.0,A,4200,1819
6,338223365,2021-11-08 13:52:10.500,33.614453013245026,-117.91366301324504,0.0,22.3,511.0,REFLECTIONS,,,37.0,,25.0,6.0,,,B,6156,3145
7,367422010,2021-11-08 13:52:10.500,33.775978625,-118.2443043125,0.0,360.0,511.0,VALKYRIE,,WCZ5436,33.0,3.0,62.0,22.0,0.0,33.0,A,2476,1346
8,367506190,2021-11-08 13:52:10.500,33.718776589018304,-118.27679,0.0,10.1,511.0,THALASSA,,WDF9539,37.0,,15.0,,,,B,2114,1983
9,338120738,2021-11-08 13:52:10.500,33.61358317725753,-117.92462317725752,0.0,360.0,511.0,PER AMORE,IMO0000000,,37.0,,26.0,7.0,,,B,6034,3154
10,338326628,2021-11-08 13:52:10.500,33.74954,-118.11377,0.0,61.2,511.0,SUSIE Q,IMO0000000,,37.0,,19.0,5.0,,,B,3929,1641
11,367661930,2021-11-08 13:52:10.500,33.727493181818176,-118.27123590909092,8.3,158.9,160.0,MICHELLE SLOAN,IMO9747819,WDH8832,31.0,0.0,24.0,,,52.0,A,2176,1886
12,311478000,2021-11-08 13:52:10.500,33.62191863636364,-118.19065636363636,7.7,321.2,325.0,NAVIGATOR OFTHE SEAS,IMO9227508,C6FU4,60.0,0.0,311.0,39.0,8.6,60.0,A,3073,3061
13,338324023,2021-11-08 13:52:10.500,33.61516841137124,-117.90242,0.0,360.0,511.0,10 BY 10,IMO0000000,,37.0,,0.0,0.0,,,B,6281,3137
14,311000436,2021-11-08 13:52:10.500,33.60875,-118.3600998019802,6.5,124.0,119.0,LOS ANGELES SPIRIT,IMO9318072,C6CC8,80.0,0.0,274.0,48.0,17.1,80.0,A,1187,3208
15,338322535,2021-11-08 13:52:10.500,33.7283838230384,-118.05984,0.0,360.0,511.0,EAGLES WING,IMO0000000,,37.0,,12.0,0.0,,,B,4529,1876
16,367760290,2021-11-08 13:52:10.500,33.74759,-118.21567,0.1,282.0,283.0,FIREBOAT 15,,WDJ2641,90.0,0.0,,,,90.0,A,2794,1663
17,367189840,2021-11-08 13:52:10.500,33.61150836363637,-117.90107163636364,0.0,295.6,511.0,ESOTERIC,,WDD7687,37.0,0.0,23.0,6.0,,37.0,A,6296,3177
18,367492920,2021-11-08 13:52:10.500,33.72801018181818,-118.27401009090909,0.0,179.9,511.0,KENNETH CARL,IMO8978710,WDF8246,90.0,0.0,33.0,7.0,2.7,79.0,A,2145,1880
19,367751940,2021-11-08 13:52:10.500,33.61581351575456,-117.90613,0.0,360.0,511.0,JAMMIN',IMO0000000,WDI9765,37.0,,13.0,7.0,,,B,6240,3129
20,368136950,2021-11-08 13:52:10.500,33.73988727272727,-118.27820727272729,0.0,277.8,188.0,HERCULES,,WDE8347,52.0,0.0,26.0,11.0,5.1,52.0,A,2098,1748
21,338393998,2021-11-08 13:52:10.500,33.61019914572864,-117.89593,0.0,360.0,511.0,HUNTRESS,IMO0000000,,37.0,,10.0,4.0,,,B,6354,3192
22,338380055,2021-11-08 13:52:10.500,33.71838,-118.27803297658863,0.0,254.0,511.0,THE REAGAN YEARS,IMO0000000,,37.0,,22.0,6.0,,,B,2100,1988
23,368024740,2021-11-08 13:52:10.500,33.74722,-118.21564395973154,0.0,332.8,511.0,PILOT BOAT ORION,,WDJ9306,50.0,15.0,19.0,6.0,0.0,50.0,A,2795,1667
24,538001664,2021-11-08 13:52:10.500,33.743798,-118.176655,0.0,83.3,120.0,REGATTA,IMO9156474,V7DM3,60.0,1.0,180.0,25.0,5.8,60.0,A,3229,1705
