,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,LONpx_X2,LATpx_Y2
0,366745470,2021-11-25 01:57:58.500,33.75839,-118.18389747595228,0.0,360.0,511.0,RESCUE BOAT 128,IMO0000000,,37.0,,8.0,4.0,,,B,2579,674
1,367133910,2021-11-25 01:57:58.500,33.76547390909091,-118.25556072727274,0.0,219.4,511.0,BETHEL F GIFFORD,,WS9087,90.0,0.0,22.0,7.0,,51.0,A,1781,595
2,366983530,2021-11-25 01:57:58.500,33.75695442307692,-118.26204634615384,4.6,225.5,46.0,JOHN QUIGG,IMO8987929,WDB9828,31.0,0.0,24.0,9.0,4.0,52.0,A,1709,690
3,367709320,2021-11-25 01:57:58.500,33.72141076973255,-118.28043,0.1,280.4,511.0,QIQI,,WDI5509,37.0,,15.0,,,,B,1504,1085
4,235102679,2021-11-25 01:57:58.500,33.74329790465116,-118.2734727116279,0.0,27.3,207.0,EVER LISSOME,IMO9629079,2HDG3,70.0,5.0,334.0,45.0,14.2,74.0,A,1582,842
5,367625810,2021-11-25 01:57:58.500,33.77313,-118.21734,0.0,204.9,245.0,VETERAN,IMO9765720,WDH5227,31.0,0.0,31.0,12.0,,52.0,A,2207,510
6,366979370,2021-11-25 01:57:58.500,33.77094049689442,-118.2113598757764,0.0,186.7,123.0,EDITH FOSS,IMO7932355,WYQ8798,31.0,0.0,23.0,8.0,,52.0,A,2273,534
7,368000890,2021-11-25 01:57:58.500,33.7716605538662,-118.21177011077324,0.0,121.5,146.0,BETTY R GAMBARELLA,IMO7517478,WDJ6855,31.0,5.0,27.0,8.0,3.3,32.0,A,2269,526
8,338419418,2021-11-25 01:57:58.500,33.72201,-118.28126010692702,0.1,252.6,53.0,MANA-KAI,IMO0000000,,37.0,,12.0,5.0,,,B,1495,1079
9,338602000,2021-11-25 01:57:58.500,33.77636,-118.21083711711712,0.0,37.0,62.0,BALTIMORE,IMO9804784,WDI9338,31.0,0.0,30.0,,,52.0,A,2279,474
10,367698890,2021-11-25 01:57:58.500,33.76098011863225,-118.21835,0.0,173.9,511.0,FIREBOAT 20,,WDI4461,90.0,5.0,32.0,,,90.0,A,2195,645
11,636092268,2021-11-25 01:57:58.500,33.63482988617886,-118.1416803414634,0.0,102.7,278.0,MSC RAVENNA,IMO9484431,A8ZU8,70.0,1.0,365.0,51.0,16.0,74.0,A,3049,2049
12,538007905,2021-11-25 01:57:58.500,33.6963697767961,-118.13791,0.0,330.4,279.0,HMM PROMISE,IMO9742168,V7VY7,70.0,1.0,330.0,48.0,13.1,70.0,A,3091,1364
13,338366226,2021-11-25 01:57:58.500,33.72339,-118.28064243386244,0.0,237.1,223.0,V.A.POINT VICENTE,,,31.0,0.0,23.0,6.0,2.0,31.0,A,1502,1063
14,351361000,2021-11-25 01:57:58.500,33.687689786096264,-118.21541,0.1,89.9,293.0,MSC KALINA,IMO9399026,3ETW2,70.0,1.0,366.0,51.0,15.6,71.0,A,2228,1461
15,338225409,2021-11-25 01:57:58.500,33.75734850032602,-118.18728925016302,0.0,106.0,511.0,SWEET FREEDOM,,,37.0,,,,,,B,2541,685
16,338326628,2021-11-25 01:57:58.500,33.74952010465116,-118.11376031395348,0.0,315.0,511.0,SUSIE Q,IMO0000000,,37.0,,19.0,5.0,,,B,3360,773
17,367697580,2021-11-25 01:57:58.500,33.72259,-118.07003,0.0,89.1,511.0,GEORGIA,,WDI4332,37.0,,27.0,,,,B,3846,1072
18,366755020,2021-11-25 01:57:58.500,33.76698281818182,-118.23727145454544,0.5,148.6,511.0,ADMIRAL,IMO9188544,WCY6529,31.0,0.0,31.0,10.0,3.4,52.0,A,1985,578
19,367034960,2021-11-25 01:57:58.500,33.7676,-118.21697792792791,0.0,185.1,31.0,PONO,,WCB4095,31.0,0.0,22.0,8.0,,52.0,A,2211,571
20,636016003,2021-11-25 01:57:58.500,33.72771074114323,-118.20308148228646,0.0,317.3,323.0,HYUNDAI PRIVILEGE,IMO9625554,D5DY5,70.0,1.0,255.0,37.0,13.5,73.0,A,2365,1015
21,538007668,2021-11-25 01:57:58.500,33.71377954651163,-118.15479154186048,0.2,228.4,312.0,NOMADIC MILDE,IMO9463554,V7ZW7,70.0,1.0,138.0,21.0,8.1,79.0,A,2903,1170
22,369567000,2021-11-25 01:57:58.500,33.76027541284404,-118.26769,0.0,134.4,196.0,SEA RELIANCE,IMO9275878,WEOB,31.0,0.0,40.0,12.0,5.9,99.0,A,1646,653
23,477770700,2021-11-25 01:57:58.500,33.64637,-118.15046909090908,0.0,273.0,284.0,COSCO MALAYSIA,IMO9448774,VRGV9,70.0,0.0,334.0,42.0,14.5,71.0,A,2951,1921
24,367044560,2021-11-25 01:57:58.500,33.76271092105263,-118.26567092105265,0.0,241.0,511.0,PHINEAS BANNING,,WCT8646,,15.0,15.0,4.0,,50.0,A,1669,626
